model_id,page,base_model,filter,sort,extracted_at
qgallouedec/Qwen2-0.5B-Reward-Math-Sheperd-KN-fix-cast,p=1,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
trl-lib/Qwen2-0.5B-Reward-Math-Sheperd,p=1,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
blakenp/Qwen2-0.5B-Reward,p=1,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
blakenp/Qwen2.5-1.5B-Policy,p=1,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
menglc/SliMM-Qwen2-0.5B,p=1,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
menglc/SliMM-DeepStackM-Qwen2-0.5B,p=1,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
ZzWater/viitor-voice-mix,p=1,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
cavendishlabs/Qwen2-0.5B-SFT-run-004,p=1,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
lchen915/Qwen2-0.5B-SFT,p=1,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
cavendishlabs/dpo_output_5,p=1,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
cavendishlabs/dpo_output_7,p=1,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
cavendishlabs/dpo_output_8,p=1,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
cavendishlabs/sftd_model_49825b57-054e-4214-83c5-833a3012dc80,p=1,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
cavendishlabs/sftd_model_94e65cc9-e6da-4aca-bb2c-bac0c684d616,p=1,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
cavendishlabs/sftd_model_266daa7d-5675-4065-86bc-67ecd49d06cb,p=1,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
cavendishlabs/sftd_model_a9aa1a93-d9e2-4b88-81b7-2743d0b57090,p=1,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
cavendishlabs/sftd_model_e4da8eae-921c-47f6-8bfe-f04a7360a715,p=1,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
cavendishlabs/sftd_model_e70c124d-b4c6-42bf-9051-1047ec9f8ee9,p=1,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
summerstay/models-moved,p=1,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
willtensora/459779f2-cbce-4ec0-b11c-1dcdf92498d8,p=1,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
Tdat1/autotrain-r97ds-p7slv,p=1,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
zheminh/Qwen2-0.5B-SFT,p=1,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
XiangyuWen/Qwen2-0.5B-SFT,p=2,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
Super007/aversi,p=2,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
Kyleyee/Qwen2-0.5B-stf-hh,p=2,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
Kyleyee/Qwen2-0.5B-stf-imdb,p=2,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
Kyleyee/Qwen2-0.5B-stf-tldr,p=2,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
nishitha256/Qwen2-0.5B-SFT,p=2,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
diao-92/Qwen2-0.5B-SFT,p=2,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
diao-92/Qwen2-0.5B-SFT-2,p=2,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
gpucce/Qwen2-0.5B-SFT,p=2,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
Kyleyee/Qwen2-0.5B-DRDPO-imdb-bm-tp,p=2,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
Kyleyee/Qwen2-0.5B-DPO-imdb-bm,p=2,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
Kyleyee/Qwen2-0.5B-DRDPO-imdb-bm-wp,p=2,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
Kyleyee/Qwen2-0.5B-DRDPO-imdb-bm-rp,p=2,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
olegGerbylev/Qwen2-0.5B-from-scratch,p=2,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
stpete2/Qwen2-0.5B-math-grpo,p=2,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
stpete2/Qwen2-0.5B-math-cppo,p=2,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
stpete2/Qwen2-0.5B-gsm8k-grpo,p=2,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
stpete2/Qwen2-0.5B-gsm8k-cppo,p=2,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
OpenVINO/Qwen2-0.5B-fp16-ov,p=2,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
tanspring/51921ecf-ebcb-4c3b-9a27-13137b27c506,p=2,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
tanspring/9645c4ca-b61b-482d-a91c-b68a71e06410,p=2,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
FormlessAI/869c8670-3e77-4057-ab31-3f476d0520cc,p=2,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
FormlessAI/d84419b5-2185-433b-9661-35c823d5d3a5,p=2,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
nurik0210/Qwen2-0.5B-UZB-Custom,p=2,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
basebala/Qwen2-0.5B-SFT,p=2,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
PhucNT2511/Qwen2-FT-MyDataset-SchedulerConstant,p=2,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
PhucNT2511/Qwen2-FT-MyDataset-SchedulerCosine,p=2,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
ankhanhtran02/Qwen-SFT-4,p=2,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
ankhanhtran02/Qwen-SFT-5,p=2,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
FormlessAI/29801858-871a-41f1-9ccf-13b2d65edc3c,p=2,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
RLHF-And-Friends/TLDR-Qwen2-0.5B-SmallSFT,p=3,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v2,p=3,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
hoangdo001/Qwen2-0.5B-SFT,p=3,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
2reb/TinyToolUse-Qwen2-0.5B-Calculator,p=3,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
tarabukinivanhome/f8ee752c-7c34-483e-97c1-df292d1703a9,p=3,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
sjbbihan/Qwen2-0.5B-SFT,p=3,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
apriasmoro/f9a66004-23ff-406b-a1e5-ab8c54795d56,p=3,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
sergiopaniego/Qwen2-0.5B-SFT,p=3,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
vikasp1610/qwen-sql-ft,p=3,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
vikasp1610/qwen-sql-qlora,p=3,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
vikasp1610/qwen-sql-prefix,p=3,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
sergiopaniego/trainer_output,p=3,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
yarinbar/Qwen2-0.5B-SFT,p=3,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
jona-972/Qwen2-0.5B-SFT,p=3,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
jona-972/Qwen2-0.5B-SFT-1,p=3,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
jona-972/Qwen2-0.5B-SFT-2,p=3,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
nmslmgl/Qwen2-0.5B-SFT,p=3,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
dominics/Qwen2-0.5B-SFT,p=3,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
cheese1010/Qwen2-0.5B-SFT,p=3,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
goKerwin/my-logistic-model,p=3,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
juannpmari/Qwen2-DPO,p=3,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
juannpmari/Qwen2-0.5B-DPO-251121,p=3,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
juannpmari/Qwen2-0.5B-DPO-251121-2,p=3,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
juannpmari/Qwen2-0.5B-DPO-251124,p=3,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
juannpmari/Qwen2-0.5B-DPO-251124-2,p=3,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
juannpmari/Qwen2-0.5B-DPO-251204-2,p=3,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
kkopsinis/Qwen2-0.5B-SFT,p=3,Qwen/Qwen2-0.5B,base_model:finetune:Qwen/Qwen2-0.5B,trending,2025-12-20
