model_id,architecture,parameters,license
fluently/FluentlyQwen3-1.7B,Decoder Only,2B,Apache-2.0
google-t5/t5-large,Encoder Decoder,0.7B,Apache-2.0
google-t5/t5-small,Encoder Decoder,60.5M,Apache-2.0
google/flan-t5-base,Encoder Decoder,0.2B,Apache-2.0
google/flan-t5-large,Encoder Decoder,0.8B,Apache-2.0
google/gemma-2b-it,Unknown,3B,Gemma
google/gemma-3-1b-it,Unknown,1B,Gemma
google/gemma-3-4b-it,Unknown,4B,Gemma
gradientai/Llama-3-8B-Instruct-262k,Decoder Only,8B,llama3
huggyllama/llama-7b,Decoder Only,7B,Other
huihui-ai/Huihui-Jan-v1-4B-abliterated,Decoder Only,4B,Apache-2.0
janhq/Jan-v1-4B,Decoder Only,4B,Apache-2.0
janhq/Jan-v1-edge,Decoder Only,2B,Apache-2.0
jiawei-ucas/Qwen-2.5-7B-ConsistentChat,Decoder Only,8B,MIT
kevin009/llamaRAGdrama,Decoder Only,7B,Apache-2.0
lgaalves/gpt1,Decoder Only,0.1B,MIT
lmsys/vicuna-7b-v1.1,Decoder Only,7B,Unknown
lmsys/vicuna-7b-v1.5,Decoder Only,7B,Llama-2
lmsys/vicuna-7b-v1.5-16k,Decoder Only,7B,Llama-2
m-a-p/ChatMusician,Decoder Only,7B,MIT
meta-llama/CodeLlama-7b-Instruct-hf,Unknown,7B,Llama-2
meta-llama/Llama-2-7b-chat-hf,Unknown,7B,Llama-2
meta-llama/Llama-2-7b-hf,Unknown,7B,Llama-2
meta-llama/Llama-3.1-8B-Instruct,Unknown,8B,llama3.1
meta-llama/Llama-3.2-1B-Instruct,Unknown,1B,llama3.2
meta-llama/Llama-3.2-3B-Instruct,Unknown,3B,llama3.2
meta-llama/LlamaGuard-7b,Unknown,7B,Llama-2
meta-llama/Meta-Llama-3-8B,Unknown,8B,llama3
meta-llama/Meta-Llama-3-8B-Instruct,Unknown,8B,llama3
meta-llama/Meta-Llama-Guard-2-8B,Unknown,8B,llama3
meta-math/MetaMath-Llemma-7B,Decoder Only,7B,Apache-2.0
meta-math/MetaMath-Mistral-7B,Decoder Only,7B,Apache-2.0
microsoft/MediPhi-Instruct,Decoder Only,4B,MIT
microsoft/Orca-2-7b,Decoder Only,7B,Other
microsoft/Phi-3-mini-128k-instruct,Decoder Only,4B,MIT
microsoft/Phi-3-mini-4k-instruct,Decoder Only,4B,MIT
microsoft/Phi-3.5-mini-instruct,Decoder Only,4B,MIT
microsoft/Phi-4-mini-instruct,Decoder Only,4B,MIT
microsoft/Phi-4-mini-reasoning,Decoder Only,4B,MIT
microsoft/bitnet-b1.58-2B-4T,Decoder Only,0.8B,MIT
microsoft/phi-1,Decoder Only,1B,MIT
microsoft/phi-1_5,Decoder Only,1B,MIT
microsoft/phi-2,Decoder Only,3B,MIT
mistralai/Ministral-8B-Instruct-2410,Unknown,8B,Other
mistralai/Mistral-7B-Instruct-v0.1,Unknown,7B,Apache-2.0
mistralai/Mistral-7B-Instruct-v0.3,Unknown,7B,Apache-2.0
mlabonne/AlphaMonarch-7B,Decoder Only,7B,CC-BY-NC-4.0
mlx-community/Apertus-8B-Instruct-2509-bf16,Decoder Only,8B,Apache-2.0
mookiezi/Discord-Micae-8B-Preview,Decoder Only,8B,llama3
mookiezi/Discord-Micae-Hermes-3-3B,Decoder Only,3B,llama3
mosaicml/mpt-7b-storywriter,Decoder Only,7B,Apache-2.0
nvidia/OpenReasoning-Nemotron-1.5B,Decoder Only,2B,CC-BY-4.0
openai-community/openai-gpt,Decoder Only,0.1B,MIT
openchat/openchat-3.5-0106,Decoder Only,7B,Apache-2.0
openchat/openchat_3.5,Decoder Only,7B,Apache-2.0
openlm-research/open_llama_7b,Decoder Only,7B,Apache-2.0
prithivMLmods/rStar-Coder-Qwen3-0.6B,Decoder Only,0.6B,Apache-2.0
quantumaikr/KoreanLM,Decoder Only,7B,Unknown
rishiraj/CatPPT-base,Decoder Only,7B,Apache-2.0
roneneldan/TinyStories-1M,Decoder Only,1M,Unknown
sail/Sailor-7B,Decoder Only,8B,Apache-2.0
sarvamai/sarvam-1,Decoder Only,3B,Unknown
scb10x/typhoon-7b,Decoder Only,7B,Apache-2.0
segolilylabs/Lily-Cybersecurity-7B-v0.2,Decoder Only,7B,Apache-2.0
stabilityai/stablelm-tuned-alpha-7b,Decoder Only,7B,CC-BY-NC-SA-4.0
tencent/Hunyuan-1.8B-Instruct,Decoder Only,2B,Unknown
tencent/Hunyuan-7B-Instruct,Decoder Only,8B,Unknown
theprint/TiTan-Qwen2.5-0.5B,Decoder Only,0.5B,Apache-2.0
tiiuae/Falcon3-1B-Instruct,Decoder Only,2B,Other
tiiuae/Falcon3-3B-Instruct,Decoder Only,3B,Other
tiiuae/Falcon3-7B-Instruct,Decoder Only,7B,Other
tiiuae/falcon-7b-instruct,Decoder Only,7B,Apache-2.0
tomg-group-umd/DynaGuard-1.7B,Decoder Only,2B,Apache-2.0
tomg-group-umd/DynaGuard-4B,Decoder Only,4B,Apache-2.0
tomg-group-umd/DynaGuard-8B,Decoder Only,8B,Apache-2.0
vilm/vinallama-7b-chat,Decoder Only,7B,Llama-2
yam-peleg/Experiment26-7B,Decoder Only,7B,Apache-2.0
