model,architecture,parameters,license
Harshvir/Llama-2-7B-physics,Decoder Only,7B,Unknown
HuggingFaceH4/zephyr-7b-beta,Decoder Only,7B,MIT
HuggingFaceTB/SmolLM-135M,Decoder Only,0.1B,Apache-2.0
HuggingFaceTB/SmolLM2-135M,Decoder Only,0.1B,Apache-2.0
HuggingFaceTB/SmolLM3-3B,Decoder Only,3B,Apache-2.0
Intel/neural-chat-7b-v3-3,Decoder Only,7B,Apache-2.0
K-intelligence/Midm-2.0-Base-Instruct,Decoder Only,12B,MIT
KoboldAI/GPT-Neo-2.7B-Horni-LN,Decoder Only,2.7B,Unknown
KoboldAI/OPT-13B-Erebus,Decoder Only,13B,Other
LGAI-EXAONE/EXAONE-4.0-1.2B,Decoder Only,1B,Other
LLM360/Amber,Decoder Only,7B,Apache-2.0
LatitudeGames/Wayfarer-2-12B,Decoder Only,12B,Apache-2.0
LeoLM/leo-hessianai-13b,Decoder Only,13B,Unknown
LiquidAI/LFM2-1.2B,Decoder Only,1B,Other
LiquidAI/LFM2-350M,Decoder Only,0.4B,Other
MaziyarPanahi/WizardLM-Math-70B-v0.1,Decoder Only,69B,AGPL-3.0
Neko-Institute-of-Science/metharme-7b,Decoder Only,7B,Unknown
Neko-Institute-of-Science/pygmalion-7b,Decoder Only,7B,Unknown
Nexusflow/Starling-LM-7B-beta,Decoder Only,7B,Apache-2.0
NinedayWang/PolyCoder-2.7B,Decoder Only,2.7B,Unknown
NousResearch/Hermes-4-14B,Decoder Only,425k,Apache-2.0
NousResearch/Hermes-4-14B-FP8,Decoder Only,15B,Apache-2.0
NousResearch/Nous-Hermes-13b,Decoder Only,13B,gpl
NousResearch/Nous-Hermes-2-SOLAR-10.7B,Decoder Only,11B,Apache-2.0
NousResearch/Nous-Hermes-2-Yi-34B,Decoder Only,34B,Apache-2.0
OddTheGreat/Circuitry_24B_V.2,Decoder Only,24B,Unknown
OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,Decoder Only,12B,Apache-2.0
OpenBuddy/openbuddy-codellama2-34b-v11.1-bf16,Decoder Only,34B,Unknown
PharMolix/BioMedGPT-LM-7B,Decoder Only,7B,Apache-2.0
Plaban81/Moe-4x7b-math-reason-code,Decoder Only,24B,Apache-2.0
PocketDoc/Dans-PersonalityEngine-V1.3.0-24b,Decoder Only,24B,Apache-2.0
PygmalionAI/pygmalion-2.7b,Decoder Only,2.7B,creativeml-openrail-m
QuixiAI/WizardLM-13B-Uncensored,Decoder Only,13B,Other
Qwen/QwQ-32B,Decoder Only,33B,Apache-2.0
Qwen/Qwen1.5-0.5B-Chat,Decoder Only,0.6B,Other
Qwen/Qwen1.5-14B-Chat,Decoder Only,14B,Other
Qwen/Qwen1.5-32B-Chat,Decoder Only,33B,Other
Qwen/Qwen1.5-4B-Chat,Decoder Only,4B,Other
Qwen/Qwen1.5-7B-Chat,Decoder Only,8B,Other
Qwen/Qwen2-0.5B-Instruct,Decoder Only,0.5B,Apache-2.0
Qwen/Qwen2-7B-Instruct,Decoder Only,8B,Apache-2.0
Qwen/Qwen2.5-0.5B-Instruct,Decoder Only,0.5B,Apache-2.0
Qwen/Qwen2.5-1.5B,Decoder Only,2B,Apache-2.0
Qwen/Qwen2.5-1.5B-Instruct,Decoder Only,2B,Apache-2.0
Qwen/Qwen2.5-3B-Instruct,Decoder Only,3B,Other
Qwen/Qwen2.5-7B,Decoder Only,8B,Apache-2.0
Qwen/Qwen2.5-7B-Instruct,Decoder Only,8B,Apache-2.0
Qwen/Qwen2.5-Coder-7B,Decoder Only,8B,Apache-2.0
Qwen/Qwen2.5-Coder-7B-Instruct,Decoder Only,8B,Apache-2.0
Qwen/Qwen2.5-Math-1.5B-Instruct,Decoder Only,2B,Apache-2.0
Qwen/Qwen2.5-Math-7B-Instruct,Decoder Only,8B,Apache-2.0
Qwen/Qwen3-0.6B,Decoder Only,0.8B,Apache-2.0
Qwen/Qwen3-1.7B,Decoder Only,2B,Apache-2.0
Qwen/Qwen3-14B,Decoder Only,15B,Apache-2.0
Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,Decoder Only,31B,Apache-2.0
Qwen/Qwen3-4B,Decoder Only,4B,Apache-2.0
Qwen/Qwen3-4B-Instruct-2507,Decoder Only,4B,Apache-2.0
Qwen/Qwen3-4B-Thinking-2507,Decoder Only,4B,Apache-2.0
Qwen/Qwen3-4B-Thinking-2507-FP8,Decoder Only,4B,Apache-2.0
Qwen/Qwen3-8B,Decoder Only,8B,Apache-2.0
S4nfs/Neeto-1.0-8b,Decoder Only,8B,CC-BY-NC-4.0
SUSTech/SUS-Chat-34B,Decoder Only,34B,Apache-2.0
SciPhi/SciPhi-Mistral-7B-32k,Decoder Only,7B,MIT
SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,Decoder Only,7B,MIT
Tesslate/UIGEN-X-4B-0729,Decoder Only,4B,Apache-2.0
Tesslate/WEBGEN-4B-Preview,Decoder Only,4B,Apache-2.0
ThatSkyFox/DialoGPT-medium-whatsapp,Encoder Only,Unknown,Unknown
TheBloke/CodeLlama-70B-Instruct-AWQ,Decoder Only,69B,Llama-2
TheBloke/koala-13B-HF,Decoder Only,13B,Other
TheBloke/tulu-30B-fp16,Decoder Only,30B,Other
TheMindExpansionNetwork/SYNERGETIC COG..._V1_Hermes-4-14B_v1,Decoder Only,14B,Unknown
TheOneWhoWill/Bootstrap-LLM,Decoder Only,0.1B,Apache-2.0
Tianlin668/MentalBART,Encoder Decoder,Unknown,MIT
TigerResearch/tigerbot-13b-base,Decoder Only,13B,Apache-2.0
TinyLlama/TinyLlama-1.1B-Chat-v0.5,Decoder Only,1B,Apache-2.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,Decoder Only,1B,Apache-2.0
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,Decoder Only,1B,Apache-2.0
TinyLlama/TinyLlama_v1.1,Decoder Only,1B,Apache-2.0
TinyLlama/TinyLlama_v1.1_math_code,Decoder Only,1B,Apache-2.0
Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,Decoder Only,12B,Apache-2.0
Vision-CAIR/vicuna,Decoder Only,Unknown,Unknown
Vortex5/Lunar-Nexus-12B,Decoder Only,12B,Unknown
Vortex5/Moonlit-Shadow-12B,Decoder Only,12B,Unknown
WhiteRabbitNeo/WhiteRabbitNeo-13B-v1,Decoder Only,13B,Llama-2
WizardLM/WizardLM-70B-V1.0,Decoder Only,70B,Llama-2
abocide/Qwen2.5-7B-Instruct-R1-forfinance,Decoder Only,8B,Apache-2.0
adamo1139/Apertus-8B-Instruct-2509-ungated,Decoder Only,8B,Apache-2.0
agentica-org/DeepCoder-14B-Preview,Decoder Only,15B,MIT
allenai/OLMoE-1B-7B-0924,Decoder Only,7B,Apache-2.0
allenai/tulu-2-dpo-70b,Decoder Only,69B,Other
aquif-ai/aquif-3.5-8B-Think,Decoder Only,8B,Apache-2.0
askfjhaskjgh/UbermenschetienASI,Decoder Only,8B,Other
augmxnt/shisa-base-7b-v1,Decoder Only,8B,Apache-2.0
bardsai/jaskier-7b-dpo-v5.6,Decoder Only,7B,CC-BY-4.0
berkeley-nest/Starling-LM-7B-alpha,Decoder Only,7B,Apache-2.0
beruniy/Llama-3.2-3B-Instruct-Uz,Decoder Only,3B,llama3.2
beyoru/Luna,Decoder Only,4B,MIT
bigcode/octocoder,Decoder Only,16B,OpenRAIL-M
bigcode/starcoder2-3b,Decoder Only,3B,OpenRAIL-M
bigscience/bloom-560m,Decoder Only,0.6B,BigScience RAIL 1.0
bigscience/bloom-7b1,Decoder Only,7B,BigScience RAIL 1.0
bigscience/bloomz-1b1,Decoder Only,1B,BigScience RAIL 1.0
bigscience/bloomz-1b7,Decoder Only,2B,BigScience RAIL 1.0
bigscience/bloomz-560m,Decoder Only,0.6B,BigScience RAIL 1.0
bigscience/bloomz-7b1,Decoder Only,7B,BigScience RAIL 1.0
bxod/Llama-3.2-1B-Instruct-uz,Decoder Only,1B,llama3.2
chatitcloud/UZI1,Decoder Only,0.3B,Apache-2.0
cisco-ai/mini-bart-g2p,Encoder Decoder,Unknown,Apache-2.0
cloudyu/Mixtral_11Bx2_MoE_19B,Decoder Only,19B,CC-BY-NC-4.0
codefuse-ai/CodeFuse-DeepSeek-33B,Decoder Only,33B,Other
codellama/CodeLlama-13b-Instruct-hf,Decoder Only,13B,Llama-2
codellama/CodeLlama-34b-Instruct-hf,Decoder Only,34B,Llama-2
codellama/CodeLlama-7b-hf,Decoder Only,7B,Llama-2
codeparrot/codeparrot-small-code-to-text,Encoder Only,Unknown,Apache-2.0
codeparrot/codeparrot-small-multi,Encoder Only,Unknown,Apache-2.0
continuedev/instinct,Decoder Only,8B,Apache-2.0
darkc0de/XortronCriminalComputingConfig,Decoder Only,24B,Apache-2.0
databricks/dolly-v1-6b,Decoder Only,6B,CC-BY-NC-4.0
databricks/dolly-v2-12b,Decoder Only,12B,MIT
databricks/dolly-v2-3b,Decoder Only,3B,MIT
databricks/dolly-v2-7b,Decoder Only,7B,MIT
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,Decoder Only,16B,Other
deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,Decoder Only,8B,MIT
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Decoder Only,8B,MIT
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,Decoder Only,2B,MIT
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Decoder Only,8B,MIT
deepseek-ai/DeepSeek-V2-Lite,Decoder Only,16B,Other
deepseek-ai/deepseek-coder-1.3b-base,Decoder Only,1B,Other
deepseek-ai/deepseek-coder-6.7b-instruct,Decoder Only,7B,Other
deepseek-ai/deepseek-llm-67b-chat,Decoder Only,67B,Other
deepseek-ai/deepseek-llm-7b-base,Decoder Only,7B,Other
deepseek-ai/deepseek-llm-7b-chat,Decoder Only,7B,Other
deepseek-ai/deepseek-math-7b-instruct,Decoder Only,7B,Other
dicta-il/dictalm2.0,Decoder Only,7B,Apache-2.0
dphn/Dolphin-Mistral-24B-Venice-Edition,Decoder Only,24B,Apache-2.0
eci-io/climategpt-7b,Decoder Only,7B,Other
elyza/ELYZA-japanese-Llama-2-7b,Decoder Only,7B,Llama-2
elyza/ELYZA-japanese-Llama-2-7b-instruct,Decoder Only,7B,Llama-2
elyza/Llama-3-ELYZA-JP-8B,Decoder Only,8B,llama3
eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,Decoder Only,7B,CC-BY-NC-4.0
facebook/galactica-1.3b,Decoder Only,1B,CC-BY-NC-4.0
fblgit/UNA-SimpleSmaug-34b-v1beta,Decoder Only,34B,Apache-2.0
fluently/FluentlyQwen3-1.7B,Decoder Only,2B,Apache-2.0
futurehouse/ether0,Decoder Only,24B,Apache-2.0
golaxy/gowizardlm,Decoder Only,Unknown,Apache-2.0
google-t5/t5-large,Encoder Decoder,0.7B,Apache-2.0
google-t5/t5-small,Encoder Decoder,60.5M,Apache-2.0
google/flan-t5-base,Encoder Decoder,0.2B,Apache-2.0
google/flan-t5-large,Encoder Decoder,0.8B,Apache-2.0
google/gemma-2b-it,Unknown,3B,Gemma
google/gemma-3-12b-it,Unknown,12B,Gemma
google/gemma-3-1b-it,Unknown,1B,Gemma
google/gemma-3-4b-it,Unknown,4B,Gemma
google/gemma-7b-it,Unknown,9B,Gemma
gradientai/Llama-3-8B-Instruct-262k,Decoder Only,8B,llama3
heegyu/kogpt-j-base,Decoder Only,Unknown,MIT
huggyllama/llama-7b,Decoder Only,7B,Other
huihui-ai/Huihui-Jan-v1-4B-abliterated,Decoder Only,4B,Apache-2.0
ibivibiv/alpaca-dragon-72b-v1,Decoder Only,72B,Other
inflatebot/MN-12B-Mag-Mell-R1,Decoder Only,12B,Unknown
janhq/Jan-v1-4B,Decoder Only,4B,Apache-2.0
janhq/Jan-v1-edge,Decoder Only,2B,Apache-2.0
jiawei-ucas/Qwen-2.5-7B-ConsistentChat,Decoder Only,8B,MIT
jxm/gpt-oss-20b-base,Unknown,20B,Unknown
kevin009/llamaRAGdrama,Decoder Only,7B,Apache-2.0
knifeayumu/Cydonia-v4.1-MS3.2-Magnum-Diamond-24B,Decoder Only,24B,Apache-2.0
kyujinpy/Sakura-SOLRCA-Math-Instruct-DPO-v1,Decoder Only,11B,CC-BY-NC-SA-4.0
lgaalves/gpt1,Decoder Only,0.1B,MIT
liyuesen/druggpt,Encoder Only,Unknown,GPL-3.0
lmsys/vicuna-13b-v1.5,Decoder Only,13B,Llama-2
lmsys/vicuna-33b-v1.3,Decoder Only,33B,Unknown
lmsys/vicuna-7b-v1.1,Decoder Only,7B,Unknown
lmsys/vicuna-7b-v1.5,Decoder Only,7B,Llama-2
lmsys/vicuna-7b-v1.5-16k,Decoder Only,7B,Llama-2
m-a-p/ChatMusician,Decoder Only,7B,MIT
meta-llama/CodeLlama-13b-Instruct-hf,Unknown,13B,Llama-2
meta-llama/CodeLlama-7b-Instruct-hf,Unknown,7B,Llama-2
meta-llama/Llama-2-13b-chat-hf,Unknown,13B,Llama-2
meta-llama/Llama-2-70b-chat-hf,Unknown,69B,Llama-2
meta-llama/Llama-2-7b-chat-hf,Unknown,7B,Llama-2
meta-llama/Llama-2-7b-hf,Unknown,7B,Llama-2
meta-llama/Llama-3.1-8B-Instruct,Unknown,8B,llama3.1
meta-llama/Llama-3.2-1B-Instruct,Unknown,1B,llama3.2
meta-llama/Llama-3.2-3B-Instruct,Unknown,3B,llama3.2
meta-llama/LlamaGuard-7b,Unknown,7B,Llama-2
meta-llama/Meta-Llama-3-70B,Unknown,71B,llama3
meta-llama/Meta-Llama-3-70B-Instruct,Unknown,71B,llama3
meta-llama/Meta-Llama-3-8B,Unknown,8B,llama3
meta-llama/Meta-Llama-3-8B-Instruct,Unknown,8B,llama3
meta-llama/Meta-Llama-Guard-2-8B,Unknown,8B,llama3
meta-math/MetaMath-Llemma-7B,Decoder Only,7B,Apache-2.0
meta-math/MetaMath-Mistral-7B,Decoder Only,7B,Apache-2.0
microsoft/DialoGPT-medium,Encoder Only,Unknown,MIT
microsoft/MediPhi-Instruct,Decoder Only,4B,MIT
microsoft/Orca-2-13b,Decoder Only,13B,Other
microsoft/Orca-2-7b,Decoder Only,7B,Other
microsoft/Phi-3-mini-128k-instruct,Decoder Only,4B,MIT
microsoft/Phi-3-mini-4k-instruct,Decoder Only,4B,MIT
microsoft/Phi-3.5-mini-instruct,Decoder Only,4B,MIT
microsoft/Phi-4-mini-instruct,Decoder Only,4B,MIT
microsoft/Phi-4-mini-reasoning,Decoder Only,4B,MIT
microsoft/bitnet-b1.58-2B-4T,Decoder Only,0.8B,MIT
microsoft/phi-1,Decoder Only,1B,MIT
microsoft/phi-1_5,Decoder Only,1B,MIT
microsoft/phi-2,Decoder Only,3B,MIT
microsoft/phi-4,Decoder Only,15B,MIT
miromind-ai/MiroThinker-14B-DPO-v0.2,Decoder Only,14B,Apache-2.0
mistralai/Ministral-8B-Instruct-2410,Unknown,8B,Other
mistralai/Mistral-7B-Instruct-v0.1,Unknown,7B,Apache-2.0
mistralai/Mistral-7B-Instruct-v0.3,Unknown,7B,Apache-2.0
mistralai/Mixtral-8x7B-Instruct-v0.1,Unknown,47B,Apache-2.0
mlabonne/AlphaMonarch-7B,Decoder Only,7B,CC-BY-NC-4.0
mlx-community/Apertus-8B-Instruct-2509-bf16,Decoder Only,8B,Apache-2.0
mookiezi/Discord-Micae-8B-Preview,Decoder Only,8B,llama3
mookiezi/Discord-Micae-Hermes-3-3B,Decoder Only,3B,llama3
mosaicml/mpt-30b-chat,Decoder Only,30B,CC-BY-NC-SA-4.0
mosaicml/mpt-30b-instruct,Decoder Only,30B,Apache-2.0
mosaicml/mpt-7b-storywriter,Decoder Only,7B,Apache-2.0
nakodanei/Blue-Orchid-2x7b,Decoder Only,13B,Apache-2.0
nomic-ai/gpt4all-13b-snoozy,Decoder Only,13B,gpl
nvidia/OpenReasoning-Nemotron-1.5B,Decoder Only,2B,CC-BY-4.0
openai-community/openai-gpt,Decoder Only,0.1B,MIT
openai/gpt-oss-20b,Decoder Only,22B,Apache-2.0
openbmb/UltraCM-13b,Decoder Only,13B,MIT
openchat/openchat-3.5-0106,Decoder Only,7B,Apache-2.0
openchat/openchat_3.5,Decoder Only,7B,Apache-2.0
openlm-research/open_llama_13b,Decoder Only,13B,Apache-2.0
openlm-research/open_llama_7b,Decoder Only,7B,Apache-2.0
prithivMLmods/rStar-Coder-Qwen3-0.6B,Decoder Only,0.6B,Apache-2.0
project-baize/baize-v2-13b,Decoder Only,13B,CC-BY-NC-4.0
quantumaikr/KoreanLM,Decoder Only,7B,Unknown
rishiraj/CatPPT-base,Decoder Only,7B,Apache-2.0
roneneldan/TinyStories-1M,Decoder Only,1M,Unknown
sail/Sailor-7B,Decoder Only,8B,Apache-2.0
sarvamai/sarvam-1,Decoder Only,3B,Unknown
scb10x/typhoon-7b,Decoder Only,7B,Apache-2.0
segolilylabs/Lily-Cybersecurity-7B-v0.2,Decoder Only,7B,Apache-2.0
sequelbox/gpt-oss-20b-DES-Reasoning,Decoder Only,21B,Apache-2.0
stabilityai/stablelm-tuned-alpha-7b,Decoder Only,7B,CC-BY-NC-SA-4.0
stanford-crfm/BioMedLM,Encoder Only,Unknown,BigScience RAIL 1.0
tencent/Hunyuan-1.8B-Instruct,Decoder Only,2B,Unknown
tencent/Hunyuan-7B-Instruct,Decoder Only,8B,Unknown
theprint/TiTan-Qwen2.5-0.5B,Decoder Only,0.5B,Apache-2.0
thesephist/contra-bottleneck-t5-large-wikipedia,Encoder Decoder,Unknown,MIT
tiiuae/Falcon3-10B-Instruct,Decoder Only,10B,Other
tiiuae/Falcon3-1B-Instruct,Decoder Only,2B,Other
tiiuae/Falcon3-3B-Instruct,Decoder Only,3B,Other
tiiuae/Falcon3-7B-Instruct,Decoder Only,7B,Other
tiiuae/falcon-11B,Decoder Only,11B,Unknown
tiiuae/falcon-40b-instruct,Decoder Only,40B,Apache-2.0
tiiuae/falcon-7b-instruct,Decoder Only,7B,Apache-2.0
tomg-group-umd/DynaGuard-1.7B,Decoder Only,2B,Apache-2.0
tomg-group-umd/DynaGuard-4B,Decoder Only,4B,Apache-2.0
tomg-group-umd/DynaGuard-8B,Decoder Only,8B,Apache-2.0
unsloth/gpt-oss-20b-BF16,Decoder Only,21B,Apache-2.0
upstage/SOLAR-10.7B-Instruct-v1.0,Decoder Only,11B,CC-BY-NC-4.0
upstage/SOLAR-10.7B-v1.0,Decoder Only,11B,Apache-2.0
vilm/vinallama-7b-chat,Decoder Only,7B,Llama-2
wave-on-discord/silly-v0.2,Decoder Only,12B,Apache-2.0
yam-peleg/Experiment26-7B,Decoder Only,7B,Apache-2.0
zai-org/GLM-4-32B-0414,Decoder Only,33B,MIT
zai-org/glm-4-9b-chat-hf,Decoder Only,9B,Other
zhengr/MixTAO-7Bx2-MoE-v8.1,Decoder Only,13B,Apache-2.0
