base_model_name,derived_model_name,num_pairs,avg_overlap_ratio,bottom_k_vocab_size,pair_scores_json,model_id,downloads,likes,pipeline_tag
Qwen/Qwen2.5-0.5B,BurnyCoder/Qwen2.5-0.5B-Capybara,5,0.3732999999999999,2000,"[0.282, 0.296, 0.5255, 0.3855, 0.3775]",BurnyCoder/Qwen2.5-0.5B-Capybara,32,0,text-generation
Qwen/Qwen2.5-0.5B,sail/Sailor2-1B,5,0.0435,2000,"[0.037, 0.0495, 0.0415, 0.0755, 0.014]",sail/Sailor2-1B,31,7,text-generation
Qwen/Qwen2.5-0.5B,hypaai/qwen_run_2025-12-03_10-36-19,5,0.0009,2000,"[0.0, 0.0005, 0.0005, 0.003, 0.0005]",hypaai/qwen_run_2025-12-03_10-36-19,24,0,text-generation
Qwen/Qwen2.5-0.5B,werchota/werchota-ai-v1,5,0.3386,2000,"[0.2335, 0.213, 0.4265, 0.395, 0.425]",werchota/werchota-ai-v1,22,0,text-generation
Qwen/Qwen2.5-0.5B,PHZane/PCF_ID-0.5B,5,0.0646,2000,"[0.0255, 0.0535, 0.1065, 0.069, 0.0685]",PHZane/PCF_ID-0.5B,21,1,question-answering
Qwen/Qwen2.5-0.5B,AryanNsc/IND-QWENTTS-V1,5,0.0065,2000,"[0.002, 0.0055, 0.0045, 0.0065, 0.014]",AryanNsc/IND-QWENTTS-V1,19,3,text-to-speech
Qwen/Qwen2.5-0.5B,seiftarek22/flex,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]",seiftarek22/flex,19,0,text-generation
Qwen/Qwen2.5-0.5B,alamios/Qwenstral-Small-3.1-0.5B,5,0.0125,2000,"[0.0095, 0.012, 0.013, 0.0175, 0.0105]",alamios/Qwenstral-Small-3.1-0.5B,16,7,text-generation
Qwen/Qwen2.5-0.5B,llaa33219/BokantLM0.1-0.5B,5,0.6115,2000,"[0.5275, 0.46, 0.7035, 0.6725, 0.694]",llaa33219/BokantLM0.1-0.5B,16,0,text-generation
Qwen/Qwen2.5-0.5B,p1atdev/qwen2.5-0.5b-grpo-math-01,5,0.0082,2000,"[0.0075, 0.0035, 0.015, 0.005, 0.01]",p1atdev/qwen2.5-0.5b-grpo-math-01,15,1,text-generation
Qwen/Qwen2.5-0.5B,kakahuhu/math-grade1-chinese,5,0.5917,2000,"[0.515, 0.43, 0.6795, 0.6925, 0.6415]",kakahuhu/math-grade1-chinese,15,0,text-generation
Qwen/Qwen2.5-0.5B,anmolagarwal999/Qwen2_5-0_5B-Instructsft_savedmath_dataset_based_on_deepseek_distilled_traces_epoch_370,5,0.2854,2000,"[0.202, 0.241, 0.305, 0.3305, 0.3485]",anmolagarwal999/Qwen2_5-0_5B-Instructsft_savedmath_dataset_based_on_deepseek_distilled_traces_epoch_370,13,0,text-generation
Qwen/Qwen2.5-0.5B,rdsm/QwenPhi-4-0.5b-Draft,5,0.0161,2000,"[0.016, 0.015, 0.0155, 0.0155, 0.0185]",rdsm/QwenPhi-4-0.5b-Draft,12,4,text-generation
Qwen/Qwen2.5-0.5B,Vikhrmodels/salt-qwen2.5-0.5b-tts,5,0.0162,2000,"[0.0135, 0.0225, 0.01, 0.013, 0.022]",Vikhrmodels/salt-qwen2.5-0.5b-tts,12,1,
Qwen/Qwen2.5-0.5B,ginkohub/QwenHermes,5,0.1294,2000,"[0.059, 0.066, 0.227, 0.214, 0.081]",ginkohub/QwenHermes,11,0,text-generation
Qwen/Qwen2.5-0.5B,alothomas/Qwen2.5-0.5B-PRM-RAD-balanced-150k,5,0.0231,2000,"[0.0285, 0.022, 0.0255, 0.0105, 0.029]",alothomas/Qwen2.5-0.5B-PRM-RAD-balanced-150k,10,0,token-classification
