base_model_name,suspect_model_name,relation,num_pairs,k_prefix,pal_chars_mean,pal_k_mean,lev_sim_mean,lcs_ratio_mean,score_mean
Audreygyj/Qwen2.5-0.5B-SFT,Qwen/Qwen2.5-0.5B,same,10,30,46.5,0.3,0.576956,0.556135,0.477697
amadeusai/Amadeus-Verbo-BI-Qwen-2.5-0.5B-PT-BR-Instruct-Experimental,Qwen/Qwen2.5-0.5B,same,10,30,13.6,0.1,0.362357,0.398823,0.28706
shb2024/Qwen-0.5B-AMR,Qwen/Qwen2.5-0.5B,same,10,30,0.1,0.0,0.101651,0.077552,0.059734
JayHyeon/Qwen2.5-0.5B-SFT,Qwen/Qwen2.5-0.5B,same,10,30,13.5,0.1,0.246665,0.149227,0.165297
JayHyeon/Qwen2.5-0.5B-SFT-1e-5,Qwen/Qwen2.5-0.5B,same,10,30,29.2,0.2,0.369695,0.393768,0.321154
JayHyeon/Qwen2.5-0.5B-SFT-2e-5,Qwen/Qwen2.5-0.5B,same,10,30,39.6,0.2,0.446003,0.484656,0.376886
JayHyeon/Qwen2.5-0.5B-SFT-5e-5,Qwen/Qwen2.5-0.5B,same,10,30,13.9,0.1,0.185041,0.142436,0.142493
JayHyeon/Qwen2.5-0.5B-SFT-7e-5,Qwen/Qwen2.5-0.5B,same,10,30,13.2,0.1,0.185005,0.189013,0.158006
JayHyeon/Qwen2.5-0.5B-SFT-1e-4,Qwen/Qwen2.5-0.5B,same,10,30,39.7,0.2,0.340644,0.329777,0.29014
JayHyeon/Qwen2.5-0.5B-SFT-2e-4,Qwen/Qwen2.5-0.5B,same,10,30,0.5,0.0,0.113205,0.123165,0.07879
JayHyeon/Qwen2.5-0.5B-SFT_2ep,Qwen/Qwen2.5-0.5B,same,10,30,13.5,0.1,0.338441,0.343121,0.260521
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-3ep,Qwen/Qwen2.5-0.5B,same,10,30,39.6,0.3,0.435722,0.445327,0.393683
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-3ep,Qwen/Qwen2.5-0.5B,same,10,30,0.6,0.0,0.207194,0.204476,0.137223
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-3ep,Qwen/Qwen2.5-0.5B,same,10,30,0.8,0.0,0.023129,0.011525,0.011551
JayHyeon/Qwen2.5-0.5B-SFT-7e-5-3ep,Qwen/Qwen2.5-0.5B,same,10,30,13.3,0.1,0.208065,0.195798,0.167954
JayHyeon/Qwen2.5-0.5B-SFT-2e-4-3ep,Qwen/Qwen2.5-0.5B,same,10,30,0.2,0.0,0.130785,0.132596,0.087794
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-2ep,Qwen/Qwen2.5-0.5B,same,10,30,1.6,0.0,0.398252,0.397506,0.265253
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep,Qwen/Qwen2.5-0.5B,same,10,30,13.4,0.1,0.10347,0.104746,0.102739
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-2ep,Qwen/Qwen2.5-0.5B,same,10,30,0.4,0.0,0.16475,0.174852,0.1132
JayHyeon/Qwen2.5-0.5B-SFT-7e-5-2ep,Qwen/Qwen2.5-0.5B,same,10,30,0.9,0.0,0.174715,0.201045,0.125253
JayHyeon/Qwen2.5-0.5B-SFT-1e-4-2ep,Qwen/Qwen2.5-0.5B,same,10,30,0.8,0.0,0.221382,0.23291,0.15143
JayHyeon/Qwen2.5-0.5B-SFT-2e-4-2ep,Qwen/Qwen2.5-0.5B,same,10,30,0.3,0.0,0.110875,0.133192,0.081356
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-5ep,Qwen/Qwen2.5-0.5B,same,10,30,1.6,0.0,0.275755,0.290943,0.188899
