base_model,model_id,downloads,likes,last_modified,pipeline_tag,tags
Qwen/Qwen2.5-0.5B,VLA-Adapter/LIBERO-Object-Pro,29,2,,robotics,"['safetensors', 'openvla', 'Vision-Language-Action', 'OpenHelix Team', 'robotics', 'custom_code', 'en', 'arxiv:2509.09372', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:mit', 'region:us']"
Qwen/Qwen2.5-0.5B,hypaai/qwen_run_2025-12-03_10-36-19,24,0,,text-generation,"['transformers', 'tensorboard', 'safetensors', 'qwen2', 'text-generation', 'generated_from_trainer', 'conversational', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
Qwen/Qwen2.5-0.5B,artificialguybr/Qwen2.5-0.5B-OpenHermes2.5,23,3,,text-generation,"['transformers', 'pytorch', 'safetensors', 'qwen2', 'text-generation', 'generated_from_trainer', 'conversational', 'dataset:teknium/OpenHermes-2.5', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
Qwen/Qwen2.5-0.5B,werchota/werchota-ai-v1,22,0,,text-generation,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'generated_from_trainer', 'trl', 'sft', 'conversational', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
Qwen/Qwen2.5-0.5B,VLA-Adapter/LIBERO-Goal-Pro,22,0,,robotics,"['safetensors', 'openvla', 'Vision-Language-Action', 'OpenHelix Team', 'robotics', 'custom_code', 'en', 'arxiv:2509.09372', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:mit', 'region:us']"
Qwen/Qwen2.5-0.5B,PHZane/PCF_ID-0.5B,21,1,,question-answering,"['tensorboard', 'safetensors', 'qwen2', 'intrusion-detection', 'cybersecurity', 'llm', 'qwen', 'tabular-reasoning', 'question-answering', 'dataset:Mireu-Lab/NSL-KDD', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:mit', 'region:us']"
Qwen/Qwen2.5-0.5B,VLA-Adapter/LIBERO-Object,19,5,,robotics,"['safetensors', 'openvla', 'Vision-Language-Action', 'OpenHelix Team', 'robotics', 'custom_code', 'en', 'arxiv:2509.09372', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:mit', 'region:us']"
Qwen/Qwen2.5-0.5B,VLA-Adapter/CALVIN-ABC-Pro,19,2,,robotics,"['safetensors', 'openvla', 'Vision-Language-Action', 'OpenHelix Team', 'robotics', 'custom_code', 'en', 'arxiv:2509.09372', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:mit', 'region:us']"
Qwen/Qwen2.5-0.5B,AryanNsc/IND-QWENTTS-V1,19,3,,text-to-speech,"['safetensors', 'qwen2', 'tts', 'indian-accent', 'text-to-speech', 'en', 'gu', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:mit', 'region:us']"
Qwen/Qwen2.5-0.5B,seiftarek22/flex,19,0,,text-generation,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'mergekit', 'merge', 'conversational', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
Qwen/Qwen2.5-0.5B,Prickly-Labs/Shehab-0.5B-Instruct-v0.1a,18,1,,text-generation,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'conversational', 'ar', 'dataset:Prickly-Labs/1.9M-Egyptian-Corpus', 'dataset:Prickly-Labs/Shehab-230k-Instruct', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:mit', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
Qwen/Qwen2.5-0.5B,atlasia/Al-Atlas-0.5B,17,14,,text-generation,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'conversational', 'ar', 'ary', 'dataset:atlasia/Atlaset', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
Qwen/Qwen2.5-0.5B,HeyDunaX/ptitqas,17,0,,question-answering,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'question-answering', 'vi', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
Qwen/Qwen2.5-0.5B,alamios/Qwenstral-Small-3.1-0.5B,16,7,,text-generation,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'qwen', 'qwen2.5', 'mistral', 'mistral-small', 'mistral-small-3.1', 'conversational', 'en', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
Qwen/Qwen2.5-0.5B,llaa33219/BokantLM0.1-0.5B,16,0,,text-generation,"['transformers', 'tensorboard', 'safetensors', 'qwen2', 'text-generation', 'autotrain', 'text-generation-inference', 'conversational', 'dataset:greengerong/leetcode', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:apache-2.0', 'endpoints_compatible', 'region:us']"
Qwen/Qwen2.5-0.5B,slprl/slam_scaled,16,7,,audio-to-audio,"['transformers', 'safetensors', 'speech_language_model', 'audio-to-audio', 'dataset:openslr/librispeech_asr', 'dataset:slprl/SpokenSwag', 'dataset:slprl/sTinyStories', 'arxiv:2502.15814', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:mit', 'endpoints_compatible', 'region:us']"
Qwen/Qwen2.5-0.5B,p1atdev/qwen2.5-0.5b-grpo-math-01,15,1,,text-generation,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'conversational', 'ja', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
Qwen/Qwen2.5-0.5B,kakahuhu/math-grade1-chinese,15,0,,text-generation,"['safetensors', 'qwen2', 'math', 'education', 'chinese', 'grade1', 'elementary-school', 'text-generation', 'conversational', 'zh', 'dataset:custom', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:apache-2.0', 'region:us']"
Qwen/Qwen2.5-0.5B,jiangchengchengNLP/qwenva,13,0,,,"['safetensors', 'zho', 'eng', 'fra', 'spa', 'por', 'deu', 'ita', 'rus', 'jpn', 'kor', 'vie', 'tha', 'ara', 'dataset:liuhaotian/LLaVA-CC3M-Pretrain-595K', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:apache-2.0', 'region:us']"
Qwen/Qwen2.5-0.5B,anmolagarwal999/Qwen2_5-0_5B-Instructsft_savedmath_dataset_based_on_deepseek_distilled_traces_epoch_370,13,0,,text-generation,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'chat', 'conversational', 'en', 'arxiv:2407.10671', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
Qwen/Qwen2.5-0.5B,slprl/slam,12,11,,audio-to-audio,"['transformers', 'safetensors', 'speech_language_model', 'audio-to-audio', 'dataset:openslr/librispeech_asr', 'dataset:slprl/SpokenSwag', 'dataset:slprl/sTinyStories', 'arxiv:2502.15814', 'arxiv:2404.00685', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:mit', 'endpoints_compatible', 'region:us']"
Qwen/Qwen2.5-0.5B,BounharAbdelaziz/Al-Atlas-LLM-0.5B,12,3,,text-generation,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'conversational', 'ar', 'ary', 'dataset:atlasia/AL-Atlas-Moroccan-Darija-Pretraining-Dataset', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
Qwen/Qwen2.5-0.5B,rdsm/QwenPhi-4-0.5b-Draft,12,4,,text-generation,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'qwen', 'qwen2.5', 'phi-4', 'phi', 'conversational', 'zho', 'eng', 'fra', 'spa', 'por', 'deu', 'ita', 'rus', 'jpn', 'kor', 'vie', 'tha', 'ara', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
Qwen/Qwen2.5-0.5B,Vikhrmodels/salt-qwen2.5-0.5b-tts,12,1,,,"['safetensors', 'qwen2', 'en', 'ru', 'uk', 'dataset:openslr/librispeech_asr', 'dataset:its5Q/bigger-ru-book', 'dataset:mozilla-foundation/common_voice_12_0', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'region:us']"
Qwen/Qwen2.5-0.5B,ginkohub/QwenHermes,11,0,,text-generation,"['transformers', 'tensorboard', 'safetensors', 'qwen2', 'text-generation', 'generated_from_trainer', 'sft', 'trl', 'conversational', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
Qwen/Qwen2.5-0.5B,piimaila/Qwen2.5-0.5B-openvino,10,0,,text-generation,"['transformers', 'openvino', 'qwen2', 'text-generation', 'openvino-export', 'conversational', 'en', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:apache-2.0', 'endpoints_compatible', 'region:us']"
Qwen/Qwen2.5-0.5B,alothomas/Qwen2.5-0.5B-PRM-RAD-balanced-150k,10,0,,token-classification,"['transformers', 'safetensors', 'qwen2', 'token-classification', 'generated_from_trainer', 'trl', 'prm', 'arxiv:2211.14275', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
Qwen/Qwen2.5-0.5B,VLA-Adapter/LIBERO-Goal,10,3,,robotics,"['safetensors', 'openvla', 'Vision-Language-Action', 'OpenHelix Team', 'robotics', 'custom_code', 'en', 'arxiv:2509.09372', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:mit', 'region:us']"
