base_model,model_id,downloads,likes,last_modified,pipeline_tag,tags
TinyLlama/TinyLlama-1.1B-Chat-v1.0,sid22669/TinyLlama-Physics,42,5,,text-generation,"['mlx', 'safetensors', 'llama', 'text-generation', 'conversational', 'dataset:Akul/alpaca_physics_dataset', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:apache-2.0', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,pyon0024/tinyllama-katakana-converter,41,0,,,"['safetensors', 'llama', 'lyrics', 'phonetics', 'g2p', 'katakana', 'english-to-phoneme', 'english-to-katakana', 'liaison', 'tinyllama', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:apache-2.0', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,h4rz3rk4s3/TinyParlaMintLlama-1.1B,39,0,,text-generation,"['transformers', 'safetensors', 'llama', 'text-generation', 'TinyLlama', 'QLoRA', 'Politics', 'EU', 'sft', 'conversational', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,lxcorp/lambda-1v-1B,39,1,,text-generation,"['transformers', 'safetensors', 'llama', 'text-generation', 'hf-inference', 'education', 'logic', 'math', 'low-resource', 'open-source', 'causal-lm', 'lxcorp', 'conversational', 'en', 'pt', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:mit', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,Niansuh/TinyLlama-1.1B-Chat-v1.0,36,0,,text-generation,"['transformers', 'safetensors', 'llama', 'text-generation', 'merge', 'mergekit', 'lazymergekit', 'TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'conversational', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,igidn/TinyPi-chat-V1,28,1,,,"['safetensors', 'llama', 'en', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:mit', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,jamescallander/TinyLlama-1.1B-Chat-v1.0_w8a8_g128_rk3588.rkllm,27,1,,text-generation,"['rkllm', 'rk3588', 'rockchip', 'edge-ai', 'llm', 'tinyllama', 'llama', 'text-generation-inference', 'text-generation', 'en', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:apache-2.0', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,marcellobullo/tinyllama-sft-hh,23,0,,text-generation,"['transformers', 'safetensors', 'llama', 'text-generation', 'generated_from_trainer', 'trl', 'sft', 'conversational', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,OpenVINO/TinyLlama-1.1B-Chat-v1.0-fp16-ov,23,2,,text-generation,"['transformers', 'openvino', 'llama', 'text-generation', 'conversational', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:apache-2.0', 'endpoints_compatible', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,JessonWong/uncensored-tiny-llama,22,1,,text-generation,"['transformers', 'safetensors', 'llama', 'text-generation', 'en', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,igidn/TinyPi-Chat-v1.5,21,1,,,"['safetensors', 'llama', 'fine-tuned', 'chat', 'conversational', 'rlaif', 'alignment', 'en', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:mit', 'model-index', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,kishorsriraman/finetuned_model,21,0,,text-generation,"['safetensors', 'llama', 'text-generation', 'conversational', 'en', 'dataset:kishorsriraman/finetune_model_data', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:apache-2.0', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,anudaw/distilled-code-llama,20,0,,text-generation,"['transformers', 'safetensors', 'llama', 'text-generation', 'trl', 'sft', 'generated_from_trainer', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,yzhuang/phi-1_5_fictional,19,0,,text-generation,"['transformers', 'safetensors', 'llama', 'text-generation', 'trl', 'sft', 'generated_from_trainer', 'conversational', 'dataset:mmlu_no_train', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,mewaeltsegay/desta_1b,19,0,,text-generation,"['pytorch', 'llama', 'desta', 'desta-1b', 'tigrinya', 'eritrean', 'semitic', 'nlp', 'language-model', 'causal-lm', 'text-generation', 'ti', 'tig', 'dataset:mewaeltsegay/finetuning_datatset', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:apache-2.0', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-sft-full,15,0,,text-generation,"['transformers', 'tensorboard', 'safetensors', 'llama', 'text-generation', 'generated_from_trainer', 'conversational', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,ndlanier/gutsignal-food-parser-tinyllama-1.1b,15,0,,,"['mlx', 'safetensors', 'llama', 'food', 'nutrition', 'parsing', 'health', 'on-device', 'ios', 'fine-tuned', 'en', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:apache-2.0', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,Caspiannnn/Lora_test,14,0,,text-generation,"['transformers', 'safetensors', 'llama', 'text-generation', 'conversational', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:mit', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,ndlanier/gutsignal-food-parser-tinyllama-1.1b-mlx,14,0,,,"['mlx', 'safetensors', 'llama', 'food', 'nutrition', 'parsing', 'health', 'on-device', 'ios', 'fine-tuned', 'apple-silicon', 'en', 'dataset:custom', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:llama3.2', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,alexredna/Tukan-1.1B-Chat-reasoning-sft-COLA,13,0,,text-generation,"['transformers', 'tensorboard', 'safetensors', 'llama', 'text-generation', 'trl', 'sft', 'generated_from_trainer', 'conversational', 'dataset:generator', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,xinyuan3/model_name,13,0,,text-generation,"['transformers', 'safetensors', 'llama', 'text-generation', 'conversational', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:mit', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,azam25/TinyLlama_instruct_generation,11,1,,text-generation,"['transformers', 'tensorboard', 'safetensors', 'llama', 'text-generation', 'trl', 'sft', 'generated_from_trainer', 'conversational', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,youndukn/TinyLlama-1.1B-Chat-v1.0-reasoning-v2-dpo-romantic,11,0,,text-generation,"['transformers', 'tensorboard', 'safetensors', 'llama', 'text-generation', 'generated_from_trainer', 'conversational', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,alexredna/Tukan-1.1B-Chat-reasoning-sft-COLA-2.5epr-R8-A16,11,0,,text-generation,"['transformers', 'tensorboard', 'safetensors', 'llama', 'text-generation', 'trl', 'sft', 'generated_from_trainer', 'conversational', 'dataset:generator', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,Akash-nath29/tinyllamashakespeare,11,1,,text-generation,"['transformers', 'safetensors', 'llama', 'text-generation', 'shakespeare', 'chatbot', 'tinyllama', 'fine-tuned', 'conversational', 'en', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:mit', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,adsazad/test_trainer,10,0,,text-generation,"['transformers', 'tensorboard', 'safetensors', 'llama', 'text-generation', 'generated_from_trainer', 'conversational', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,yzhuang/TinyLlama-1.1B_fictional,10,0,,text-generation,"['transformers', 'safetensors', 'llama', 'text-generation', 'trl', 'sft', 'generated_from_trainer', 'conversational', 'dataset:mmlu_no_train', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,AlexKoff88/TinyLlama-1.1B-Chat-v1.0-openvino-4bit,10,0,,,"['openvino', 'llama', 'nncf', '4-bit', 'en', 'dataset:cerebras/SlimPajama-627B', 'dataset:bigcode/starcoderdata', 'dataset:HuggingFaceH4/ultrachat_200k', 'dataset:HuggingFaceH4/ultrafeedback_binarized', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:apache-2.0', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,aws-neuron/NeuronWorkshop2025,10,0,,,"['safetensors', 'llama', 'dataset:b-mc2/sql-create-context', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:apache-2.0', 'region:us']"
