base_model_name,suspect_model_name,relation,num_pairs,k_prefix,pal_chars_mean,pal_k_mean,lev_sim_mean,lcs_ratio_mean,score_mean
cavendishlabs/sftd_model_c03f6a40-3b64-4f9b-b5f3-dd704171c333,Qwen/Qwen2.5-0.5B,same,20,30,0.25,0.0,0.145092,0.156269,0.100454
JayHyeon/QWEN_toy-DPOP_5e-5-100ep_0alp_5lam,Qwen/Qwen2.5-0.5B,same,20,30,0.0,0.0,0.020808,0.009684,0.010164
cavendishlabs/sftd_model_1cdaec2e-939d-41c6-b49f-8c97e02695ec,Qwen/Qwen2.5-0.5B,same,20,30,61.7,0.65,0.391914,0.4882,0.510038
verge4646/autotrain-qwen-1737303151,Qwen/Qwen2.5-0.5B,same,20,30,9.85,0.15,0.273529,0.309257,0.244262
minchyeom/bot3-0.5B,Qwen/Qwen2.5-0.5B,same,20,30,16.2,0.2,0.247631,0.322774,0.256802
fabiopernisi/Qwen2.5-0.5B-BMW-compl,Qwen/Qwen2.5-0.5B,same,20,30,5.35,0.05,0.118503,0.106745,0.091749
josang1204/Qweb2.5-FT-CSY,Qwen/Qwen2.5-0.5B,same,20,30,0.3,0.0,0.119903,0.13374,0.084548
p1atdev/qwen2.5-0.5b-grpo-math-01,Qwen/Qwen2.5-0.5B,same,20,30,0.0,0.0,0.012131,0.000518,0.004217
adarksky/Qwen2.5-0.5B-sft-lora-rel-therapy,Qwen/Qwen2.5-0.5B,same,20,30,5.4,0.05,0.197371,0.202207,0.149859
BlossomsAI/BloomVN-0.5B-ppo,Qwen/Qwen2.5-0.5B,same,20,30,30.75,0.35,0.269376,0.339268,0.319548
alamios/DeepSeek-R1-DRAFT-Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,same,20,30,0.8,0.0,0.122279,0.118305,0.080195
awentzonline/Qwen2.5-0.5B-replies,Qwen/Qwen2.5-0.5B,same,20,30,16.9,0.25,0.280713,0.332691,0.287801
brando/tfa_output_2025_m02_d07_t07h_45m_38s,Qwen/Qwen2.5-0.5B,same,20,30,76.45,0.8,0.45462,0.606783,0.620468
oieieio/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B,same,20,30,3.9,0.05,0.156261,0.186662,0.130974
petkopetkov/Qwen2.5-0.5B-song-lyrics-generation,Qwen/Qwen2.5-0.5B,same,20,30,0.0,0.0,0.132511,0.065739,0.066083
JonhTheTrueKingoftheNorth/Qwen2.5-0.5b,Qwen/Qwen2.5-0.5B,same,20,30,6.95,0.1,0.119699,0.142177,0.120625
dtejasaipraveen/qwenfinetuned,Qwen/Qwen2.5-0.5B,same,20,30,78.9,1.0,0.498968,0.665729,0.721566
qgallouedec/Qwen2.5-0.5B-GRPO-2873,Qwen/Qwen2.5-0.5B,same,20,30,109.15,0.95,0.526588,0.684719,0.720436
qgallouedec/Qwen2.5-0.5B-GRPO-main,Qwen/Qwen2.5-0.5B,same,20,30,80.3,0.95,0.476322,0.63392,0.686747
alothomas/Qwen2.5-0.5B-PRM-RAD-balanced-V3,Qwen/Qwen2.5-0.5B,same,20,30,0.0,0.0,0.030095,0.03299,0.021028
valerielucro/Qwen2-0.5B-GRPO-VLLM-mni-epoc-64-full,Qwen/Qwen2.5-0.5B,same,20,30,65.7,0.75,0.459512,0.613065,0.607526
alothomas/Qwen2.5-0.5B-PRM-RAD-balanced-V4,Qwen/Qwen2.5-0.5B,same,20,30,0.15,0.0,0.05661,0.065939,0.04085
