model,cluster_id,cluster_family,n_outliers,n_cluster_related_in_outliers,n_cluster_related_in_universe,precision_outliers_vs_cluster,recall_cluster_in_universe_captured,cluster_related_outliers,cluster_related_in_universe_not_in_outliers
ByteDance-Seed/Seed-Coder-8B-Instruct,15,Seed-Coder-8B-Base,1,1,1,1.0,1.0,ByteDance-Seed/Seed-Coder-8B-Base,
ChrisMcCormick/deepseek-tiny-v0.1,31,deepseek-tiny-v0.1,0,0,0,,,,
CorticalStack/pastiche-crown-clown-7b-dare,16,pastiche-crown-clown-7b-dare,31,1,1,0.032258,1.0,CorticalStack/pastiche-crown-clown-7b-dare-dpo,
CorticalStack/pastiche-crown-clown-7b-dare-dpo,16,pastiche-crown-clown-7b-dare,32,1,1,0.03125,1.0,CorticalStack/pastiche-crown-clown-7b-dare,
CultriX/NeuralTrix-7B-dpo,3,AiMaven-Prometheus,34,13,13,0.382353,1.0,AiMavenAi/AiMaven-Prometheus | CultriX/NeuralTrix-bf16 | FelixChao/Sectumsempra-7B-DPO | argilla/distilabeled-Marcoro14-7B-slerp | fblgit/UNA-TheBeagle-7b-v1 | flemmingmiguel/MBX-7B-v3 | mlabonne/Beagle14-7B | mlabonne/Marcoro14-7B-slerp | mlabonne/NeuralBeagle14-7B | mlabonne/OmniBeagle-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | shadowml/WestBeagle-7B,
CultriX/NeuralTrix-bf16,3,AiMaven-Prometheus,32,13,13,0.40625,1.0,AiMavenAi/AiMaven-Prometheus | CultriX/NeuralTrix-7B-dpo | FelixChao/Sectumsempra-7B-DPO | argilla/distilabeled-Marcoro14-7B-slerp | fblgit/UNA-TheBeagle-7b-v1 | flemmingmiguel/MBX-7B-v3 | mlabonne/Beagle14-7B | mlabonne/Marcoro14-7B-slerp | mlabonne/NeuralBeagle14-7B | mlabonne/OmniBeagle-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | shadowml/WestBeagle-7B,
DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,32,Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,9,0,0,0.0,,,
DeepHat/DeepHat-V1-7B,1,Qwen2.5-7B,4,3,16,0.75,0.1875,Qwen/Qwen2.5-Coder-7B | Qwen/Qwen2.5-Coder-7B-Instruct | continuedev/instinct,Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | Qwen/Qwen2.5-Math-7B | Qwen/Qwen2.5-Math-7B-Instruct | abocide/Qwen2.5-7B-Instruct-R1-forfinance | arcee-ai/Meraj-Mini | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | jiawei-ucas/Qwen-2.5-7B-ConsistentChat | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B
EleutherAI/gpt-neo-1.3B,33,gpt-neo-1.3B,3,0,0,0.0,,,
EleutherAI/polyglot-ko-3.8b,34,polyglot-ko-3.8b,0,0,0,,,,
EleutherAI/pythia-1.4b,35,pythia-1.4b,4,0,0,0.0,,,
EleutherAI/pythia-1b,36,pythia-1b,4,0,0,0.0,,,
EleutherAI/pythia-2.8b,37,pythia-2.8b,4,0,0,0.0,,,
EleutherAI/pythia-6.9b,38,pythia-6.9b,4,0,0,0.0,,,
FelixChao/Sectumsempra-7B-DPO,3,AiMaven-Prometheus,31,13,13,0.419355,1.0,AiMavenAi/AiMaven-Prometheus | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | argilla/distilabeled-Marcoro14-7B-slerp | fblgit/UNA-TheBeagle-7b-v1 | flemmingmiguel/MBX-7B-v3 | mlabonne/Beagle14-7B | mlabonne/Marcoro14-7B-slerp | mlabonne/NeuralBeagle14-7B | mlabonne/OmniBeagle-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | shadowml/WestBeagle-7B,
FelixChao/vicuna-7B-chemical,39,vicuna-7B-chemical,11,0,0,0.0,,,
FelixChao/vicuna-7B-physics,40,vicuna-7B-physics,11,0,0,0.0,,,
Gensyn/Qwen2.5-1.5B-Instruct,4,Qwen2.5-1.5B,14,6,13,0.428571,0.461538,Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B-Instruct | Qwen/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | SakanaAI/TinySwallow-1.5B | Writer/palmyra-mini | nvidia/OpenMath-Nemotron-1.5B | unsloth/Qwen2.5-Math-1.5B
Gensyn/Qwen2.5-7B-Instruct,1,Qwen2.5-7B,13,11,16,0.846154,0.6875,Jurema-br/Jurema-7B | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | Qwen/Qwen2.5-Coder-7B-Instruct | abocide/Qwen2.5-7B-Instruct-R1-forfinance | arcee-ai/Meraj-Mini | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | jiawei-ucas/Qwen-2.5-7B-ConsistentChat | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B,DeepHat/DeepHat-V1-7B | Qwen/Qwen2.5-Coder-7B | Qwen/Qwen2.5-Math-7B | Qwen/Qwen2.5-Math-7B-Instruct | continuedev/instinct
HuggingFaceH4/zephyr-7b-beta,5,BioMistral-7B,31,6,6,0.193548,1.0,BioMistral/BioMistral-7B | BioMistral/BioMistral-7B-DARE | Intel/neural-chat-7b-v3-1 | Intel/neural-chat-7b-v3-3 | mistralai/Mistral-7B-Instruct-v0.1 | mistralai/Mistral-7B-v0.1,
HuggingFaceTB/SmolLM-135M,41,SmolLM-135M,1,0,0,0.0,,,
HuggingFaceTB/SmolLM2-135M,42,SmolLM2-135M,1,0,0,0.0,,,
HuggingFaceTB/SmolLM3-3B,17,SmolLM3-3B-Base,8,1,1,0.125,1.0,HuggingFaceTB/SmolLM3-3B-Base,
HuggingFaceTB/SmolLM3-3B-Base,17,SmolLM3-3B-Base,17,1,1,0.058824,1.0,HuggingFaceTB/SmolLM3-3B,
INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,9,gemma-2-2b,4,3,3,0.75,1.0,google/gemma-2-2b | google/gemma-2-2b-it | google/gemma-2-2b-jpn-it,
Intel/neural-chat-7b-v3-1,5,BioMistral-7B,31,6,6,0.193548,1.0,BioMistral/BioMistral-7B | BioMistral/BioMistral-7B-DARE | HuggingFaceH4/zephyr-7b-beta | Intel/neural-chat-7b-v3-3 | mistralai/Mistral-7B-Instruct-v0.1 | mistralai/Mistral-7B-v0.1,
Intel/neural-chat-7b-v3-3,5,BioMistral-7B,31,6,6,0.193548,1.0,BioMistral/BioMistral-7B | BioMistral/BioMistral-7B-DARE | HuggingFaceH4/zephyr-7b-beta | Intel/neural-chat-7b-v3-1 | mistralai/Mistral-7B-Instruct-v0.1 | mistralai/Mistral-7B-v0.1,
Jurema-br/Jurema-7B,1,Qwen2.5-7B,14,12,16,0.857143,0.75,Gensyn/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | Qwen/Qwen2.5-Coder-7B | Qwen/Qwen2.5-Coder-7B-Instruct | abocide/Qwen2.5-7B-Instruct-R1-forfinance | arcee-ai/Meraj-Mini | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | jiawei-ucas/Qwen-2.5-7B-ConsistentChat | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B,DeepHat/DeepHat-V1-7B | Qwen/Qwen2.5-Math-7B | Qwen/Qwen2.5-Math-7B-Instruct | continuedev/instinct
KoboldAI/GPT-Neo-2.7B-Horni-LN,43,GPT-Neo-2.7B-Horni-LN,3,0,0,0.0,,,
LGAI-EXAONE/EXAONE-4.0-1.2B,44,EXAONE-4.0-1.2B,0,0,0,,,,
LiquidAI/LFM2-1.2B,45,LFM2-1.2B,6,0,0,0.0,,,
LiquidAI/LFM2-350M,46,LFM2-350M,1,0,0,0.0,,,
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,6,Llama-3.2-3B-Instruct,24,4,5,0.166667,0.8,acon96/Home-Llama-3.2-3B | inference-net/Schematron-3B | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct,beruniy/Llama-3.2-3B-Instruct-Uz
Nexusflow/Starling-LM-7B-beta,47,Starling-LM-7B-beta,31,0,0,0.0,,,
NinedayWang/PolyCoder-2.7B,48,PolyCoder-2.7B,0,0,0,,,,
NousResearch/Hermes-3-Llama-3.1-8B,2,Llama-3.1-8B,26,13,14,0.5,0.928571,aisingapore/Llama-SEA-LION-v3-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | allenai/llama-3.1-tulu-2-8b | askfjhaskjgh/UbermenschetienASI | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | dphn/Dolphin3.0-Llama3.1-8B | meta-llama/Llama-3.1-8B | meta-llama/Llama-3.1-8B-Instruct | meta-llama/Llama-Guard-3-8B | microsoft/UserLM-8b | nvidia/OpenMath2-Llama3.1-8B | unsloth/Llama-3.1-8B | unsloth/Meta-Llama-3.1-8B-Instruct,nvidia/Llama-3.1-8B-Instruct-FP8
PharMolix/BioMedGPT-LM-7B,49,BioMedGPT-LM-7B,11,0,0,0.0,,,
PowerInfer/SmallThinker-3B-Preview,12,Qwen2.5-3B,4,2,2,0.5,1.0,Qwen/Qwen2.5-3B | Qwen/Qwen2.5-3B-Instruct,
PygmalionAI/pygmalion-2.7b,50,pygmalion-2.7b,3,0,0,0.0,,,
Qwen/Qwen1.5-0.5B-Chat,51,Qwen1.5-0.5B-Chat,3,0,0,0.0,,,
Qwen/Qwen1.5-4B-Chat,52,Qwen1.5-4B-Chat,0,0,0,,,,
Qwen/Qwen2-0.5B,18,Qwen2-0.5B,1,1,1,1.0,1.0,Qwen/Qwen2-0.5B-Instruct,
Qwen/Qwen2-0.5B-Instruct,18,Qwen2-0.5B,1,1,1,1.0,1.0,Qwen/Qwen2-0.5B,
Qwen/Qwen2-7B,19,Qwen2-7B,14,1,1,0.071429,1.0,Qwen/Qwen2-7B-Instruct,
Qwen/Qwen2-7B-Instruct,19,Qwen2-7B,16,1,1,0.0625,1.0,Qwen/Qwen2-7B,
Qwen/Qwen2.5-0.5B,7,Qwen2.5-0.5B,10,3,4,0.3,0.75,Qwen/Qwen2.5-0.5B-Instruct | Qwen/Qwen2.5-Coder-0.5B | unsloth/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-Coder-0.5B-Instruct
Qwen/Qwen2.5-0.5B-Instruct,7,Qwen2.5-0.5B,2,2,4,1.0,0.5,Qwen/Qwen2.5-0.5B | unsloth/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-Coder-0.5B | Qwen/Qwen2.5-Coder-0.5B-Instruct
Qwen/Qwen2.5-1.5B,4,Qwen2.5-1.5B,25,7,13,0.28,0.538462,Gensyn/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B | SakanaAI/TinySwallow-1.5B | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B-Instruct | Qwen/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | Writer/palmyra-mini | nvidia/OpenMath-Nemotron-1.5B | unsloth/Qwen2.5-Math-1.5B
Qwen/Qwen2.5-1.5B-Instruct,4,Qwen2.5-1.5B,16,6,13,0.375,0.461538,Gensyn/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-Coder-1.5B | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B-Instruct | Qwen/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | SakanaAI/TinySwallow-1.5B | Writer/palmyra-mini | nvidia/OpenMath-Nemotron-1.5B | unsloth/Qwen2.5-Math-1.5B
Qwen/Qwen2.5-3B,12,Qwen2.5-3B,23,2,2,0.086957,1.0,PowerInfer/SmallThinker-3B-Preview | Qwen/Qwen2.5-3B-Instruct,
Qwen/Qwen2.5-3B-Instruct,12,Qwen2.5-3B,9,2,2,0.222222,1.0,PowerInfer/SmallThinker-3B-Preview | Qwen/Qwen2.5-3B,
Qwen/Qwen2.5-7B,1,Qwen2.5-7B,20,11,16,0.55,0.6875,Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | Qwen/Qwen2.5-Coder-7B | abocide/Qwen2.5-7B-Instruct-R1-forfinance | arcee-ai/Meraj-Mini | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | jiawei-ucas/Qwen-2.5-7B-ConsistentChat | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B,DeepHat/DeepHat-V1-7B | Qwen/Qwen2.5-Coder-7B-Instruct | Qwen/Qwen2.5-Math-7B | Qwen/Qwen2.5-Math-7B-Instruct | continuedev/instinct
Qwen/Qwen2.5-7B-Instruct,1,Qwen2.5-7B,12,10,16,0.833333,0.625,Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct-1M | abocide/Qwen2.5-7B-Instruct-R1-forfinance | arcee-ai/Meraj-Mini | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | jiawei-ucas/Qwen-2.5-7B-ConsistentChat | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B,DeepHat/DeepHat-V1-7B | Qwen/Qwen2.5-Coder-7B | Qwen/Qwen2.5-Coder-7B-Instruct | Qwen/Qwen2.5-Math-7B | Qwen/Qwen2.5-Math-7B-Instruct | continuedev/instinct
Qwen/Qwen2.5-7B-Instruct-1M,1,Qwen2.5-7B,12,10,16,0.833333,0.625,Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | abocide/Qwen2.5-7B-Instruct-R1-forfinance | arcee-ai/Meraj-Mini | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | jiawei-ucas/Qwen-2.5-7B-ConsistentChat | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B,DeepHat/DeepHat-V1-7B | Qwen/Qwen2.5-Coder-7B | Qwen/Qwen2.5-Coder-7B-Instruct | Qwen/Qwen2.5-Math-7B | Qwen/Qwen2.5-Math-7B-Instruct | continuedev/instinct
Qwen/Qwen2.5-Coder-0.5B-Instruct,7,Qwen2.5-0.5B,4,0,4,0.0,0.0,,Qwen/Qwen2.5-0.5B | Qwen/Qwen2.5-0.5B-Instruct | Qwen/Qwen2.5-Coder-0.5B | unsloth/Qwen2.5-0.5B-Instruct
Qwen/Qwen2.5-Coder-1.5B,4,Qwen2.5-1.5B,19,6,13,0.315789,0.461538,Gensyn/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B-Instruct | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | SakanaAI/TinySwallow-1.5B | Writer/palmyra-mini | nvidia/OpenMath-Nemotron-1.5B | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-Math-1.5B
Qwen/Qwen2.5-Coder-1.5B-Instruct,4,Qwen2.5-1.5B,15,7,13,0.466667,0.538462,Gensyn/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | SakanaAI/TinySwallow-1.5B | Writer/palmyra-mini | nvidia/OpenMath-Nemotron-1.5B | unsloth/Qwen2.5-Math-1.5B
Qwen/Qwen2.5-Coder-7B,1,Qwen2.5-7B,8,4,16,0.5,0.25,DeepHat/DeepHat-V1-7B | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-Coder-7B-Instruct | continuedev/instinct,Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | Qwen/Qwen2.5-Math-7B | Qwen/Qwen2.5-Math-7B-Instruct | abocide/Qwen2.5-7B-Instruct-R1-forfinance | arcee-ai/Meraj-Mini | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | jiawei-ucas/Qwen-2.5-7B-ConsistentChat | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B
Qwen/Qwen2.5-Coder-7B-Instruct,1,Qwen2.5-7B,3,3,16,1.0,0.1875,DeepHat/DeepHat-V1-7B | Qwen/Qwen2.5-Coder-7B | continuedev/instinct,Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | Qwen/Qwen2.5-Math-7B | Qwen/Qwen2.5-Math-7B-Instruct | abocide/Qwen2.5-7B-Instruct-R1-forfinance | arcee-ai/Meraj-Mini | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | jiawei-ucas/Qwen-2.5-7B-ConsistentChat | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B
Qwen/Qwen2.5-Math-1.5B,4,Qwen2.5-1.5B,8,2,13,0.25,0.153846,Writer/palmyra-mini | unsloth/Qwen2.5-Math-1.5B,Gensyn/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B | Qwen/Qwen2.5-Coder-1.5B-Instruct | Qwen/Qwen2.5-Math-1.5B-Instruct | SakanaAI/TinySwallow-1.5B | nvidia/OpenMath-Nemotron-1.5B | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct
Qwen/Qwen2.5-Math-1.5B-Instruct,4,Qwen2.5-1.5B,4,3,13,0.75,0.230769,Qwen/Qwen2.5-Math-1.5B | Writer/palmyra-mini | unsloth/Qwen2.5-Math-1.5B,Gensyn/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B | Qwen/Qwen2.5-Coder-1.5B-Instruct | SakanaAI/TinySwallow-1.5B | nvidia/OpenMath-Nemotron-1.5B | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct
Qwen/Qwen2.5-Math-7B,1,Qwen2.5-7B,11,1,16,0.090909,0.0625,nvidia/OpenCodeReasoning-Nemotron-7B,DeepHat/DeepHat-V1-7B | Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | Qwen/Qwen2.5-Coder-7B | Qwen/Qwen2.5-Coder-7B-Instruct | Qwen/Qwen2.5-Math-7B-Instruct | abocide/Qwen2.5-7B-Instruct-R1-forfinance | arcee-ai/Meraj-Mini | continuedev/instinct | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | jiawei-ucas/Qwen-2.5-7B-ConsistentChat | nvidia/OpenCodeReasoning-Nemotron-1.1-7B
Qwen/Qwen2.5-Math-7B-Instruct,1,Qwen2.5-7B,0,0,16,,0.0,,DeepHat/DeepHat-V1-7B | Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | Qwen/Qwen2.5-Coder-7B | Qwen/Qwen2.5-Coder-7B-Instruct | Qwen/Qwen2.5-Math-7B | abocide/Qwen2.5-7B-Instruct-R1-forfinance | arcee-ai/Meraj-Mini | continuedev/instinct | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | jiawei-ucas/Qwen-2.5-7B-ConsistentChat | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B
Qwen/Qwen3-0.6B,20,Qwen3-0.6B-Base,8,1,1,0.125,1.0,Qwen/Qwen3-0.6B-Base,
Qwen/Qwen3-0.6B-Base,20,Qwen3-0.6B-Base,1,1,1,1.0,1.0,Qwen/Qwen3-0.6B,
Qwen/Qwen3-1.7B,8,Qwen3-1.7B-Base,9,3,4,0.333333,0.75,dnotitia/Smoothie-Qwen3-1.7B | fluently/FluentlyQwen3-1.7B | janhq/Jan-v1-edge,Qwen/Qwen3-1.7B-Base
Qwen/Qwen3-1.7B-Base,8,Qwen3-1.7B-Base,23,4,4,0.173913,1.0,Qwen/Qwen3-1.7B | dnotitia/Smoothie-Qwen3-1.7B | fluently/FluentlyQwen3-1.7B | janhq/Jan-v1-edge,
Qwen/Qwen3-4B,13,Qwen3-4B-Base,15,1,2,0.066667,0.5,Tesslate/UIGEN-X-4B-0729,Qwen/Qwen3-4B-Base
Qwen/Qwen3-4B-Base,13,Qwen3-4B-Base,22,0,2,0.0,0.0,,Qwen/Qwen3-4B | Tesslate/UIGEN-X-4B-0729
Qwen/Qwen3-4B-Instruct-2507,21,Qwen3-4B-Instruct-2507,10,1,1,0.1,1.0,Tesslate/WEBGEN-4B-Preview,
Qwen/Qwen3-4B-Thinking-2507,10,Qwen3-4B-Thinking-2507,12,3,3,0.25,1.0,Qwen/Qwen3-4B-Thinking-2507-FP8 | huihui-ai/Huihui-Jan-v1-4B-abliterated | janhq/Jan-v1-4B,
Qwen/Qwen3-4B-Thinking-2507-FP8,10,Qwen3-4B-Thinking-2507,9,3,3,0.333333,1.0,Qwen/Qwen3-4B-Thinking-2507 | huihui-ai/Huihui-Jan-v1-4B-abliterated | janhq/Jan-v1-4B,
S4nfs/Neeto-1.0-8b,53,Neeto-1.0-8b,26,0,0,0.0,,,
SakanaAI/TinySwallow-1.5B,4,Qwen2.5-1.5B,17,6,13,0.352941,0.461538,Gensyn/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B-Instruct | Qwen/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | Writer/palmyra-mini | nvidia/OpenMath-Nemotron-1.5B | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-Math-1.5B
SciPhi/SciPhi-Mistral-7B-32k,54,SciPhi-Mistral-7B-32k,31,0,0,0.0,,,
SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,55,SciPhi-Self-RAG-Mistral-7B-32k,31,0,0,0.0,,,
Tesslate/UIGEN-X-4B-0729,13,Qwen3-4B-Base,18,1,2,0.055556,0.5,Qwen/Qwen3-4B,Qwen/Qwen3-4B-Base
Tesslate/WEBGEN-4B-Preview,21,Qwen3-4B-Instruct-2507,11,1,1,0.090909,1.0,Qwen/Qwen3-4B-Instruct-2507,
TheOneWhoWill/Bootstrap-LLM,56,Bootstrap-LLM,3,0,0,0.0,,,
TinyLlama/TinyLlama-1.1B-Chat-v0.5,57,TinyLlama-1.1B-Chat-v0.5,11,0,0,0.0,,,
TinyLlama/TinyLlama-1.1B-Chat-v1.0,58,TinyLlama-1.1B-Chat-v1.0,11,0,0,0.0,,,
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,59,TinyLlama-1.1B-intermediate-step-1431k-3T,11,0,0,0.0,,,
TinyLlama/TinyLlama_v1.1,60,TinyLlama_v1.1,7,0,0,0.0,,,
TinyLlama/TinyLlama_v1.1_math_code,61,TinyLlama_v1.1_math_code,11,0,0,0.0,,,
