model,outlier,overlap_score,graph_distance
Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,0.1662,12.0
Qwen/Qwen2.5-3B-Instruct,Gensyn/Qwen2.5-1.5B-Instruct,0.1662,12.0
Qwen/Qwen2.5-3B-Instruct,unsloth/Qwen2.5-1.5B-Instruct,0.1662,13.0
Jurema-br/Jurema-7B,Gensyn/Qwen2.5-7B-Instruct,0.6758,2.0
Jurema-br/Jurema-7B,Qwen/Qwen2.5-7B-Instruct,0.6758,1.0
Jurema-br/Jurema-7B,arcee-ai/Meraj-Mini,0.6369,2.0
Jurema-br/Jurema-7B,Qwen/Qwen2.5-7B-Instruct-1M,0.4988,3.0
Jurema-br/Jurema-7B,cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,0.489,2.0
Jurema-br/Jurema-7B,Qwen/Qwen2.5-7B,0.4226,2.0
Jurema-br/Jurema-7B,nvidia/OpenCodeReasoning-Nemotron-1.1-7B,0.1832,2.0
Jurema-br/Jurema-7B,nvidia/OpenCodeReasoning-Nemotron-7B,0.1669,2.0
Jurema-br/Jurema-7B,Qwen/Qwen2-7B,0.1332,12.0
Jurema-br/Jurema-7B,Qwen/Qwen2-7B-Instruct,0.1199,13.0
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,meta-llama/Llama-3.2-3B-Instruct,0.7282,1.0
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,unsloth/Llama-3.2-3B-Instruct,0.7282,2.0
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,inference-net/Schematron-3B,0.679,2.0
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,acon96/Home-Llama-3.2-3B,0.6085,2.0
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,arcee-ai/Llama-3.1-SuperNova-Lite,0.1667,13.0
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,0.1536,12.0
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,meta-llama/Llama-3.1-8B-Instruct,0.1536,12.0
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,unsloth/Meta-Llama-3.1-8B-Instruct,0.1536,13.0
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,meta-llama/Llama-3.2-1B-Instruct,0.103,11.0
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,unsloth/Llama-3.2-1B-Instruct,0.103,12.0
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,nvidia/OpenMath2-Llama3.1-8B,0.0791,12.0
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,nvidia/DLER-Llama-Nemotron-8B-Merge-Research,0.0698,
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,NousResearch/Hermes-3-Llama-3.2-3B,0.0691,2.0
NousResearch/Hermes-3-Llama-3.1-8B,NousResearch/Hermes-2-Pro-Llama-3-8B,0.3408,2.0
NousResearch/Hermes-3-Llama-3.1-8B,aisingapore/Llama-SEA-LION-v3-8B,0.3354,3.0
NousResearch/Hermes-3-Llama-3.1-8B,meta-llama/Llama-3.1-8B,0.3078,1.0
NousResearch/Hermes-3-Llama-3.1-8B,unsloth/Llama-3.1-8B,0.3078,2.0
NousResearch/Hermes-3-Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B,0.3032,4.0
NousResearch/Hermes-3-Llama-3.1-8B,MLP-KTLim/llama-3-Korean-Bllossom-8B,0.2904,2.0
NousResearch/Hermes-3-Llama-3.1-8B,allenai/Llama-3.1-Tulu-3-8B-SFT,0.2802,2.0
NousResearch/Hermes-3-Llama-3.1-8B,allenai/llama-3.1-tulu-2-8b,0.2625,2.0
NousResearch/Hermes-3-Llama-3.1-8B,arcee-ai/Llama-3.1-SuperNova-Lite,0.2507,3.0
NousResearch/Hermes-3-Llama-3.1-8B,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,0.2381,2.0
NousResearch/Hermes-3-Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,0.2381,2.0
NousResearch/Hermes-3-Llama-3.1-8B,unsloth/Meta-Llama-3.1-8B-Instruct,0.2381,3.0
NousResearch/Hermes-3-Llama-3.1-8B,microsoft/UserLM-8b,0.2348,2.0
NousResearch/Hermes-3-Llama-3.1-8B,dphn/Dolphin3.0-Llama3.1-8B,0.1932,2.0
Qwen/Qwen2.5-1.5B-Instruct,Gensyn/Qwen2.5-1.5B-Instruct,1.0,2.0
Qwen/Qwen2.5-1.5B-Instruct,unsloth/Qwen2.5-1.5B-Instruct,1.0,1.0
Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B,0.6051,1.0
Qwen/Qwen2.5-1.5B-Instruct,unsloth/Qwen2.5-1.5B,0.6051,2.0
Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B,0.2843,11.0
Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,0.1788,12.0
Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-7B,0.1591,11.0
Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B,0.1466,2.0
Qwen/Qwen2.5-1.5B-Instruct,unsloth/Qwen3-1.7B-Base,0.1404,13.0
Qwen/Qwen2.5-7B-Instruct,Gensyn/Qwen2.5-7B-Instruct,1.0,1.0
Qwen/Qwen2.5-7B-Instruct,arcee-ai/Meraj-Mini,0.689,1.0
Qwen/Qwen2.5-7B-Instruct,Jurema-br/Jurema-7B,0.6672,1.0
Qwen/Qwen2.5-7B-Instruct,cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,0.5683,1.0
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct-1M,0.4767,2.0
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B,0.3899,1.0
Qwen/Qwen2.5-7B-Instruct,nvidia/OpenCodeReasoning-Nemotron-7B,0.2397,1.0
Qwen/Qwen2.5-7B-Instruct,nvidia/OpenCodeReasoning-Nemotron-1.1-7B,0.2194,1.0
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2-7B,0.1483,11.0
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2-7B-Instruct,0.1372,12.0
Qwen/Qwen2.5-7B-Instruct-1M,arcee-ai/Meraj-Mini,0.439,3.0
Qwen/Qwen2.5-7B-Instruct-1M,Gensyn/Qwen2.5-7B-Instruct,0.4102,3.0
Qwen/Qwen2.5-7B-Instruct-1M,Qwen/Qwen2.5-7B-Instruct,0.4102,2.0
Qwen/Qwen2.5-7B-Instruct-1M,Jurema-br/Jurema-7B,0.4097,3.0
Qwen/Qwen2.5-7B-Instruct-1M,cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,0.3551,3.0
Qwen/Qwen2.5-7B-Instruct-1M,Qwen/Qwen2.5-7B,0.3486,1.0
Qwen/Qwen2.5-7B-Instruct-1M,nvidia/OpenCodeReasoning-Nemotron-7B,0.1679,3.0
Qwen/Qwen2.5-7B-Instruct-1M,Qwen/Qwen2-7B,0.1326,11.0
Qwen/Qwen2.5-7B-Instruct-1M,Qwen/Qwen2-7B-Instruct,0.132,12.0
Qwen/Qwen2.5-Coder-7B,Qwen/Qwen2.5-7B,0.1831,1.0
Qwen/Qwen2.5-Coder-7B,Qwen/Qwen2.5-Coder-1.5B,0.1555,12.0
Qwen/Qwen2.5-Coder-7B,Qwen/Qwen2.5-Coder-0.5B,0.1491,11.0
SakanaAI/TinySwallow-1.5B,unsloth/Qwen3-1.7B-Base,0.2787,14.0
SakanaAI/TinySwallow-1.5B,Qwen/Qwen2.5-1.5B,0.0797,2.0
SakanaAI/TinySwallow-1.5B,unsloth/Qwen2.5-1.5B,0.0797,3.0
SakanaAI/TinySwallow-1.5B,Qwen/Qwen2.5-Coder-0.5B,0.0533,12.0
acon96/Home-Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,0.7331,1.0
acon96/Home-Llama-3.2-3B,unsloth/Llama-3.2-3B-Instruct,0.7331,2.0
acon96/Home-Llama-3.2-3B,inference-net/Schematron-3B,0.7157,2.0
acon96/Home-Llama-3.2-3B,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,0.6556,2.0
acon96/Home-Llama-3.2-3B,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,0.2396,12.0
acon96/Home-Llama-3.2-3B,meta-llama/Llama-3.1-8B-Instruct,0.2396,12.0
acon96/Home-Llama-3.2-3B,unsloth/Meta-Llama-3.1-8B-Instruct,0.2396,13.0
acon96/Home-Llama-3.2-3B,arcee-ai/Llama-3.1-SuperNova-Lite,0.2343,13.0
aisingapore/Llama-SEA-LION-v3-8B,allenai/Llama-3.1-Tulu-3-8B-SFT,0.493,3.0
aisingapore/Llama-SEA-LION-v3-8B,allenai/Llama-3.1-Tulu-3-8B,0.4755,5.0
aisingapore/Llama-SEA-LION-v3-8B,meta-llama/Llama-3.1-8B,0.4606,2.0
aisingapore/Llama-SEA-LION-v3-8B,unsloth/Llama-3.1-8B,0.4606,3.0
aisingapore/Llama-SEA-LION-v3-8B,arcee-ai/Llama-3.1-SuperNova-Lite,0.3493,2.0
aisingapore/Llama-SEA-LION-v3-8B,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,0.3439,3.0
aisingapore/Llama-SEA-LION-v3-8B,meta-llama/Llama-3.1-8B-Instruct,0.3439,1.0
aisingapore/Llama-SEA-LION-v3-8B,unsloth/Meta-Llama-3.1-8B-Instruct,0.3439,2.0
aisingapore/Llama-SEA-LION-v3-8B,dphn/Dolphin3.0-Llama3.1-8B,0.3026,3.0
aisingapore/Llama-SEA-LION-v3-8B,MLP-KTLim/llama-3-Korean-Bllossom-8B,0.2831,3.0
aisingapore/Llama-SEA-LION-v3-8B,NousResearch/Hermes-2-Pro-Llama-3-8B,0.2674,3.0
aisingapore/Llama-SEA-LION-v3-8B,allenai/llama-3.1-tulu-2-8b,0.2583,3.0
aisingapore/Llama-SEA-LION-v3-8B,microsoft/UserLM-8b,0.2372,3.0
aisingapore/Llama-SEA-LION-v3-8B,NousResearch/Hermes-3-Llama-3.1-8B,0.2317,3.0
aisingapore/Llama-SEA-LION-v3-8B,unsloth/Llama-3.2-1B,0.1925,
allenai/Llama-3.1-Tulu-3-8B-SFT,allenai/Llama-3.1-Tulu-3-8B,0.7019,2.0
allenai/Llama-3.1-Tulu-3-8B-SFT,meta-llama/Llama-3.1-8B,0.5822,1.0
allenai/Llama-3.1-Tulu-3-8B-SFT,unsloth/Llama-3.1-8B,0.5822,2.0
allenai/Llama-3.1-Tulu-3-8B-SFT,aisingapore/Llama-SEA-LION-v3-8B,0.3533,3.0
allenai/Llama-3.1-Tulu-3-8B-SFT,NousResearch/Hermes-3-Llama-3.1-8B,0.2733,2.0
allenai/Llama-3.1-Tulu-3-8B-SFT,allenai/llama-3.1-tulu-2-8b,0.2528,2.0
allenai/Llama-3.1-Tulu-3-8B-SFT,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,0.2314,2.0
allenai/Llama-3.1-Tulu-3-8B-SFT,meta-llama/Llama-3.1-8B-Instruct,0.2314,2.0
allenai/Llama-3.1-Tulu-3-8B-SFT,unsloth/Meta-Llama-3.1-8B-Instruct,0.2314,3.0
allenai/Llama-3.1-Tulu-3-8B-SFT,NousResearch/Hermes-2-Pro-Llama-3-8B,0.2257,2.0
allenai/Llama-3.1-Tulu-3-8B-SFT,MLP-KTLim/llama-3-Korean-Bllossom-8B,0.2221,2.0
allenai/Llama-3.1-Tulu-3-8B-SFT,arcee-ai/Llama-3.1-SuperNova-Lite,0.2214,3.0
allenai/Llama-3.1-Tulu-3-8B-SFT,dphn/Dolphin3.0-Llama3.1-8B,0.1996,2.0
allenai/Llama-3.1-Tulu-3-8B-SFT,microsoft/UserLM-8b,0.194,2.0
allenai/Llama-3.1-Tulu-3-8B-SFT,meta-llama/Llama-3.2-3B,0.1597,11.0
allenai/Llama-3.1-Tulu-3-8B-SFT,unsloth/Llama-3.2-1B,0.1363,
allenai/Llama-3.1-Tulu-3-8B-SFT,nvidia/OpenMath2-Llama3.1-8B,0.1055,2.0
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2.5-3B-Instruct,0.3666,1.0
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2.5-3B,0.2748,2.0
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2.5-1.5B,0.1559,12.0
PowerInfer/SmallThinker-3B-Preview,unsloth/Qwen2.5-1.5B,0.1559,13.0
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2.5-Coder-3B-Instruct,0.1344,4.0
allenai/llama-3.1-tulu-2-8b,NousResearch/Hermes-3-Llama-3.1-8B,0.2767,2.0
allenai/llama-3.1-tulu-2-8b,NousResearch/Hermes-2-Pro-Llama-3-8B,0.2716,2.0
allenai/llama-3.1-tulu-2-8b,allenai/Llama-3.1-Tulu-3-8B,0.2547,4.0
allenai/llama-3.1-tulu-2-8b,aisingapore/Llama-SEA-LION-v3-8B,0.2425,3.0
allenai/llama-3.1-tulu-2-8b,allenai/Llama-3.1-Tulu-3-8B-SFT,0.2172,2.0
allenai/llama-3.1-tulu-2-8b,meta-llama/Llama-3.1-8B,0.2087,1.0
allenai/llama-3.1-tulu-2-8b,unsloth/Llama-3.1-8B,0.2087,2.0
allenai/llama-3.1-tulu-2-8b,MLP-KTLim/llama-3-Korean-Bllossom-8B,0.197,2.0
allenai/llama-3.1-tulu-2-8b,arcee-ai/Llama-3.1-SuperNova-Lite,0.1947,3.0
allenai/llama-3.1-tulu-2-8b,microsoft/UserLM-8b,0.1841,2.0
allenai/llama-3.1-tulu-2-8b,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,0.1838,2.0
allenai/llama-3.1-tulu-2-8b,meta-llama/Llama-3.1-8B-Instruct,0.1838,2.0
allenai/llama-3.1-tulu-2-8b,unsloth/Meta-Llama-3.1-8B-Instruct,0.1838,3.0
allenai/llama-3.1-tulu-2-8b,dphn/Dolphin3.0-Llama3.1-8B,0.1815,2.0
unsloth/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,1.0,1.0
unsloth/Llama-3.2-1B-Instruct,inference-net/Schematron-3B,0.2471,12.0
unsloth/Llama-3.2-1B-Instruct,acon96/Home-Llama-3.2-3B,0.2391,12.0
unsloth/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-3B-Instruct,0.2324,11.0
unsloth/Llama-3.2-1B-Instruct,unsloth/Llama-3.2-3B-Instruct,0.2324,12.0
unsloth/Llama-3.2-1B-Instruct,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,0.2186,12.0
unsloth/Llama-3.2-1B-Instruct,arcee-ai/Llama-3.1-SuperNova-Lite,0.1842,13.0
unsloth/Llama-3.2-1B-Instruct,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,0.1823,12.0
unsloth/Llama-3.2-1B-Instruct,meta-llama/Llama-3.1-8B-Instruct,0.1823,12.0
unsloth/Llama-3.2-1B-Instruct,unsloth/Meta-Llama-3.1-8B-Instruct,0.1823,13.0
unsloth/Llama-3.2-1B-Instruct,aisingapore/Llama-SEA-LION-v3-8B,0.0926,13.0
Qwen/Qwen2.5-Math-1.5B-Instruct,Writer/palmyra-mini,0.123,3.0
Qwen/Qwen2.5-Math-1.5B-Instruct,unsloth/Qwen2.5-Math-1.5B,0.1123,2.0
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B,0.1123,1.0
Qwen/Qwen2.5-Math-1.5B-Instruct,nvidia/DLER-R1-1.5B-Research,0.0846,
Qwen/Qwen2.5-Math-1.5B-Instruct,Menlo/AlphaSpace-1.5B,0.0817,
Qwen/Qwen2.5-Math-1.5B-Instruct,unsloth/DeepSeek-R1-Distill-Qwen-1.5B,0.0777,
Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B-Instruct,0.0822,13.0
Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen/Qwen2.5-Coder-3B-Instruct,0.0792,13.0
google/gemma-2-2b-jpn-it,google/gemma-2-2b-it,0.6401,1.0
google/gemma-2-2b-jpn-it,INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,0.0651,3.0
google/gemma-2-2b-jpn-it,google/gemma-2-2b,0.0151,2.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,1.0,2.0
Gensyn/Qwen2.5-1.5B-Instruct,unsloth/Qwen2.5-1.5B-Instruct,1.0,3.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B,0.6056,1.0
Gensyn/Qwen2.5-1.5B-Instruct,unsloth/Qwen2.5-1.5B,0.6056,2.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B,0.293,11.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,0.1892,12.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-7B,0.1777,11.0
Gensyn/Qwen2.5-1.5B-Instruct,unsloth/Qwen2.5-0.5B,0.1674,13.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Coder-0.5B,0.1602,11.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Coder-7B,0.1385,12.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B,0.1363,2.0
arcee-ai/Llama-3.1-SuperNova-Lite,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,0.7868,3.0
arcee-ai/Llama-3.1-SuperNova-Lite,meta-llama/Llama-3.1-8B-Instruct,0.7868,1.0
arcee-ai/Llama-3.1-SuperNova-Lite,unsloth/Meta-Llama-3.1-8B-Instruct,0.7868,2.0
arcee-ai/Llama-3.1-SuperNova-Lite,aisingapore/Llama-SEA-LION-v3-8B,0.3372,2.0
arcee-ai/Llama-3.1-SuperNova-Lite,microsoft/UserLM-8b,0.2243,3.0
arcee-ai/Llama-3.1-SuperNova-Lite,allenai/llama-3.1-tulu-2-8b,0.1984,3.0
arcee-ai/Llama-3.1-SuperNova-Lite,MLP-KTLim/llama-3-Korean-Bllossom-8B,0.1955,3.0
arcee-ai/Llama-3.1-SuperNova-Lite,NousResearch/Hermes-2-Pro-Llama-3-8B,0.1897,3.0
arcee-ai/Llama-3.1-SuperNova-Lite,allenai/Llama-3.1-Tulu-3-8B,0.1888,5.0
arcee-ai/Llama-3.1-SuperNova-Lite,allenai/Llama-3.1-Tulu-3-8B-SFT,0.1878,3.0
arcee-ai/Llama-3.1-SuperNova-Lite,meta-llama/Llama-3.1-8B,0.1801,2.0
arcee-ai/Llama-3.1-SuperNova-Lite,unsloth/Llama-3.1-8B,0.1801,3.0
arcee-ai/Llama-3.1-SuperNova-Lite,nvidia/OpenMath2-Llama3.1-8B,0.1445,3.0
arcee-ai/Llama-3.1-SuperNova-Lite,dphn/Dolphin3.0-Llama3.1-8B,0.1403,3.0
arcee-ai/Llama-3.1-SuperNova-Lite,NousResearch/Hermes-3-Llama-3.1-8B,0.1037,3.0
arcee-ai/Llama-3.1-SuperNova-Lite,acon96/Home-Llama-3.2-3B,0.0965,13.0
arcee-ai/Llama-3.1-SuperNova-Lite,inference-net/Schematron-3B,0.0957,13.0
arcee-ai/Llama-3.1-SuperNova-Lite,nvidia/DLER-Llama-Nemotron-8B-Merge-Research,0.0944,
arcee-ai/Meraj-Mini,Gensyn/Qwen2.5-7B-Instruct,0.6711,2.0
arcee-ai/Meraj-Mini,Qwen/Qwen2.5-7B-Instruct,0.6711,1.0
arcee-ai/Meraj-Mini,Jurema-br/Jurema-7B,0.5849,2.0
arcee-ai/Meraj-Mini,Qwen/Qwen2.5-7B,0.4814,2.0
arcee-ai/Meraj-Mini,cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,0.4497,2.0
arcee-ai/Meraj-Mini,Qwen/Qwen2.5-7B-Instruct-1M,0.4284,3.0
arcee-ai/Meraj-Mini,nvidia/OpenCodeReasoning-Nemotron-7B,0.2039,2.0
arcee-ai/Meraj-Mini,nvidia/OpenCodeReasoning-Nemotron-1.1-7B,0.177,2.0
arcee-ai/Meraj-Mini,Qwen/Qwen2-7B,0.1273,12.0
arcee-ai/Meraj-Mini,Qwen/Qwen2-7B-Instruct,0.1117,13.0
unsloth/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,1.0,1.0
unsloth/Qwen2.5-0.5B-Instruct,Gensyn/Qwen2.5-0.5B-Instruct,1.0,3.0
unsloth/Qwen2.5-0.5B-Instruct,unsloth/Qwen2.5-0.5B,0.3547,3.0
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,meta-llama/Llama-3.1-8B-Instruct,1.0,2.0
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,unsloth/Meta-Llama-3.1-8B-Instruct,1.0,3.0
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,arcee-ai/Llama-3.1-SuperNova-Lite,0.7063,3.0
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,aisingapore/Llama-SEA-LION-v3-8B,0.316,3.0
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,microsoft/UserLM-8b,0.2011,2.0
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,allenai/llama-3.1-tulu-2-8b,0.1701,2.0
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,NousResearch/Hermes-2-Pro-Llama-3-8B,0.1627,2.0
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,MLP-KTLim/llama-3-Korean-Bllossom-8B,0.1599,2.0
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,nvidia/OpenMath2-Llama3.1-8B,0.1568,2.0
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,allenai/Llama-3.1-Tulu-3-8B,0.1543,4.0
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,acon96/Home-Llama-3.2-3B,0.1302,12.0
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,allenai/Llama-3.1-Tulu-3-8B-SFT,0.1263,2.0
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,inference-net/Schematron-3B,0.1227,12.0
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,nvidia/DLER-Llama-Nemotron-8B-Merge-Research,0.1187,
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,meta-llama/Llama-3.2-3B-Instruct,0.1104,11.0
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,unsloth/Llama-3.2-3B-Instruct,0.1104,12.0
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,meta-llama/Llama-3.1-8B,0.1097,1.0
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,unsloth/Llama-3.1-8B,0.1097,2.0
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,dphn/Dolphin3.0-Llama3.1-8B,0.1055,2.0
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,0.095,12.0
cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,Gensyn/Qwen2.5-7B-Instruct,0.6071,2.0
cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,Qwen/Qwen2.5-7B-Instruct,0.6071,1.0
cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,arcee-ai/Meraj-Mini,0.5458,2.0
cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,Jurema-br/Jurema-7B,0.5072,2.0
cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,Qwen/Qwen2.5-7B-Instruct-1M,0.4263,3.0
cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,Qwen/Qwen2.5-7B,0.3993,2.0
cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,nvidia/OpenCodeReasoning-Nemotron-7B,0.2136,2.0
cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,nvidia/OpenCodeReasoning-Nemotron-1.1-7B,0.1613,2.0
cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,Qwen/Qwen2-7B,0.1054,12.0
cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,Qwen/Qwen2-7B-Instruct,0.0932,13.0
dphn/Dolphin3.0-Llama3.1-8B,allenai/Llama-3.1-Tulu-3-8B,0.2576,4.0
dphn/Dolphin3.0-Llama3.1-8B,allenai/llama-3.1-tulu-2-8b,0.2568,2.0
dphn/Dolphin3.0-Llama3.1-8B,meta-llama/Llama-3.1-8B,0.2538,1.0
dphn/Dolphin3.0-Llama3.1-8B,unsloth/Llama-3.1-8B,0.2538,2.0
dphn/Dolphin3.0-Llama3.1-8B,allenai/Llama-3.1-Tulu-3-8B-SFT,0.2534,2.0
dphn/Dolphin3.0-Llama3.1-8B,aisingapore/Llama-SEA-LION-v3-8B,0.2317,3.0
dphn/Dolphin3.0-Llama3.1-8B,NousResearch/Hermes-2-Pro-Llama-3-8B,0.2037,2.0
dphn/Dolphin3.0-Llama3.1-8B,MLP-KTLim/llama-3-Korean-Bllossom-8B,0.1967,2.0
dphn/Dolphin3.0-Llama3.1-8B,microsoft/UserLM-8b,0.1841,2.0
dphn/Dolphin3.0-Llama3.1-8B,nvidia/OpenMath2-Llama3.1-8B,0.1748,2.0
