model,base_model,n_outliers,n_strict_related_in_outliers,n_strict_related_in_universe,precision_outliers_vs_strict,recall_strict_in_universe_captured,strict_related_outliers,strict_related_in_universe_not_in_outliers
HuggingFaceTB/SmolLM2-135M,,5,0,0,0.0,,,
HuggingFaceTB/SmolLM3-3B,HuggingFaceTB/SmolLM3-3B-Base,1,1,1,1.0,1.0,HuggingFaceTB/SmolLM3-3B-Base,
HuggingFaceTB/SmolLM3-3B-Base,,2,1,1,0.5,1.0,HuggingFaceTB/SmolLM3-3B,
INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,google/gemma-2-2b; google/gemma-2-2b-it,4,2,2,0.5,1.0,google/gemma-2-2b | google/gemma-2-2b-it,
Intel/neural-chat-7b-v3-1,mistralai/Mistral-7B-v0.1,36,2,2,0.055556,1.0,Intel/neural-chat-7b-v3-3 | mistralai/Mistral-7B-v0.1,
Intel/neural-chat-7b-v3-3,Intel/neural-chat-7b-v3-1,42,1,1,0.02381,1.0,Intel/neural-chat-7b-v3-1,
Jurema-br/Jurema-7B,Qwen/Qwen2.5-7B-Instruct,36,1,1,0.027778,1.0,Qwen/Qwen2.5-7B-Instruct,
KoboldAI/GPT-Neo-2.7B-Horni-LN,,14,0,0,0.0,,,
LGAI-EXAONE/EXAONE-4.0-1.2B,,0,0,0,,,,
LiquidAI/LFM2-1.2B,,11,0,0,0.0,,,
LiquidAI/LFM2-350M,,9,0,0,0.0,,,
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,meta-llama/Llama-3.2-3B-Instruct,30,1,1,0.033333,1.0,meta-llama/Llama-3.2-3B-Instruct,
Nexusflow/Starling-LM-7B-beta,,52,0,0,0.0,,,
NinedayWang/PolyCoder-2.7B,,14,0,0,0.0,,,
NousResearch/Hermes-3-Llama-3.1-8B,meta-llama/Llama-3.1-8B,7,2,2,0.285714,1.0,askfjhaskjgh/UbermenschetienASI | meta-llama/Llama-3.1-8B,
PharMolix/BioMedGPT-LM-7B,,44,0,0,0.0,,,
PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2.5-3B-Instruct,37,1,1,0.027027,1.0,Qwen/Qwen2.5-3B-Instruct,
PygmalionAI/pygmalion-2.7b,,15,0,0,0.0,,,
Qwen/Qwen1.5-0.5B-Chat,,0,0,0,,,,
Qwen/Qwen1.5-4B-Chat,,0,0,0,,,,
Qwen/Qwen2-0.5B,,1,1,1,1.0,1.0,Qwen/Qwen2-0.5B-Instruct,
Qwen/Qwen2-0.5B-Instruct,Qwen/Qwen2-0.5B,1,1,1,1.0,1.0,Qwen/Qwen2-0.5B,
Qwen/Qwen2-7B,,28,1,1,0.035714,1.0,Qwen/Qwen2-7B-Instruct,
Qwen/Qwen2-7B-Instruct,Qwen/Qwen2-7B,19,1,1,0.052632,1.0,Qwen/Qwen2-7B,
Qwen/Qwen2.5-0.5B,,40,2,2,0.05,1.0,Qwen/Qwen2.5-0.5B-Instruct | Qwen/Qwen2.5-Coder-0.5B,
Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B,9,3,3,0.333333,1.0,Qwen/Qwen2.5-0.5B | unsloth/Qwen2.5-0.5B-Instruct | unsloth/Qwen2.5-0.5B-Instruct-bnb-4bit,
Qwen/Qwen2.5-1.5B,,28,6,8,0.214286,0.75,Gensyn/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-unsloth-bnb-4bit,Qwen/Qwen2.5-Math-1.5B | Writer/palmyra-mini
Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B,44,4,5,0.090909,0.8,Qwen/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct | unsloth/Qwen2.5-1.5B-Instruct-bnb-4bit | unsloth/Qwen2.5-1.5B-Instruct-unsloth-bnb-4bit,SakanaAI/TinySwallow-1.5B
Qwen/Qwen2.5-3B,,27,1,1,0.037037,1.0,Qwen/Qwen2.5-3B-Instruct,
Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B,26,2,2,0.076923,1.0,PowerInfer/SmallThinker-3B-Preview | Qwen/Qwen2.5-3B,
Qwen/Qwen2.5-7B,,39,4,5,0.102564,0.8,Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | Qwen/Qwen2.5-Coder-7B | jiawei-ucas/Qwen-2.5-7B-ConsistentChat,Qwen/Qwen2.5-Math-7B
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B,24,8,8,0.333333,1.0,Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | Qwen/Qwen2.5-7B | abocide/Qwen2.5-7B-Instruct-R1-forfinance | arcee-ai/Meraj-Mini | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | nvidia/OpenCodeReasoning-Nemotron-1.1-7B | nvidia/OpenCodeReasoning-Nemotron-7B,
Qwen/Qwen2.5-7B-Instruct-1M,Qwen/Qwen2.5-7B,15,1,1,0.066667,1.0,Qwen/Qwen2.5-7B,
Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen/Qwen2.5-Coder-0.5B,64,1,1,0.015625,1.0,Qwen/Qwen2.5-Coder-0.5B,
Qwen/Qwen2.5-Coder-1.5B,Qwen/Qwen2.5-1.5B,47,2,2,0.042553,1.0,Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-Coder-1.5B-Instruct,
Qwen/Qwen2.5-Coder-1.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B,42,1,1,0.02381,1.0,Qwen/Qwen2.5-Coder-1.5B,
Qwen/Qwen2.5-Coder-7B,Qwen/Qwen2.5-7B,11,4,4,0.363636,1.0,DeepHat/DeepHat-V1-7B | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-Coder-7B-Instruct | continuedev/instinct,
Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-Coder-7B,37,1,1,0.027027,1.0,Qwen/Qwen2.5-Coder-7B,
Qwen/Qwen2.5-Math-1.5B,Qwen/Qwen2.5-1.5B,23,2,5,0.086957,0.4,unsloth/Qwen2.5-Math-1.5B | unsloth/Qwen2.5-Math-1.5B-bnb-4bit,Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | nvidia/OpenMath-Nemotron-1.5B
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B,46,1,1,0.021739,1.0,Qwen/Qwen2.5-Math-1.5B,
Qwen/Qwen2.5-Math-7B,Qwen/Qwen2.5-7B,23,0,2,0.0,0.0,,Qwen/Qwen2.5-7B | Qwen/Qwen2.5-Math-7B-Instruct
Qwen/Qwen2.5-Math-7B-Instruct,Qwen/Qwen2.5-Math-7B,12,0,1,0.0,0.0,,Qwen/Qwen2.5-Math-7B
Qwen/Qwen3-0.6B,Qwen/Qwen3-0.6B-Base,49,1,1,0.020408,1.0,Qwen/Qwen3-0.6B-Base,
Qwen/Qwen3-0.6B-Base,,49,1,1,0.020408,1.0,Qwen/Qwen3-0.6B,
Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B-Base,40,3,4,0.075,0.75,dnotitia/Smoothie-Qwen3-1.7B | fluently/FluentlyQwen3-1.7B | janhq/Jan-v1-edge,Qwen/Qwen3-1.7B-Base
Qwen/Qwen3-1.7B-Base,,47,1,1,0.021277,1.0,Qwen/Qwen3-1.7B,
Qwen/Qwen3-4B,Qwen/Qwen3-4B-Base,19,1,2,0.052632,0.5,Tesslate/UIGEN-X-4B-0729,Qwen/Qwen3-4B-Base
Qwen/Qwen3-4B-Base,,16,0,1,0.0,0.0,,Qwen/Qwen3-4B
Qwen/Qwen3-4B-Instruct-2507,,37,1,1,0.027027,1.0,Tesslate/WEBGEN-4B-Preview,
Qwen/Qwen3-4B-Thinking-2507,,46,2,2,0.043478,1.0,Qwen/Qwen3-4B-Thinking-2507-FP8 | janhq/Jan-v1-4B,
Qwen/Qwen3-4B-Thinking-2507-FP8,Qwen/Qwen3-4B-Thinking-2507,54,1,1,0.018519,1.0,Qwen/Qwen3-4B-Thinking-2507,
S4nfs/Neeto-1.0-8b,,5,0,0,0.0,,,
SakanaAI/TinySwallow-1.5B,Qwen/Qwen2.5-1.5B-Instruct,14,0,1,0.0,0.0,,Qwen/Qwen2.5-1.5B-Instruct
SciPhi/SciPhi-Mistral-7B-32k,,44,0,0,0.0,,,
SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,,34,0,0,0.0,,,
Tesslate/UIGEN-X-4B-0729,Qwen/Qwen3-4B,39,1,1,0.025641,1.0,Qwen/Qwen3-4B,
Tesslate/WEBGEN-4B-Preview,Qwen/Qwen3-4B-Instruct-2507,45,1,1,0.022222,1.0,Qwen/Qwen3-4B-Instruct-2507,
TheOneWhoWill/Bootstrap-LLM,,16,0,0,0.0,,,
TinyLlama/TinyLlama-1.1B-Chat-v0.5,,44,0,0,0.0,,,
TinyLlama/TinyLlama-1.1B-Chat-v1.0,,45,0,0,0.0,,,
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,,45,0,0,0.0,,,
TinyLlama/TinyLlama_v1.1,,26,0,0,0.0,,,
TinyLlama/TinyLlama_v1.1_math_code,,45,0,0,0.0,,,
Writer/palmyra-mini,Qwen/Qwen2.5-1.5B,45,0,1,0.0,0.0,,Qwen/Qwen2.5-1.5B
XiaomiMiMo/MiMo-7B-Base,,27,1,1,0.037037,1.0,allura-org/Koto-Small-7B-PT,
abocide/Qwen2.5-7B-Instruct-R1-forfinance,Qwen/Qwen2.5-7B-Instruct,22,1,1,0.045455,1.0,Qwen/Qwen2.5-7B-Instruct,
acon96/Home-Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,27,1,1,0.037037,1.0,meta-llama/Llama-3.2-3B-Instruct,
adamo1139/Apertus-8B-Instruct-2509-ungated,swiss-ai/Apertus-8B-2509,61,1,1,0.016393,1.0,swiss-ai/Apertus-8B-2509,
aisingapore/Llama-SEA-LION-v3-8B,meta-llama/Llama-3.1-8B-Instruct,38,1,1,0.026316,1.0,meta-llama/Llama-3.1-8B-Instruct,
allenai/Llama-3.1-Tulu-3-8B-SFT,meta-llama/Llama-3.1-8B,46,1,1,0.021739,1.0,meta-llama/Llama-3.1-8B,
allenai/OLMoE-1B-7B-0924,,52,0,0,0.0,,,
allenai/llama-3.1-tulu-2-8b,meta-llama/Llama-3.1-8B,4,0,1,0.0,0.0,,meta-llama/Llama-3.1-8B
allura-org/Koto-Small-7B-PT,XiaomiMiMo/MiMo-7B-Base,17,2,2,0.117647,1.0,Aurore-Reveil/Koto-Small-7B-IT | XiaomiMiMo/MiMo-7B-Base,
arcee-ai/Llama-3.1-SuperNova-Lite,meta-llama/Meta-Llama-3.1-8B-Instruct,37,0,0,0.0,,,
arcee-ai/Meraj-Mini,Qwen/Qwen2.5-7B-Instruct,33,1,1,0.030303,1.0,Qwen/Qwen2.5-7B-Instruct,
argilla/distilabeled-Marcoro14-7B-slerp,mlabonne/Marcoro14-7B-slerp,43,2,2,0.046512,1.0,mlabonne/Beagle14-7B | mlabonne/Marcoro14-7B-slerp,
askfjhaskjgh/UbermenschetienASI,NousResearch/Hermes-3-Llama-3.1-8B,43,1,1,0.023256,1.0,NousResearch/Hermes-3-Llama-3.1-8B,
augmxnt/shisa-base-7b-v1,,0,0,0,,,,
bardsai/jaskier-7b-dpo-v5.6,,44,0,0,0.0,,,
berkeley-nest/Starling-LM-7B-alpha,,35,0,0,0.0,,,
beruniy/Llama-3.2-3B-Instruct-Uz,meta-llama/Llama-3.2-3B-Instruct,1,0,1,0.0,0.0,,meta-llama/Llama-3.2-3B-Instruct
beyoru/Luna,,44,0,0,0.0,,,
bigcode/starcoder2-3b,,12,0,0,0.0,,,
bigscience/bloom-560m,,61,0,0,0.0,,,
bigscience/bloomz-1b1,,62,0,0,0.0,,,
bigscience/bloomz-1b7,,2,0,0,0.0,,,
bigscience/bloomz-560m,,58,0,0,0.0,,,
bxod/Llama-3.2-1B-Instruct-uz,meta-llama/Llama-3.2-1B-Instruct,27,1,1,0.037037,1.0,meta-llama/Llama-3.2-1B-Instruct,
chatitcloud/UZI1,google/gemma-3-270m,60,1,1,0.016667,1.0,google/gemma-3-270m,
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,meta-llama/Llama-3.1-8B,40,1,1,0.025,1.0,meta-llama/Llama-3.1-8B,
continuedev/instinct,Qwen/Qwen2.5-Coder-7B,4,1,1,0.25,1.0,Qwen/Qwen2.5-Coder-7B,
cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,Qwen/Qwen2.5-7B-Instruct,21,1,1,0.047619,1.0,Qwen/Qwen2.5-7B-Instruct,
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,,0,0,0,,,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,,29,0,0,0.0,,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,,30,0,0,0.0,,,
deepseek-ai/deepseek-coder-1.3b-base,,48,0,0,0.0,,,
dicta-il/dictalm2.0,,44,0,0,0.0,,,
dnotitia/Smoothie-Qwen3-1.7B,Qwen/Qwen3-1.7B,4,1,1,0.25,1.0,Qwen/Qwen3-1.7B,
dphn/Dolphin3.0-Llama3.1-8B,meta-llama/Llama-3.1-8B,44,1,1,0.022727,1.0,meta-llama/Llama-3.1-8B,
elyza/Llama-3-ELYZA-JP-8B,,41,0,0,0.0,,,
eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,,45,0,0,0.0,,,
fblgit/UNA-TheBeagle-7b-v1,,45,1,1,0.022222,1.0,mlabonne/Beagle14-7B,
flemmingmiguel/MBX-7B-v3,,43,1,1,0.023256,1.0,CultriX/NeuralTrix-7B-dpo,
fluently/FluentlyQwen3-1.7B,Qwen/Qwen3-1.7B,32,1,1,0.03125,1.0,Qwen/Qwen3-1.7B,
google/gemma-2-2b-it,google/gemma-2-2b,4,3,3,0.75,1.0,INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0 | google/gemma-2-2b | google/gemma-2-2b-jpn-it,
google/gemma-2-2b-jpn-it,google/gemma-2-2b-it,4,1,1,0.25,1.0,google/gemma-2-2b-it,
google/gemma-2b-it,,3,0,0,0.0,,,
google/gemma-3-1b-it,google/gemma-3-1b-pt,0,0,1,,0.0,,google/gemma-3-1b-pt
google/gemma-3-1b-pt,,61,0,1,0.0,0.0,,google/gemma-3-1b-it
google/gemma-3-270m,,62,1,1,0.016129,1.0,chatitcloud/UZI1,
google/gemma-3-4b-it,google/gemma-3-4b-pt,59,1,1,0.016949,1.0,google/gemma-3-4b-pt,
google/gemma-3-4b-pt,,60,1,1,0.016667,1.0,google/gemma-3-4b-it,
gradientai/Llama-3-8B-Instruct-262k,,9,0,0,0.0,,,
huihui-ai/Huihui-Jan-v1-4B-abliterated,janhq/Jan-v1-4B,42,1,1,0.02381,1.0,janhq/Jan-v1-4B,
inference-net/Schematron-3B,meta-llama/Llama-3.2-3B-Instruct,28,1,1,0.035714,1.0,meta-llama/Llama-3.2-3B-Instruct,
janhq/Jan-v1-4B,Qwen/Qwen3-4B-Thinking-2507,46,2,2,0.043478,1.0,Qwen/Qwen3-4B-Thinking-2507 | huihui-ai/Huihui-Jan-v1-4B-abliterated,
janhq/Jan-v1-edge,Qwen/Qwen3-1.7B,40,1,1,0.025,1.0,Qwen/Qwen3-1.7B,
jiawei-ucas/Qwen-2.5-7B-ConsistentChat,Qwen/Qwen2.5-7B,38,1,1,0.026316,1.0,Qwen/Qwen2.5-7B,
kevin009/llamaRAGdrama,,45,0,0,0.0,,,
lmsys/vicuna-7b-v1.1,,44,0,0,0.0,,,
lmsys/vicuna-7b-v1.5,,44,0,0,0.0,,,
lmsys/vicuna-7b-v1.5-16k,,45,0,0,0.0,,,
meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B,39,29,30,0.74359,0.966667,aisingapore/Llama-SEA-LION-v3-8B | llama31_8b_instruct_bf16 | llama31_8b_instruct_iq1_m | llama31_8b_instruct_iq1_s | llama31_8b_instruct_iq2_m | llama31_8b_instruct_iq2_xxs | llama31_8b_instruct_iq3_xxs | llama31_8b_instruct_iq4_nl | llama31_8b_instruct_iq4_xs | llama31_8b_instruct_q2_k | llama31_8b_instruct_q2_k_l | llama31_8b_instruct_q2_k_xl | llama31_8b_instruct_q3_k_m | llama31_8b_instruct_q3_k_s | llama31_8b_instruct_q3_k_xl | llama31_8b_instruct_q4_0 | llama31_8b_instruct_q4_1 | llama31_8b_instruct_q4_k_m | llama31_8b_instruct_q4_k_s | llama31_8b_instruct_q4_k_xl | llama31_8b_instruct_q5_k_m | llama31_8b_instruct_q5_k_s | llama31_8b_instruct_q5_k_xl | llama31_8b_instruct_q6_k | llama31_8b_instruct_q6_k_xl | llama31_8b_instruct_q8_k_xl | meta-llama/Llama-3.1-8B | unsloth/Meta-Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit,nvidia/Llama-3.1-8B-Instruct-FP8
meta-llama/Llama-3.2-1B-Instruct,,25,25,31,1.0,0.806452,llama32_1b_instruct_bf16 | llama32_1b_instruct_f16 | llama32_1b_instruct_iq2_m | llama32_1b_instruct_iq3_xxs | llama32_1b_instruct_iq4_nl | llama32_1b_instruct_iq4_xs | llama32_1b_instruct_q2_k_xl | llama32_1b_instruct_q3_k_m | llama32_1b_instruct_q3_k_s | llama32_1b_instruct_q3_k_xl | llama32_1b_instruct_q4_0 | llama32_1b_instruct_q4_1 | llama32_1b_instruct_q4_k_m | llama32_1b_instruct_q4_k_s | llama32_1b_instruct_q4_k_xl | llama32_1b_instruct_q5_k_m | llama32_1b_instruct_q5_k_s | llama32_1b_instruct_q5_k_xl | llama32_1b_instruct_q6_k | llama32_1b_instruct_q6_k_xl | llama32_1b_instruct_q8_0 | llama32_1b_instruct_q8_k_xl | unsloth/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct-bnb-4bit | unsloth/Llama-3.2-1B-Instruct-unsloth-bnb-4bit,bxod/Llama-3.2-1B-Instruct-uz | llama32_1b_instruct_iq1_m | llama32_1b_instruct_iq1_s | llama32_1b_instruct_iq2_xxs | llama32_1b_instruct_q2_k | llama32_1b_instruct_q2_k_l
meta-llama/Llama-3.2-3B-Instruct,,30,30,34,1.0,0.882353,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | acon96/Home-Llama-3.2-3B | inference-net/Schematron-3B | llama32_3b_instruct_bf16 | llama32_3b_instruct_f16 | llama32_3b_instruct_iq2_m | llama32_3b_instruct_iq3_xxs | llama32_3b_instruct_iq4_nl | llama32_3b_instruct_iq4_xs | llama32_3b_instruct_q2_k | llama32_3b_instruct_q2_k_l | llama32_3b_instruct_q2_k_xl | llama32_3b_instruct_q3_k_m | llama32_3b_instruct_q3_k_s | llama32_3b_instruct_q3_k_xl | llama32_3b_instruct_q4_0 | llama32_3b_instruct_q4_1 | llama32_3b_instruct_q4_k_m | llama32_3b_instruct_q4_k_s | llama32_3b_instruct_q4_k_xl | llama32_3b_instruct_q5_k_m | llama32_3b_instruct_q5_k_s | llama32_3b_instruct_q5_k_xl | llama32_3b_instruct_q6_k | llama32_3b_instruct_q6_k_xl | llama32_3b_instruct_q8_0 | llama32_3b_instruct_q8_k_xl | unsloth/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct-bnb-4bit | unsloth/Llama-3.2-3B-Instruct-unsloth-bnb-4bit,beruniy/Llama-3.2-3B-Instruct-Uz | llama32_3b_instruct_iq1_m | llama32_3b_instruct_iq1_s | llama32_3b_instruct_iq2_xxs
meta-llama/Llama-Guard-3-8B,meta-llama/Llama-3.1-8B,30,0,1,0.0,0.0,,meta-llama/Llama-3.1-8B
meta-llama/Llama-3.1-8B,,36,8,10,0.222222,0.8,NousResearch/Hermes-3-Llama-3.1-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | allenai/llama-3.1-tulu-2-8b | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | dphn/Dolphin3.0-Llama3.1-8B | meta-llama/Llama-3.1-8B-Instruct | microsoft/UserLM-8b | unsloth/Llama-3.1-8B,meta-llama/Llama-Guard-3-8B | nvidia/OpenMath2-Llama3.1-8B
microsoft/UserLM-8b,meta-llama/Llama-3.1-8B,41,1,1,0.02439,1.0,meta-llama/Llama-3.1-8B,
mistralai/Mistral-7B-Instruct-v0.1,mistralai/Mistral-7B-v0.1,52,2,2,0.038462,1.0,BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-v0.1,
mistralai/Mistral-7B-v0.1,,45,3,3,0.066667,1.0,HuggingFaceH4/zephyr-7b-beta | Intel/neural-chat-7b-v3-1 | mistralai/Mistral-7B-Instruct-v0.1,
mlabonne/Beagle14-7B,fblgit/UNA-TheBeagle-7b-v1; argilla/distilabeled-Marcoro14-7B-slerp,45,3,3,0.066667,1.0,argilla/distilabeled-Marcoro14-7B-slerp | fblgit/UNA-TheBeagle-7b-v1 | mlabonne/NeuralBeagle14-7B,
mlabonne/Marcoro14-7B-slerp,,45,1,1,0.022222,1.0,argilla/distilabeled-Marcoro14-7B-slerp,
mlabonne/NeuralBeagle14-7B,mlabonne/Beagle14-7B,45,2,2,0.044444,1.0,mlabonne/Beagle14-7B | shadowml/WestBeagle-7B,
mlabonne/OmniBeagle-7B,shadowml/BeagleSempra-7B; shadowml/BeagSake-7B; shadowml/WestBeagle-7B,48,4,4,0.083333,1.0,CultriX/NeuralTrix-7B-dpo | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | shadowml/WestBeagle-7B,
nvidia/Llama-3.1-8B-Instruct-FP8,meta-llama/Llama-3.1-8B-Instruct,63,0,1,0.0,0.0,,meta-llama/Llama-3.1-8B-Instruct
nvidia/OpenCodeReasoning-Nemotron-1.1-7B,Qwen/Qwen2.5-7B-Instruct,51,1,1,0.019608,1.0,Qwen/Qwen2.5-7B-Instruct,
nvidia/OpenCodeReasoning-Nemotron-7B,Qwen/Qwen2.5-7B-Instruct,33,1,1,0.030303,1.0,Qwen/Qwen2.5-7B-Instruct,
nvidia/OpenMath-Nemotron-1.5B,Qwen/Qwen2.5-Math-1.5B,7,1,1,0.142857,1.0,Qwen/Qwen2.5-Math-1.5B,
nvidia/OpenMath2-Llama3.1-8B,meta-llama/Llama-3.1-8B,32,0,1,0.0,0.0,,meta-llama/Llama-3.1-8B
nvidia/OpenReasoning-Nemotron-1.5B,Qwen/Qwen2.5-1.5B,49,1,1,0.020408,1.0,Qwen/Qwen2.5-1.5B,
shadowml/BeagSake-7B,shadowml/BeagleSempra-7B; shadowml/WestBeagle-7B,45,3,3,0.066667,1.0,mlabonne/OmniBeagle-7B | shadowml/BeagleSempra-7B | shadowml/WestBeagle-7B,
shadowml/BeagleSempra-7B,shadowml/WestBeagle-7B; FelixChao/Sectumsempra-7B-DPO,45,4,4,0.088889,1.0,FelixChao/Sectumsempra-7B-DPO | mlabonne/OmniBeagle-7B | shadowml/BeagSake-7B | shadowml/WestBeagle-7B,
shadowml/WestBeagle-7B,mlabonne/NeuralBeagle14-7B,45,4,4,0.088889,1.0,mlabonne/NeuralBeagle14-7B | mlabonne/OmniBeagle-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B,
swiss-ai/Apertus-8B-2509,,54,1,1,0.018519,1.0,adamo1139/Apertus-8B-Instruct-2509-ungated,
unsloth/Llama-3.1-8B,meta-llama/Llama-3.1-8B,35,1,1,0.028571,1.0,meta-llama/Llama-3.1-8B,
unsloth/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,25,1,1,0.04,1.0,meta-llama/Llama-3.2-1B-Instruct,
unsloth/Llama-3.2-3B-Instruct,meta-llama/Llama-3.2-3B-Instruct,31,1,1,0.032258,1.0,meta-llama/Llama-3.2-3B-Instruct,
