model,outlier_count_csv,n_outliers_parsed,n_graph_distance_defined,n_graph_distance_missing,outliers_missing_graph_distance,mean_graph_distance_to_outliers
EleutherAI/gpt-neo-1.3B,37,37,0,37,KoboldAI/GPT-Neo-2.7B-Horni-LN | PygmalionAI/pygmalion-2.7b | TheOneWhoWill/Bootstrap-LLM | bigcode/starcoder2-3b | HuggingFaceTB/SmolLM-135M | NinedayWang/PolyCoder-2.7B | HuggingFaceTB/SmolLM2-135M | EleutherAI/pythia-1b | allenai/OLMoE-1B-7B-0924 | EleutherAI/pythia-2.8b | EleutherAI/pythia-1.4b | EleutherAI/pythia-6.9b | 01-ai/Yi-6B-Chat | berkeley-nest/Starling-LM-7B-alpha | argilla/distilabeled-Marcoro14-7B-slerp | Biomimicry-AI/ANIMA-Nectar-v2 | FelixChao/Sectumsempra-7B-DPO | mlabonne/Marcoro14-7B-slerp | Nexusflow/Starling-LM-7B-beta | mlabonne/Beagle14-7B | mlabonne/OmniBeagle-7B | fblgit/UNA-TheBeagle-7b-v1 | SciPhi/SciPhi-Mistral-7B-32k | mlabonne/NeuralBeagle14-7B | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | mistralai/Mistral-7B-v0.1 | shadowml/BeagSake-7B | shadowml/WestBeagle-7B | shadowml/BeagleSempra-7B | CultriX/NeuralTrix-bf16 | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | 01-ai/Yi-6B-200K | AiMavenAi/AiMaven-Prometheus | CultriX/NeuralTrix-7B-dpo | bardsai/jaskier-7b-dpo-v5.6 | flemmingmiguel/MBX-7B-v3 | CorticalStack/pastiche-crown-clown-7b-dare,
EleutherAI/polyglot-ko-3.8b,30,30,0,30,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | TinyLlama/TinyLlama-1.1B-Chat-v1.0 | TinyLlama/TinyLlama-1.1B-Chat-v0.5 | TinyLlama/TinyLlama_v1.1_math_code | deepseek-ai/deepseek-coder-1.3b-base | FelixChao/vicuna-7B-physics | FelixChao/vicuna-7B-chemical | lmsys/vicuna-7b-v1.1 | Biomimicry-AI/ANIMA-Nectar-v2 | SciPhi/SciPhi-Mistral-7B-32k | AdaptLLM/medicine-LLM | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | dicta-il/dictalm2.0 | TinyLlama/TinyLlama_v1.1 | PharMolix/BioMedGPT-LM-7B | HuggingFaceH4/zephyr-7b-beta | mistralai/Mistral-7B-v0.1 | CorticalStack/pastiche-crown-clown-7b-dare-dpo | CorticalStack/pastiche-crown-clown-7b-dare | argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/Marcoro14-7B-slerp | lmsys/vicuna-7b-v1.5-16k | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | lmsys/vicuna-7b-v1.5 | mlabonne/OmniBeagle-7B | shadowml/BeagSake-7B | CultriX/NeuralTrix-bf16 | shadowml/WestBeagle-7B | mlabonne/Beagle14-7B | shadowml/BeagleSempra-7B,
EleutherAI/pythia-1.4b,42,42,3,39,allenai/OLMoE-1B-7B-0924 | NinedayWang/PolyCoder-2.7B | bigcode/starcoder2-3b | KoboldAI/GPT-Neo-2.7B-Horni-LN | EleutherAI/gpt-neo-1.3B | PygmalionAI/pygmalion-2.7b | HuggingFaceTB/SmolLM2-135M | HuggingFaceTB/SmolLM-135M | ChrisMcCormick/deepseek-tiny-v0.1 | flemmingmiguel/MBX-7B-v3 | CorticalStack/pastiche-crown-clown-7b-dare-dpo | mlabonne/OmniBeagle-7B | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | mlabonne/NeuralBeagle14-7B | shadowml/WestBeagle-7B | shadowml/BeagleSempra-7B | AiMavenAi/AiMaven-Prometheus | CorticalStack/pastiche-crown-clown-7b-dare | mlabonne/Beagle14-7B | shadowml/BeagSake-7B | bardsai/jaskier-7b-dpo-v5.6 | argilla/distilabeled-Marcoro14-7B-slerp | berkeley-nest/Starling-LM-7B-alpha | mlabonne/Marcoro14-7B-slerp | CultriX/NeuralTrix-7B-dpo | mistralai/Mistral-7B-v0.1 | TheOneWhoWill/Bootstrap-LLM | kevin009/llamaRAGdrama | CultriX/NeuralTrix-bf16 | fblgit/UNA-TheBeagle-7b-v1 | Intel/neural-chat-7b-v3-1 | FelixChao/Sectumsempra-7B-DPO | Intel/neural-chat-7b-v3-3 | dicta-il/dictalm2.0 | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | SciPhi/SciPhi-Mistral-7B-32k | HuggingFaceH4/zephyr-7b-beta | Nexusflow/Starling-LM-7B-beta,
EleutherAI/pythia-1b,13,13,3,10,allenai/OLMoE-1B-7B-0924 | NinedayWang/PolyCoder-2.7B | bigcode/starcoder2-3b | TheOneWhoWill/Bootstrap-LLM | PygmalionAI/pygmalion-2.7b | EleutherAI/gpt-neo-1.3B | HuggingFaceTB/SmolLM-135M | HuggingFaceTB/SmolLM2-135M | KoboldAI/GPT-Neo-2.7B-Horni-LN | ChrisMcCormick/deepseek-tiny-v0.1,
EleutherAI/pythia-2.8b,11,11,3,8,allenai/OLMoE-1B-7B-0924 | NinedayWang/PolyCoder-2.7B | bigcode/starcoder2-3b | HuggingFaceTB/SmolLM2-135M | KoboldAI/GPT-Neo-2.7B-Horni-LN | PygmalionAI/pygmalion-2.7b | EleutherAI/gpt-neo-1.3B | HuggingFaceTB/SmolLM-135M,
EleutherAI/pythia-6.9b,19,19,3,16,allenai/OLMoE-1B-7B-0924 | NinedayWang/PolyCoder-2.7B | bigcode/starcoder2-3b | EleutherAI/gpt-neo-1.3B | HuggingFaceTB/SmolLM2-135M | HuggingFaceTB/SmolLM-135M | TheOneWhoWill/Bootstrap-LLM | PygmalionAI/pygmalion-2.7b | KoboldAI/GPT-Neo-2.7B-Horni-LN | ChrisMcCormick/deepseek-tiny-v0.1 | 01-ai/Yi-6B | LiquidAI/LFM2-1.2B | 01-ai/Yi-6B-Chat | LiquidAI/LFM2-350M | 01-ai/Yi-6B-200K | TinyLlama/TinyLlama_v1.1,
FelixChao/Sectumsempra-7B-DPO,45,45,17,28,kevin009/llamaRAGdrama | mistralai/Mistral-7B-v0.1 | Intel/neural-chat-7b-v3-3 | berkeley-nest/Starling-LM-7B-alpha | Nexusflow/Starling-LM-7B-beta | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | Intel/neural-chat-7b-v3-1 | SciPhi/SciPhi-Mistral-7B-32k | HuggingFaceH4/zephyr-7b-beta | BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-Instruct-v0.1 | BioMistral/BioMistral-7B | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2 | deepseek-ai/deepseek-coder-1.3b-base | PharMolix/BioMedGPT-LM-7B | lmsys/vicuna-7b-v1.1 | AdaptLLM/medicine-LLM | lmsys/vicuna-7b-v1.5-16k | lmsys/vicuna-7b-v1.5 | FelixChao/vicuna-7B-physics | FelixChao/vicuna-7B-chemical | TinyLlama/TinyLlama-1.1B-Chat-v1.0 | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | TinyLlama/TinyLlama-1.1B-Chat-v0.5 | EleutherAI/polyglot-ko-3.8b | TinyLlama/TinyLlama_v1.1 | TinyLlama/TinyLlama_v1.1_math_code,
FelixChao/vicuna-7B-chemical,45,45,4,41,AdaptLLM/medicine-LLM | PharMolix/BioMedGPT-LM-7B | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | TinyLlama/TinyLlama-1.1B-Chat-v1.0 | TinyLlama/TinyLlama_v1.1 | TinyLlama/TinyLlama-1.1B-Chat-v0.5 | TinyLlama/TinyLlama_v1.1_math_code | dicta-il/dictalm2.0 | SciPhi/SciPhi-Mistral-7B-32k | HuggingFaceH4/zephyr-7b-beta | mlabonne/OmniBeagle-7B | FelixChao/Sectumsempra-7B-DPO | argilla/distilabeled-Marcoro14-7B-slerp | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | BioMistral/BioMistral-7B | mlabonne/Beagle14-7B | shadowml/BeagleSempra-7B | shadowml/BeagSake-7B | fblgit/UNA-TheBeagle-7b-v1 | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | CorticalStack/pastiche-crown-clown-7b-dare | mistralai/Mistral-7B-Instruct-v0.1 | BioMistral/BioMistral-7B-DARE | mlabonne/NeuralBeagle14-7B | CultriX/NeuralTrix-7B-dpo | mlabonne/Marcoro14-7B-slerp | shadowml/WestBeagle-7B | CorticalStack/pastiche-crown-clown-7b-dare-dpo | mistralai/Mistral-7B-v0.1 | Intel/neural-chat-7b-v3-3 | Nexusflow/Starling-LM-7B-beta | flemmingmiguel/MBX-7B-v3 | AiMavenAi/AiMaven-Prometheus | bardsai/jaskier-7b-dpo-v5.6 | CultriX/NeuralTrix-bf16 | Intel/neural-chat-7b-v3-1 | berkeley-nest/Starling-LM-7B-alpha | Biomimicry-AI/ANIMA-Nectar-v2 | kevin009/llamaRAGdrama | deepseek-ai/deepseek-coder-1.3b-base | EleutherAI/polyglot-ko-3.8b,
FelixChao/vicuna-7B-physics,57,57,4,53,AdaptLLM/medicine-LLM | PharMolix/BioMedGPT-LM-7B | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | TinyLlama/TinyLlama-1.1B-Chat-v1.0 | TinyLlama/TinyLlama-1.1B-Chat-v0.5 | TinyLlama/TinyLlama_v1.1 | TinyLlama/TinyLlama_v1.1_math_code | BioMistral/BioMistral-7B | HuggingFaceH4/zephyr-7b-beta | SciPhi/SciPhi-Mistral-7B-32k | Intel/neural-chat-7b-v3-3 | Nexusflow/Starling-LM-7B-beta | berkeley-nest/Starling-LM-7B-alpha | FelixChao/Sectumsempra-7B-DPO | mistralai/Mistral-7B-v0.1 | argilla/distilabeled-Marcoro14-7B-slerp | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | mlabonne/Marcoro14-7B-slerp | CorticalStack/pastiche-crown-clown-7b-dare-dpo | CultriX/NeuralTrix-7B-dpo | shadowml/BeagleSempra-7B | CultriX/NeuralTrix-bf16 | fblgit/UNA-TheBeagle-7b-v1 | CorticalStack/pastiche-crown-clown-7b-dare | AiMavenAi/AiMaven-Prometheus | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | flemmingmiguel/MBX-7B-v3 | mlabonne/OmniBeagle-7B | shadowml/WestBeagle-7B | shadowml/BeagSake-7B | bardsai/jaskier-7b-dpo-v5.6 | kevin009/llamaRAGdrama | mlabonne/NeuralBeagle14-7B | dicta-il/dictalm2.0 | mlabonne/Beagle14-7B | BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-Instruct-v0.1 | Intel/neural-chat-7b-v3-1 | Biomimicry-AI/ANIMA-Nectar-v2 | deepseek-ai/deepseek-coder-1.3b-base | EleutherAI/polyglot-ko-3.8b | adamo1139/Apertus-8B-Instruct-2509-ungated | bigscience/bloom-560m | bigscience/bloomz-1b1 | bigscience/bloomz-1b7 | bigscience/bloomz-560m | chatitcloud/UZI1 | google/gemma-3-1b-pt | google/gemma-3-270m | google/gemma-3-4b-it | google/gemma-3-4b-pt | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509,
Gensyn/Qwen2.5-1.5B-Instruct,39,39,36,3,beyoru/Luna | allura-org/Koto-Small-7B-PT | XiaomiMiMo/MiMo-7B-Base,
Gensyn/Qwen2.5-7B-Instruct,20,20,20,0,,5.7
