cluster_id,model_id,family,organization,model_short_name
53,S4nfs/Neeto-1.0-8b,Neeto-1.0-8b,S4nfs,Neeto-1.0-8b
54,SciPhi/SciPhi-Mistral-7B-32k,SciPhi-Mistral-7B-32k,SciPhi,SciPhi-Mistral-7B-32k
55,SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,SciPhi-Self-RAG-Mistral-7B-32k,SciPhi,SciPhi-Self-RAG-Mistral-7B-32k
56,TheOneWhoWill/Bootstrap-LLM,Bootstrap-LLM,TheOneWhoWill,Bootstrap-LLM
57,TinyLlama/TinyLlama-1.1B-Chat-v0.5,TinyLlama-1.1B-Chat-v0.5,TinyLlama,TinyLlama-1.1B-Chat-v0.5
58,TinyLlama/TinyLlama-1.1B-Chat-v1.0,TinyLlama-1.1B-Chat-v1.0,TinyLlama,TinyLlama-1.1B-Chat-v1.0
59,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,TinyLlama-1.1B-intermediate-step-1431k-3T,TinyLlama,TinyLlama-1.1B-intermediate-step-1431k-3T
60,TinyLlama/TinyLlama_v1.1,TinyLlama_v1.1,TinyLlama,TinyLlama_v1.1
61,TinyLlama/TinyLlama_v1.1_math_code,TinyLlama_v1.1_math_code,TinyLlama,TinyLlama_v1.1_math_code
62,allenai/OLMoE-1B-7B-0924,OLMoE-1B-7B-0924,allenai,OLMoE-1B-7B-0924
63,arcee-ai/Llama-3.1-SuperNova-Lite,Llama-3.1-SuperNova-Lite,arcee-ai,Llama-3.1-SuperNova-Lite
64,augmxnt/shisa-base-7b-v1,shisa-base-7b-v1,augmxnt,shisa-base-7b-v1
65,bardsai/jaskier-7b-dpo-v5.6,jaskier-7b-dpo-v5.6,bardsai,jaskier-7b-dpo-v5.6
66,berkeley-nest/Starling-LM-7B-alpha,Starling-LM-7B-alpha,berkeley-nest,Starling-LM-7B-alpha
67,beyoru/Luna,Luna,beyoru,Luna
68,bigcode/starcoder2-3b,starcoder2-3b,bigcode,starcoder2-3b
69,bigscience/bloom-560m,bloom-560m,bigscience,bloom-560m
70,bigscience/bloomz-1b1,bloomz-1b1,bigscience,bloomz-1b1
71,bigscience/bloomz-1b7,bloomz-1b7,bigscience,bloomz-1b7
72,bigscience/bloomz-560m,bloomz-560m,bigscience,bloomz-560m
73,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,deepseek-ai,DeepSeek-R1-Distill-Llama-8B
74,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai,DeepSeek-R1-Distill-Qwen-1.5B
75,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-Distill-Qwen-7B,deepseek-ai,DeepSeek-R1-Distill-Qwen-7B
76,deepseek-ai/deepseek-coder-1.3b-base,deepseek-coder-1.3b-base,deepseek-ai,deepseek-coder-1.3b-base
77,dicta-il/dictalm2.0,dictalm2.0,dicta-il,dictalm2.0
78,elyza/Llama-3-ELYZA-JP-8B,Llama-3-ELYZA-JP-8B,elyza,Llama-3-ELYZA-JP-8B
79,eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,eren23,ogno-monarch-jaskier-merge-7b-OH-PREF-DPO
80,google/gemma-2b-it,gemma-2b-it,google,gemma-2b-it
81,gradientai/Llama-3-8B-Instruct-262k,Llama-3-8B-Instruct-262k,gradientai,Llama-3-8B-Instruct-262k
82,kevin009/llamaRAGdrama,llamaRAGdrama,kevin009,llamaRAGdrama
83,lmsys/vicuna-7b-v1.1,vicuna-7b-v1.1,lmsys,vicuna-7b-v1.1
84,lmsys/vicuna-7b-v1.5,vicuna-7b-v1.5,lmsys,vicuna-7b-v1.5
85,lmsys/vicuna-7b-v1.5-16k,vicuna-7b-v1.5-16k,lmsys,vicuna-7b-v1.5-16k
