model,outlier,graph_distance
AdaptLLM/medicine-LLM,mlabonne/NeuralBeagle14-7B,
AdaptLLM/medicine-LLM,berkeley-nest/Starling-LM-7B-alpha,
AdaptLLM/medicine-LLM,Intel/neural-chat-7b-v3-1,
AdaptLLM/medicine-LLM,mlabonne/Marcoro14-7B-slerp,
AdaptLLM/medicine-LLM,Nexusflow/Starling-LM-7B-beta,
AdaptLLM/medicine-LLM,BioMistral/BioMistral-7B-DARE,
AdaptLLM/medicine-LLM,SciPhi/SciPhi-Mistral-7B-32k,
AdaptLLM/medicine-LLM,BioMistral/BioMistral-7B,
AdaptLLM/medicine-LLM,Intel/neural-chat-7b-v3-3,
AdaptLLM/medicine-LLM,HuggingFaceH4/zephyr-7b-beta,
AiMavenAi/AiMaven-Prometheus,flemmingmiguel/MBX-7B-v3,2.0
AiMavenAi/AiMaven-Prometheus,bardsai/jaskier-7b-dpo-v5.6,10.0
AiMavenAi/AiMaven-Prometheus,CorticalStack/pastiche-crown-clown-7b-dare,10.0
AiMavenAi/AiMaven-Prometheus,mlabonne/NeuralBeagle14-7B,4.0
AiMavenAi/AiMaven-Prometheus,eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,10.0
AiMavenAi/AiMaven-Prometheus,mlabonne/Beagle14-7B,5.0
AiMavenAi/AiMaven-Prometheus,shadowml/BeagSake-7B,3.0
AiMavenAi/AiMaven-Prometheus,shadowml/BeagleSempra-7B,3.0
AiMavenAi/AiMaven-Prometheus,shadowml/WestBeagle-7B,3.0
AiMavenAi/AiMaven-Prometheus,fblgit/UNA-TheBeagle-7b-v1,6.0
AiMavenAi/AiMaven-Prometheus,CorticalStack/pastiche-crown-clown-7b-dare-dpo,11.0
AiMavenAi/AiMaven-Prometheus,argilla/distilabeled-Marcoro14-7B-slerp,6.0
AiMavenAi/AiMaven-Prometheus,mlabonne/OmniBeagle-7B,2.0
AiMavenAi/AiMaven-Prometheus,mlabonne/Marcoro14-7B-slerp,7.0
AiMavenAi/AiMaven-Prometheus,CultriX/NeuralTrix-7B-dpo,1.0
AiMavenAi/AiMaven-Prometheus,CultriX/NeuralTrix-bf16,2.0
AiMavenAi/AiMaven-Prometheus,FelixChao/Sectumsempra-7B-DPO,4.0
AiMavenAi/AiMaven-Prometheus,kevin009/llamaRAGdrama,
AiMavenAi/AiMaven-Prometheus,berkeley-nest/Starling-LM-7B-alpha,
AiMavenAi/AiMaven-Prometheus,mistralai/Mistral-7B-v0.1,
AiMavenAi/AiMaven-Prometheus,Nexusflow/Starling-LM-7B-beta,
AiMavenAi/AiMaven-Prometheus,Intel/neural-chat-7b-v3-1,
AiMavenAi/AiMaven-Prometheus,Intel/neural-chat-7b-v3-3,
AiMavenAi/AiMaven-Prometheus,dicta-il/dictalm2.0,
AiMavenAi/AiMaven-Prometheus,BioMistral/BioMistral-7B-DARE,
AiMavenAi/AiMaven-Prometheus,SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,
AiMavenAi/AiMaven-Prometheus,HuggingFaceH4/zephyr-7b-beta,
AiMavenAi/AiMaven-Prometheus,mistralai/Mistral-7B-Instruct-v0.1,
AiMavenAi/AiMaven-Prometheus,BioMistral/BioMistral-7B,
AiMavenAi/AiMaven-Prometheus,SciPhi/SciPhi-Mistral-7B-32k,
AiMavenAi/AiMaven-Prometheus,Biomimicry-AI/ANIMA-Nectar-v2,
AiMavenAi/AiMaven-Prometheus,deepseek-ai/deepseek-coder-1.3b-base,
AiMavenAi/AiMaven-Prometheus,lmsys/vicuna-7b-v1.1,
AiMavenAi/AiMaven-Prometheus,PharMolix/BioMedGPT-LM-7B,
AiMavenAi/AiMaven-Prometheus,AdaptLLM/medicine-LLM,
AiMavenAi/AiMaven-Prometheus,TinyLlama/TinyLlama-1.1B-Chat-v1.0,
AiMavenAi/AiMaven-Prometheus,lmsys/vicuna-7b-v1.5,
AiMavenAi/AiMaven-Prometheus,lmsys/vicuna-7b-v1.5-16k,
AiMavenAi/AiMaven-Prometheus,TinyLlama/TinyLlama-1.1B-Chat-v0.5,
AiMavenAi/AiMaven-Prometheus,FelixChao/vicuna-7B-physics,
AiMavenAi/AiMaven-Prometheus,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,
AiMavenAi/AiMaven-Prometheus,FelixChao/vicuna-7B-chemical,
AiMavenAi/AiMaven-Prometheus,TinyLlama/TinyLlama_v1.1,
AiMavenAi/AiMaven-Prometheus,EleutherAI/polyglot-ko-3.8b,
AiMavenAi/AiMaven-Prometheus,TinyLlama/TinyLlama_v1.1_math_code,
Aurore-Reveil/Koto-Small-7B-IT,allura-org/Koto-Small-7B-PT,1.0
Aurore-Reveil/Koto-Small-7B-IT,XiaomiMiMo/MiMo-7B-Base,2.0
Aurore-Reveil/Koto-Small-7B-IT,Qwen/Qwen2.5-Coder-0.5B,
Aurore-Reveil/Koto-Small-7B-IT,Qwen/Qwen2.5-Coder-7B,
Aurore-Reveil/Koto-Small-7B-IT,DeepHat/DeepHat-V1-7B,
Aurore-Reveil/Koto-Small-7B-IT,Qwen/Qwen2.5-3B,
Aurore-Reveil/Koto-Small-7B-IT,Qwen/Qwen2-7B,
Aurore-Reveil/Koto-Small-7B-IT,Qwen/Qwen3-4B-Instruct-2507,
BioMistral/BioMistral-7B,BioMistral/BioMistral-7B-DARE,1.0
BioMistral/BioMistral-7B,mistralai/Mistral-7B-Instruct-v0.1,2.0
BioMistral/BioMistral-7B,HuggingFaceH4/zephyr-7b-beta,4.0
BioMistral/BioMistral-7B,mlabonne/Marcoro14-7B-slerp,
BioMistral/BioMistral-7B,argilla/distilabeled-Marcoro14-7B-slerp,
BioMistral/BioMistral-7B,mistralai/Mistral-7B-v0.1,3.0
BioMistral/BioMistral-7B,Nexusflow/Starling-LM-7B-beta,
BioMistral/BioMistral-7B,shadowml/BeagleSempra-7B,
BioMistral/BioMistral-7B,FelixChao/Sectumsempra-7B-DPO,
BioMistral/BioMistral-7B,mlabonne/Beagle14-7B,
BioMistral/BioMistral-7B,shadowml/WestBeagle-7B,
BioMistral/BioMistral-7B,shadowml/BeagSake-7B,
BioMistral/BioMistral-7B,mlabonne/NeuralBeagle14-7B,
BioMistral/BioMistral-7B,SciPhi/SciPhi-Mistral-7B-32k,10.0
BioMistral/BioMistral-7B,flemmingmiguel/MBX-7B-v3,
BioMistral/BioMistral-7B,AiMavenAi/AiMaven-Prometheus,
BioMistral/BioMistral-7B,eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,
BioMistral/BioMistral-7B,CultriX/NeuralTrix-7B-dpo,
BioMistral/BioMistral-7B,mlabonne/OmniBeagle-7B,
BioMistral/BioMistral-7B,CorticalStack/pastiche-crown-clown-7b-dare,
BioMistral/BioMistral-7B,dicta-il/dictalm2.0,
BioMistral/BioMistral-7B,bardsai/jaskier-7b-dpo-v5.6,
BioMistral/BioMistral-7B,fblgit/UNA-TheBeagle-7b-v1,
BioMistral/BioMistral-7B,SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,10.0
BioMistral/BioMistral-7B,Biomimicry-AI/ANIMA-Nectar-v2,
BioMistral/BioMistral-7B,kevin009/llamaRAGdrama,
BioMistral/BioMistral-7B,CorticalStack/pastiche-crown-clown-7b-dare-dpo,
BioMistral/BioMistral-7B,CultriX/NeuralTrix-bf16,
BioMistral/BioMistral-7B,berkeley-nest/Starling-LM-7B-alpha,
BioMistral/BioMistral-7B,Intel/neural-chat-7b-v3-1,4.0
BioMistral/BioMistral-7B,Intel/neural-chat-7b-v3-3,5.0
BioMistral/BioMistral-7B,TinyLlama/TinyLlama_v1.1,
BioMistral/BioMistral-7B,lmsys/vicuna-7b-v1.1,
BioMistral/BioMistral-7B,AdaptLLM/medicine-LLM,
BioMistral/BioMistral-7B,FelixChao/vicuna-7B-chemical,
BioMistral/BioMistral-7B,FelixChao/vicuna-7B-physics,
BioMistral/BioMistral-7B,TinyLlama/TinyLlama_v1.1_math_code,
BioMistral/BioMistral-7B,lmsys/vicuna-7b-v1.5,
BioMistral/BioMistral-7B,lmsys/vicuna-7b-v1.5-16k,
BioMistral/BioMistral-7B,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,
BioMistral/BioMistral-7B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,
BioMistral/BioMistral-7B,adamo1139/Apertus-8B-Instruct-2509-ungated,
BioMistral/BioMistral-7B,bigscience/bloom-560m,
BioMistral/BioMistral-7B,bigscience/bloomz-1b1,
BioMistral/BioMistral-7B,bigscience/bloomz-1b7,
BioMistral/BioMistral-7B,bigscience/bloomz-560m,
BioMistral/BioMistral-7B,chatitcloud/UZI1,
BioMistral/BioMistral-7B,google/gemma-3-1b-pt,
BioMistral/BioMistral-7B,google/gemma-3-270m,
BioMistral/BioMistral-7B,google/gemma-3-4b-it,
BioMistral/BioMistral-7B,google/gemma-3-4b-pt,
BioMistral/BioMistral-7B,nvidia/Llama-3.1-8B-Instruct-FP8,
BioMistral/BioMistral-7B,swiss-ai/Apertus-8B-2509,
BioMistral/BioMistral-7B,PharMolix/BioMedGPT-LM-7B,
BioMistral/BioMistral-7B,deepseek-ai/deepseek-coder-1.3b-base,
BioMistral/BioMistral-7B-DARE,mistralai/Mistral-7B-Instruct-v0.1,1.0
BioMistral/BioMistral-7B-DARE,BioMistral/BioMistral-7B,1.0
BioMistral/BioMistral-7B-DARE,mlabonne/Marcoro14-7B-slerp,
BioMistral/BioMistral-7B-DARE,argilla/distilabeled-Marcoro14-7B-slerp,
BioMistral/BioMistral-7B-DARE,mlabonne/NeuralBeagle14-7B,
BioMistral/BioMistral-7B-DARE,mlabonne/Beagle14-7B,
BioMistral/BioMistral-7B-DARE,shadowml/WestBeagle-7B,
BioMistral/BioMistral-7B-DARE,shadowml/BeagSake-7B,
BioMistral/BioMistral-7B-DARE,shadowml/BeagleSempra-7B,
BioMistral/BioMistral-7B-DARE,AiMavenAi/AiMaven-Prometheus,
BioMistral/BioMistral-7B-DARE,flemmingmiguel/MBX-7B-v3,
BioMistral/BioMistral-7B-DARE,mistralai/Mistral-7B-v0.1,2.0
BioMistral/BioMistral-7B-DARE,fblgit/UNA-TheBeagle-7b-v1,
BioMistral/BioMistral-7B-DARE,FelixChao/Sectumsempra-7B-DPO,
BioMistral/BioMistral-7B-DARE,CorticalStack/pastiche-crown-clown-7b-dare,
BioMistral/BioMistral-7B-DARE,bardsai/jaskier-7b-dpo-v5.6,
BioMistral/BioMistral-7B-DARE,eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,
BioMistral/BioMistral-7B-DARE,mlabonne/OmniBeagle-7B,
BioMistral/BioMistral-7B-DARE,kevin009/llamaRAGdrama,
BioMistral/BioMistral-7B-DARE,Nexusflow/Starling-LM-7B-beta,
BioMistral/BioMistral-7B-DARE,CorticalStack/pastiche-crown-clown-7b-dare-dpo,
BioMistral/BioMistral-7B-DARE,CultriX/NeuralTrix-7B-dpo,
BioMistral/BioMistral-7B-DARE,CultriX/NeuralTrix-bf16,
BioMistral/BioMistral-7B-DARE,berkeley-nest/Starling-LM-7B-alpha,
BioMistral/BioMistral-7B-DARE,Intel/neural-chat-7b-v3-1,3.0
BioMistral/BioMistral-7B-DARE,Intel/neural-chat-7b-v3-3,4.0
BioMistral/BioMistral-7B-DARE,Biomimicry-AI/ANIMA-Nectar-v2,
BioMistral/BioMistral-7B-DARE,SciPhi/SciPhi-Mistral-7B-32k,11.0
BioMistral/BioMistral-7B-DARE,SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,11.0
BioMistral/BioMistral-7B-DARE,dicta-il/dictalm2.0,
BioMistral/BioMistral-7B-DARE,HuggingFaceH4/zephyr-7b-beta,3.0
BioMistral/BioMistral-7B-DARE,TinyLlama/TinyLlama_v1.1,
BioMistral/BioMistral-7B-DARE,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,
BioMistral/BioMistral-7B-DARE,TinyLlama/TinyLlama-1.1B-Chat-v0.5,
BioMistral/BioMistral-7B-DARE,PharMolix/BioMedGPT-LM-7B,
BioMistral/BioMistral-7B-DARE,TinyLlama/TinyLlama-1.1B-Chat-v1.0,
BioMistral/BioMistral-7B-DARE,lmsys/vicuna-7b-v1.5,
BioMistral/BioMistral-7B-DARE,FelixChao/vicuna-7B-physics,
BioMistral/BioMistral-7B-DARE,lmsys/vicuna-7b-v1.5-16k,
BioMistral/BioMistral-7B-DARE,lmsys/vicuna-7b-v1.1,
BioMistral/BioMistral-7B-DARE,FelixChao/vicuna-7B-chemical,
BioMistral/BioMistral-7B-DARE,TinyLlama/TinyLlama_v1.1_math_code,
BioMistral/BioMistral-7B-DARE,AdaptLLM/medicine-LLM,
BioMistral/BioMistral-7B-DARE,deepseek-ai/deepseek-coder-1.3b-base,
BioMistral/BioMistral-7B-DARE,adamo1139/Apertus-8B-Instruct-2509-ungated,
BioMistral/BioMistral-7B-DARE,bigscience/bloom-560m,
BioMistral/BioMistral-7B-DARE,bigscience/bloomz-1b1,
BioMistral/BioMistral-7B-DARE,bigscience/bloomz-1b7,
BioMistral/BioMistral-7B-DARE,bigscience/bloomz-560m,
BioMistral/BioMistral-7B-DARE,chatitcloud/UZI1,
BioMistral/BioMistral-7B-DARE,google/gemma-3-1b-pt,
BioMistral/BioMistral-7B-DARE,google/gemma-3-270m,
BioMistral/BioMistral-7B-DARE,google/gemma-3-4b-it,
BioMistral/BioMistral-7B-DARE,google/gemma-3-4b-pt,
BioMistral/BioMistral-7B-DARE,nvidia/Llama-3.1-8B-Instruct-FP8,
BioMistral/BioMistral-7B-DARE,swiss-ai/Apertus-8B-2509,
Biomimicry-AI/ANIMA-Nectar-v2,BioMistral/BioMistral-7B-DARE,
Biomimicry-AI/ANIMA-Nectar-v2,HuggingFaceH4/zephyr-7b-beta,
Biomimicry-AI/ANIMA-Nectar-v2,mistralai/Mistral-7B-Instruct-v0.1,
Biomimicry-AI/ANIMA-Nectar-v2,BioMistral/BioMistral-7B,
Biomimicry-AI/ANIMA-Nectar-v2,argilla/distilabeled-Marcoro14-7B-slerp,
Biomimicry-AI/ANIMA-Nectar-v2,mlabonne/Marcoro14-7B-slerp,
Biomimicry-AI/ANIMA-Nectar-v2,FelixChao/Sectumsempra-7B-DPO,
Biomimicry-AI/ANIMA-Nectar-v2,Nexusflow/Starling-LM-7B-beta,
Biomimicry-AI/ANIMA-Nectar-v2,shadowml/BeagSake-7B,
Biomimicry-AI/ANIMA-Nectar-v2,shadowml/BeagleSempra-7B,
Biomimicry-AI/ANIMA-Nectar-v2,mlabonne/OmniBeagle-7B,
Biomimicry-AI/ANIMA-Nectar-v2,mlabonne/Beagle14-7B,
Biomimicry-AI/ANIMA-Nectar-v2,shadowml/WestBeagle-7B,
Biomimicry-AI/ANIMA-Nectar-v2,mlabonne/NeuralBeagle14-7B,
Biomimicry-AI/ANIMA-Nectar-v2,flemmingmiguel/MBX-7B-v3,
Biomimicry-AI/ANIMA-Nectar-v2,AiMavenAi/AiMaven-Prometheus,
Biomimicry-AI/ANIMA-Nectar-v2,CorticalStack/pastiche-crown-clown-7b-dare-dpo,
Biomimicry-AI/ANIMA-Nectar-v2,eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,
Biomimicry-AI/ANIMA-Nectar-v2,bardsai/jaskier-7b-dpo-v5.6,
Biomimicry-AI/ANIMA-Nectar-v2,CorticalStack/pastiche-crown-clown-7b-dare,
Biomimicry-AI/ANIMA-Nectar-v2,berkeley-nest/Starling-LM-7B-alpha,
Biomimicry-AI/ANIMA-Nectar-v2,fblgit/UNA-TheBeagle-7b-v1,
Biomimicry-AI/ANIMA-Nectar-v2,CultriX/NeuralTrix-7B-dpo,
Biomimicry-AI/ANIMA-Nectar-v2,CultriX/NeuralTrix-bf16,
Biomimicry-AI/ANIMA-Nectar-v2,mistralai/Mistral-7B-v0.1,
Biomimicry-AI/ANIMA-Nectar-v2,kevin009/llamaRAGdrama,
Biomimicry-AI/ANIMA-Nectar-v2,SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,
Biomimicry-AI/ANIMA-Nectar-v2,Intel/neural-chat-7b-v3-3,
Biomimicry-AI/ANIMA-Nectar-v2,SciPhi/SciPhi-Mistral-7B-32k,
Biomimicry-AI/ANIMA-Nectar-v2,dicta-il/dictalm2.0,
Biomimicry-AI/ANIMA-Nectar-v2,Intel/neural-chat-7b-v3-1,
Biomimicry-AI/ANIMA-Nectar-v2,PharMolix/BioMedGPT-LM-7B,
Biomimicry-AI/ANIMA-Nectar-v2,TinyLlama/TinyLlama_v1.1,
Biomimicry-AI/ANIMA-Nectar-v2,lmsys/vicuna-7b-v1.5-16k,
Biomimicry-AI/ANIMA-Nectar-v2,lmsys/vicuna-7b-v1.5,
Biomimicry-AI/ANIMA-Nectar-v2,lmsys/vicuna-7b-v1.1,
Biomimicry-AI/ANIMA-Nectar-v2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,
Biomimicry-AI/ANIMA-Nectar-v2,FelixChao/vicuna-7B-physics,
Biomimicry-AI/ANIMA-Nectar-v2,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,
Biomimicry-AI/ANIMA-Nectar-v2,FelixChao/vicuna-7B-chemical,
Biomimicry-AI/ANIMA-Nectar-v2,AdaptLLM/medicine-LLM,
Biomimicry-AI/ANIMA-Nectar-v2,TinyLlama/TinyLlama_v1.1_math_code,
Biomimicry-AI/ANIMA-Nectar-v2,TinyLlama/TinyLlama-1.1B-Chat-v0.5,
Biomimicry-AI/ANIMA-Nectar-v2,deepseek-ai/deepseek-coder-1.3b-base,
ByteDance-Seed/Seed-Coder-8B-Base,ByteDance-Seed/Seed-Coder-8B-Instruct,1.0
ByteDance-Seed/Seed-Coder-8B-Instruct,ByteDance-Seed/Seed-Coder-8B-Base,1.0
CorticalStack/pastiche-crown-clown-7b-dare,CorticalStack/pastiche-crown-clown-7b-dare-dpo,1.0
CorticalStack/pastiche-crown-clown-7b-dare,eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,10.0
CorticalStack/pastiche-crown-clown-7b-dare,bardsai/jaskier-7b-dpo-v5.6,10.0
CorticalStack/pastiche-crown-clown-7b-dare,CultriX/NeuralTrix-7B-dpo,11.0
CorticalStack/pastiche-crown-clown-7b-dare,CultriX/NeuralTrix-bf16,12.0
CorticalStack/pastiche-crown-clown-7b-dare,AiMavenAi/AiMaven-Prometheus,10.0
CorticalStack/pastiche-crown-clown-7b-dare,flemmingmiguel/MBX-7B-v3,10.0
CorticalStack/pastiche-crown-clown-7b-dare,mlabonne/OmniBeagle-7B,12.0
CorticalStack/pastiche-crown-clown-7b-dare,shadowml/BeagSake-7B,12.0
CorticalStack/pastiche-crown-clown-7b-dare,shadowml/WestBeagle-7B,12.0
CorticalStack/pastiche-crown-clown-7b-dare,mlabonne/NeuralBeagle14-7B,12.0
CorticalStack/pastiche-crown-clown-7b-dare,shadowml/BeagleSempra-7B,11.0
CorticalStack/pastiche-crown-clown-7b-dare,mlabonne/Beagle14-7B,11.0
CorticalStack/pastiche-crown-clown-7b-dare,fblgit/UNA-TheBeagle-7b-v1,10.0
CorticalStack/pastiche-crown-clown-7b-dare,FelixChao/Sectumsempra-7B-DPO,10.0
CorticalStack/pastiche-crown-clown-7b-dare,argilla/distilabeled-Marcoro14-7B-slerp,11.0
CorticalStack/pastiche-crown-clown-7b-dare,mlabonne/Marcoro14-7B-slerp,10.0
CorticalStack/pastiche-crown-clown-7b-dare,kevin009/llamaRAGdrama,
CorticalStack/pastiche-crown-clown-7b-dare,berkeley-nest/Starling-LM-7B-alpha,
CorticalStack/pastiche-crown-clown-7b-dare,Nexusflow/Starling-LM-7B-beta,
CorticalStack/pastiche-crown-clown-7b-dare,mistralai/Mistral-7B-v0.1,
CorticalStack/pastiche-crown-clown-7b-dare,Intel/neural-chat-7b-v3-3,
CorticalStack/pastiche-crown-clown-7b-dare,Intel/neural-chat-7b-v3-1,
CorticalStack/pastiche-crown-clown-7b-dare,HuggingFaceH4/zephyr-7b-beta,
CorticalStack/pastiche-crown-clown-7b-dare,SciPhi/SciPhi-Mistral-7B-32k,
CorticalStack/pastiche-crown-clown-7b-dare,SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,
CorticalStack/pastiche-crown-clown-7b-dare,BioMistral/BioMistral-7B-DARE,
CorticalStack/pastiche-crown-clown-7b-dare,mistralai/Mistral-7B-Instruct-v0.1,
CorticalStack/pastiche-crown-clown-7b-dare,dicta-il/dictalm2.0,
CorticalStack/pastiche-crown-clown-7b-dare,BioMistral/BioMistral-7B,
CorticalStack/pastiche-crown-clown-7b-dare,Biomimicry-AI/ANIMA-Nectar-v2,
CorticalStack/pastiche-crown-clown-7b-dare,lmsys/vicuna-7b-v1.1,
CorticalStack/pastiche-crown-clown-7b-dare,deepseek-ai/deepseek-coder-1.3b-base,
CorticalStack/pastiche-crown-clown-7b-dare,PharMolix/BioMedGPT-LM-7B,
CorticalStack/pastiche-crown-clown-7b-dare,AdaptLLM/medicine-LLM,
CorticalStack/pastiche-crown-clown-7b-dare,FelixChao/vicuna-7B-chemical,
CorticalStack/pastiche-crown-clown-7b-dare,FelixChao/vicuna-7B-physics,
CorticalStack/pastiche-crown-clown-7b-dare,lmsys/vicuna-7b-v1.5,
CorticalStack/pastiche-crown-clown-7b-dare,lmsys/vicuna-7b-v1.5-16k,
CorticalStack/pastiche-crown-clown-7b-dare,TinyLlama/TinyLlama-1.1B-Chat-v1.0,
CorticalStack/pastiche-crown-clown-7b-dare,TinyLlama/TinyLlama_v1.1,
CorticalStack/pastiche-crown-clown-7b-dare,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,
CorticalStack/pastiche-crown-clown-7b-dare,TinyLlama/TinyLlama-1.1B-Chat-v0.5,
CorticalStack/pastiche-crown-clown-7b-dare,EleutherAI/polyglot-ko-3.8b,
CorticalStack/pastiche-crown-clown-7b-dare,TinyLlama/TinyLlama_v1.1_math_code,
CorticalStack/pastiche-crown-clown-7b-dare,HuggingFaceTB/SmolLM2-135M,
CorticalStack/pastiche-crown-clown-7b-dare-dpo,CorticalStack/pastiche-crown-clown-7b-dare,1.0
CorticalStack/pastiche-crown-clown-7b-dare-dpo,eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,11.0
CorticalStack/pastiche-crown-clown-7b-dare-dpo,bardsai/jaskier-7b-dpo-v5.6,11.0
CorticalStack/pastiche-crown-clown-7b-dare-dpo,CultriX/NeuralTrix-7B-dpo,12.0
CorticalStack/pastiche-crown-clown-7b-dare-dpo,AiMavenAi/AiMaven-Prometheus,11.0
CorticalStack/pastiche-crown-clown-7b-dare-dpo,flemmingmiguel/MBX-7B-v3,11.0
CorticalStack/pastiche-crown-clown-7b-dare-dpo,CultriX/NeuralTrix-bf16,13.0
