sample_type,base_model,test_model,num_pairs,avg_overlap_ratio,min_overlap,max_overlap,bottom_k_vocab_size,pair_scores_json
negative,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-Coder-1.5B,5,0.0196,0.007,0.034,2000,"[0.0105, 0.007, 0.0235, 0.034, 0.023]"
negative,Qwen/Qwen2.5-7B,Gensyn/Qwen2.5-1.5B-Instruct,5,0.0492,0.032,0.0815,2000,"[0.043, 0.0815, 0.053, 0.0365, 0.032]"
negative,Qwen/Qwen2.5-7B,unsloth/Meta-Llama-3.1-8B-Instruct,5,0.013800000000000002,0.0125,0.0175,2000,"[0.013, 0.013, 0.0175, 0.013, 0.0125]"
negative,Qwen/Qwen2.5-7B,Qwen/Qwen3-Reranker-0.6B,5,0.022600000000000002,0.0105,0.0395,2000,"[0.021, 0.0225, 0.0195, 0.0395, 0.0105]"
negative,Qwen/Qwen2.5-7B,NousResearch/Hermes-3-Llama-3.1-8B,5,0.0137,0.009,0.0205,2000,"[0.0095, 0.009, 0.017, 0.0205, 0.0125]"
negative,Qwen/Qwen2.5-7B,allenai/Llama-3.1-Tulu-3-8B-SFT,5,0.014599999999999998,0.013,0.0155,2000,"[0.013, 0.014, 0.0155, 0.0155, 0.015]"
negative,Qwen/Qwen2.5-7B,allenai/Llama-3.1-Tulu-3-8B-SFT,5,0.014599999999999998,0.013,0.0155,2000,"[0.013, 0.014, 0.0155, 0.0155, 0.015]"
negative,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-Coder-1.5B,5,0.0196,0.007,0.034,2000,"[0.0105, 0.007, 0.0235, 0.034, 0.023]"
negative,Qwen/Qwen2.5-7B,unsloth/Llama-3.1-8B-Instruct,5,0.013800000000000002,0.0125,0.0175,2000,"[0.013, 0.013, 0.0175, 0.013, 0.0125]"
negative,Qwen/Qwen2.5-7B,Qwen/Qwen3-Reranker-4B,5,0.027600000000000003,0.0195,0.033,2000,"[0.033, 0.025, 0.0195, 0.0325, 0.028]"
negative,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-Math-1.5B,5,0.009,0.0015,0.027,2000,"[0.0045, 0.0015, 0.004, 0.027, 0.008]"
negative,Qwen/Qwen2.5-7B,NousResearch/Hermes-3-Llama-3.1-8B,5,0.0137,0.009,0.0205,2000,"[0.0095, 0.009, 0.017, 0.0205, 0.0125]"
negative,Qwen/Qwen2.5-7B,unsloth/Meta-Llama-3.1-8B-Instruct,5,0.013800000000000002,0.0125,0.0175,2000,"[0.013, 0.013, 0.0175, 0.013, 0.0125]"
negative,Qwen/Qwen2.5-7B,Qwen/Qwen3-Reranker-0.6B,5,0.022600000000000002,0.0105,0.0395,2000,"[0.021, 0.0225, 0.0195, 0.0395, 0.0105]"
negative,Qwen/Qwen2.5-7B,Team-ACE/ToolACE-8B,5,0.0155,0.0135,0.02,2000,"[0.0135, 0.014, 0.02, 0.0145, 0.0155]"
negative,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-Math-1.5B,5,0.009,0.0015,0.027,2000,"[0.0045, 0.0015, 0.004, 0.027, 0.008]"
negative,Qwen/Qwen2.5-7B,unsloth/Llama-3.1-8B-Instruct,5,0.013800000000000002,0.0125,0.0175,2000,"[0.013, 0.013, 0.0175, 0.013, 0.0125]"
negative,Qwen/Qwen2.5-7B,tomaarsen/Qwen3-Reranker-0.6B-seq-cls,5,0.0229,0.0105,0.0405,2000,"[0.0215, 0.022, 0.02, 0.0405, 0.0105]"
