sample_type,base_model,test_model,num_pairs,avg_overlap_ratio,min_overlap,max_overlap,bottom_k_vocab_size,pair_scores_json
negative,Qwen/Qwen2.5-1.5B,tomaarsen/Qwen3-Reranker-0.6B-seq-cls,5,0.0928,0.036,0.24,2000,"[0.036, 0.0545, 0.24, 0.069, 0.0645]"
negative,Qwen/Qwen2.5-1.5B,Qwen/Qwen3-Reranker-0.6B,5,0.0932,0.0375,0.243,2000,"[0.0375, 0.0525, 0.243, 0.068, 0.065]"
negative,Qwen/Qwen2.5-1.5B,Qwen/Qwen3-4B,5,0.0941,0.0415,0.289,2000,"[0.047, 0.0445, 0.289, 0.0415, 0.0485]"
negative,Qwen/Qwen2.5-1.5B,unsloth/Qwen3-4B-Base,5,0.096,0.0615,0.1835,2000,"[0.0675, 0.0745, 0.1835, 0.0615, 0.093]"
negative,Qwen/Qwen2.5-1.5B,Qwen/Qwen3-Reranker-4B,5,0.1003,0.0475,0.3,2000,"[0.051, 0.055, 0.3, 0.048, 0.0475]"
positive,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-Coder-1.5B,5,0.1298,0.023,0.389,2000,"[0.0325, 0.023, 0.389, 0.1175, 0.087]"
positive,Qwen/Qwen2.5-1.5B,nvidia/OpenReasoning-Nemotron-1.5B,5,0.1583,0.099,0.3265,2000,"[0.108, 0.099, 0.3265, 0.1015, 0.1565]"
positive,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B-Instruct,5,0.5049,0.356,0.7225,2000,"[0.356, 0.515, 0.7225, 0.414, 0.517]"
positive,Qwen/Qwen2.5-1.5B,Gensyn/Qwen2.5-1.5B-Instruct,5,0.5049,0.356,0.7225,2000,"[0.356, 0.515, 0.7225, 0.414, 0.517]"
negative,Qwen/Qwen2.5-7B,Team-ACE/ToolACE-8B,5,0.0155,0.0135,0.02,2000,"[0.0135, 0.014, 0.02, 0.0145, 0.0155]"
negative,Qwen/Qwen2.5-7B,NousResearch/Hermes-3-Llama-3.1-8B,5,0.0137,0.009,0.0205,2000,"[0.0095, 0.009, 0.017, 0.0205, 0.0125]"
negative,Qwen/Qwen2.5-7B,Qwen/Qwen3-Reranker-4B,5,0.027600000000000003,0.0195,0.033,2000,"[0.033, 0.025, 0.0195, 0.0325, 0.028]"
negative,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-Coder-1.5B,5,0.0196,0.007,0.034,2000,"[0.0105, 0.007, 0.0235, 0.034, 0.023]"
negative,Qwen/Qwen2.5-7B,unsloth/Meta-Llama-3.1-8B-Instruct,5,0.013800000000000002,0.0125,0.0175,2000,"[0.013, 0.013, 0.0175, 0.013, 0.0125]"
negative,Qwen/Qwen2.5-7B,unsloth/Llama-3.1-8B-Instruct,5,0.013800000000000002,0.0125,0.0175,2000,"[0.013, 0.013, 0.0175, 0.013, 0.0125]"
