model,base_model,cluster_family,n_outliers,n_loosely_related_in_outliers,n_loosely_related_in_universe,precision_outliers_vs_loose,recall_loose_in_universe_captured,loosely_related_outliers,loosely_related_in_universe_not_in_outliers
Intel/neural-chat-7b-v3-3,Intel/neural-chat-7b-v3-1,neural-chat-7b-v3-3,14,0,0,0.0,,,
KoboldAI/GPT-Neo-2.7B-Horni-LN,,GPT-Neo-2.7B-Horni-LN,3,0,0,0.0,,,
LGAI-EXAONE/EXAONE-4.0-1.2B,,EXAONE-4.0-1.2B,0,0,0,,,,
LiquidAI/LFM2-1.2B,,LFM2-1.2B,12,0,0,0.0,,,
LiquidAI/LFM2-350M,,LFM2-350M,1,0,0,0.0,,,
Nexusflow/Starling-LM-7B-beta,,Starling-LM-7B-beta,14,0,0,0.0,,,
NinedayWang/PolyCoder-2.7B,,PolyCoder-2.7B,0,0,0,,,,
PharMolix/BioMedGPT-LM-7B,,BioMedGPT-LM-7B,7,0,0,0.0,,,
PygmalionAI/pygmalion-2.7b,,pygmalion-2.7b,3,0,0,0.0,,,
Qwen/Qwen1.5-0.5B-Chat,,Qwen1.5-0.5B-Chat,2,0,0,0.0,,,
Qwen/Qwen1.5-4B-Chat,,Qwen1.5-4B-Chat,1,0,0,0.0,,,
Qwen/Qwen2-0.5B-Instruct,Qwen/Qwen2-0.5B,Qwen2-0.5B-Instruct,0,0,0,,,,
Qwen/Qwen2-7B-Instruct,Qwen/Qwen2-7B,Qwen2-7B-Instruct,5,0,0,0.0,,,
Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,0,0,0,,,,
Qwen/Qwen2.5-1.5B,,Qwen2.5-1.5B,16,1,1,0.0625,1.0,Qwen/Qwen2.5-1.5B-Instruct,
Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,13,1,1,0.076923,1.0,Qwen/Qwen2.5-1.5B,
Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B,Qwen2.5-3B-Instruct,6,0,0,0.0,,,
Qwen/Qwen2.5-7B,,Qwen2.5-7B,8,4,7,0.5,0.571429,Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-Coder-7B | abocide/Qwen2.5-7B-Instruct-R1-forfinance | jiawei-ucas/Qwen-2.5-7B-ConsistentChat,DeepHat/DeepHat-V1-7B | Qwen/Qwen2.5-Coder-7B-Instruct | continuedev/instinct
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B,Qwen2.5-7B,4,3,7,0.75,0.428571,Qwen/Qwen2.5-7B | abocide/Qwen2.5-7B-Instruct-R1-forfinance | jiawei-ucas/Qwen-2.5-7B-ConsistentChat,DeepHat/DeepHat-V1-7B | Qwen/Qwen2.5-Coder-7B | Qwen/Qwen2.5-Coder-7B-Instruct | continuedev/instinct
Qwen/Qwen2.5-Coder-7B,Qwen/Qwen2.5-7B,Qwen2.5-7B,6,5,7,0.833333,0.714286,DeepHat/DeepHat-V1-7B | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-Coder-7B-Instruct | continuedev/instinct | jiawei-ucas/Qwen-2.5-7B-ConsistentChat,Qwen/Qwen2.5-7B-Instruct | abocide/Qwen2.5-7B-Instruct-R1-forfinance
Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-Coder-7B,Qwen2.5-7B,4,4,7,1.0,0.571429,DeepHat/DeepHat-V1-7B | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-Coder-7B | continuedev/instinct,Qwen/Qwen2.5-7B | abocide/Qwen2.5-7B-Instruct-R1-forfinance | jiawei-ucas/Qwen-2.5-7B-ConsistentChat
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B,Qwen2.5-Math-1.5B-Instruct,1,0,0,0.0,,,
Qwen/Qwen2.5-Math-7B-Instruct,Qwen/Qwen2.5-Math-7B,Qwen2.5-Math-7B-Instruct,0,0,0,,,,
Qwen/Qwen3-0.6B,Qwen/Qwen3-0.6B-Base,Qwen3-0.6B,14,0,0,0.0,,,
Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B-Base,Qwen3-1.7B,7,2,2,0.285714,1.0,fluently/FluentlyQwen3-1.7B | janhq/Jan-v1-edge,
Qwen/Qwen3-4B,Qwen/Qwen3-4B-Base,Qwen3-4B,13,1,1,0.076923,1.0,Tesslate/UIGEN-X-4B-0729,
Qwen/Qwen3-4B-Instruct-2507,,Qwen3-4B-Instruct-2507,10,1,1,0.1,1.0,Tesslate/WEBGEN-4B-Preview,
Qwen/Qwen3-4B-Thinking-2507,,Qwen3-4B-Thinking-2507,10,3,3,0.3,1.0,Qwen/Qwen3-4B-Thinking-2507-FP8 | huihui-ai/Huihui-Jan-v1-4B-abliterated | janhq/Jan-v1-4B,
Qwen/Qwen3-4B-Thinking-2507-FP8,Qwen/Qwen3-4B-Thinking-2507,Qwen3-4B-Thinking-2507,11,3,3,0.272727,1.0,Qwen/Qwen3-4B-Thinking-2507 | huihui-ai/Huihui-Jan-v1-4B-abliterated | janhq/Jan-v1-4B,
S4nfs/Neeto-1.0-8b,,Neeto-1.0-8b,5,0,0,0.0,,,
SciPhi/SciPhi-Mistral-7B-32k,,SciPhi-Mistral-7B-32k,14,0,0,0.0,,,
SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,,SciPhi-Self-RAG-Mistral-7B-32k,14,0,0,0.0,,,
Tesslate/UIGEN-X-4B-0729,Qwen/Qwen3-4B,Qwen3-4B,15,1,1,0.066667,1.0,Qwen/Qwen3-4B,
Tesslate/WEBGEN-4B-Preview,Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B-Instruct-2507,17,1,1,0.058824,1.0,Qwen/Qwen3-4B-Instruct-2507,
TheOneWhoWill/Bootstrap-LLM,,Bootstrap-LLM,3,0,0,0.0,,,
TinyLlama/TinyLlama-1.1B-Chat-v0.5,,TinyLlama-1.1B-Chat-v0.5,3,0,0,0.0,,,
TinyLlama/TinyLlama-1.1B-Chat-v1.0,,TinyLlama-1.1B-Chat-v1.0,8,0,0,0.0,,,
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,,TinyLlama-1.1B-intermediate-step-1431k-3T,11,0,0,0.0,,,
TinyLlama/TinyLlama_v1.1,,TinyLlama_v1.1,7,0,0,0.0,,,
TinyLlama/TinyLlama_v1.1_math_code,,TinyLlama_v1.1_math_code,11,0,0,0.0,,,
abocide/Qwen2.5-7B-Instruct-R1-forfinance,Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,4,3,7,0.75,0.428571,Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | jiawei-ucas/Qwen-2.5-7B-ConsistentChat,DeepHat/DeepHat-V1-7B | Qwen/Qwen2.5-Coder-7B | Qwen/Qwen2.5-Coder-7B-Instruct | continuedev/instinct
adamo1139/Apertus-8B-Instruct-2509-ungated,swiss-ai/Apertus-8B-2509,Apertus-8B-Instruct-2509-ungated,5,0,0,0.0,,,
allenai/OLMoE-1B-7B-0924,,OLMoE-1B-7B-0924,4,0,0,0.0,,,
askfjhaskjgh/UbermenschetienASI,NousResearch/Hermes-3-Llama-3.1-8B,UbermenschetienASI,5,0,0,0.0,,,
augmxnt/shisa-base-7b-v1,,shisa-base-7b-v1,0,0,0,,,,
bardsai/jaskier-7b-dpo-v5.6,,jaskier-7b-dpo-v5.6,14,0,0,0.0,,,
berkeley-nest/Starling-LM-7B-alpha,,Starling-LM-7B-alpha,14,0,0,0.0,,,
beruniy/Llama-3.2-3B-Instruct-Uz,meta-llama/Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct-Uz,4,0,0,0.0,,,
beyoru/Luna,,Luna,11,0,0,0.0,,,
bigcode/starcoder2-3b,,starcoder2-3b,0,0,0,,,,
bigscience/bloom-560m,,bloom-560m,5,0,0,0.0,,,
bigscience/bloomz-1b1,,bloomz-1b1,5,0,0,0.0,,,
bigscience/bloomz-1b7,,bloomz-1b7,1,0,0,0.0,,,
bigscience/bloomz-560m,,bloomz-560m,5,0,0,0.0,,,
bxod/Llama-3.2-1B-Instruct-uz,meta-llama/Llama-3.2-1B-Instruct,Llama-3.2-1B-Instruct-uz,6,0,0,0.0,,,
chatitcloud/UZI1,google/gemma-3-270m,UZI1,6,0,0,0.0,,,
continuedev/instinct,Qwen/Qwen2.5-Coder-7B,Qwen2.5-7B,3,3,7,1.0,0.428571,DeepHat/DeepHat-V1-7B | Qwen/Qwen2.5-Coder-7B | Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | abocide/Qwen2.5-7B-Instruct-R1-forfinance | jiawei-ucas/Qwen-2.5-7B-ConsistentChat
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,,DeepSeek-R1-Distill-Llama-8B,7,0,0,0.0,,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,,DeepSeek-R1-Distill-Qwen-1.5B,7,0,0,0.0,,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,,DeepSeek-R1-Distill-Qwen-7B,6,0,0,0.0,,,
deepseek-ai/deepseek-coder-1.3b-base,,deepseek-coder-1.3b-base,0,0,0,,,,
dicta-il/dictalm2.0,,dictalm2.0,14,0,0,0.0,,,
elyza/Llama-3-ELYZA-JP-8B,,Llama-3-ELYZA-JP-8B,5,0,0,0.0,,,
eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,,ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,14,0,0,0.0,,,
fluently/FluentlyQwen3-1.7B,Qwen/Qwen3-1.7B,Qwen3-1.7B,8,2,2,0.25,1.0,Qwen/Qwen3-1.7B | janhq/Jan-v1-edge,
google/gemma-2b-it,,gemma-2b-it,0,0,0,,,,
google/gemma-3-1b-it,google/gemma-3-1b-pt,gemma-3-1b-it,0,0,0,,,,
google/gemma-3-4b-it,google/gemma-3-4b-pt,gemma-3-4b-it,5,0,0,0.0,,,
gradientai/Llama-3-8B-Instruct-262k,,Llama-3-8B-Instruct-262k,5,0,0,0.0,,,
huihui-ai/Huihui-Jan-v1-4B-abliterated,janhq/Jan-v1-4B,Qwen3-4B-Thinking-2507,9,3,3,0.333333,1.0,Qwen/Qwen3-4B-Thinking-2507 | Qwen/Qwen3-4B-Thinking-2507-FP8 | janhq/Jan-v1-4B,
janhq/Jan-v1-4B,Qwen/Qwen3-4B-Thinking-2507,Qwen3-4B-Thinking-2507,16,3,3,0.1875,1.0,Qwen/Qwen3-4B-Thinking-2507 | Qwen/Qwen3-4B-Thinking-2507-FP8 | huihui-ai/Huihui-Jan-v1-4B-abliterated,
janhq/Jan-v1-edge,Qwen/Qwen3-1.7B,Qwen3-1.7B,15,2,2,0.133333,1.0,Qwen/Qwen3-1.7B | fluently/FluentlyQwen3-1.7B,
jiawei-ucas/Qwen-2.5-7B-ConsistentChat,Qwen/Qwen2.5-7B,Qwen2.5-7B,10,5,7,0.5,0.714286,DeepHat/DeepHat-V1-7B | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-Coder-7B | abocide/Qwen2.5-7B-Instruct-R1-forfinance,Qwen/Qwen2.5-Coder-7B-Instruct | continuedev/instinct
kevin009/llamaRAGdrama,,llamaRAGdrama,14,0,0,0.0,,,
lmsys/vicuna-7b-v1.1,,vicuna-7b-v1.1,11,0,0,0.0,,,
lmsys/vicuna-7b-v1.5,,vicuna-7b-v1.5,6,0,0,0.0,,,
lmsys/vicuna-7b-v1.5-16k,,vicuna-7b-v1.5-16k,8,0,0,0.0,,,
_SUMMARY_,,,706,56,82,0.07932,0.682927,micro_TP=56_pred=706_gold_universe_sum=82,rows_with_loose_peer_in_universe=23
