model,base_model,n_outliers,n_strict_related_in_outliers,n_strict_related_in_universe,precision_outliers_vs_strict,recall_strict_in_universe_captured,strict_related_outliers,strict_related_in_universe_not_in_outliers
Qwen/Qwen2.5-Math-7B-Instruct,Qwen/Qwen2.5-Math-7B,0,0,0,,,,
Qwen/Qwen3-0.6B,Qwen/Qwen3-0.6B-Base,14,0,0,0.0,,,
Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B-Base,7,2,2,0.285714,1.0,fluently/FluentlyQwen3-1.7B | janhq/Jan-v1-edge,
Qwen/Qwen3-4B,Qwen/Qwen3-4B-Base,13,1,1,0.076923,1.0,Tesslate/UIGEN-X-4B-0729,
Qwen/Qwen3-4B-Instruct-2507,,10,1,1,0.1,1.0,Tesslate/WEBGEN-4B-Preview,
Qwen/Qwen3-4B-Thinking-2507,,10,2,2,0.2,1.0,Qwen/Qwen3-4B-Thinking-2507-FP8 | janhq/Jan-v1-4B,
Qwen/Qwen3-4B-Thinking-2507-FP8,Qwen/Qwen3-4B-Thinking-2507,11,1,1,0.090909,1.0,Qwen/Qwen3-4B-Thinking-2507,
S4nfs/Neeto-1.0-8b,,5,0,0,0.0,,,
SciPhi/SciPhi-Mistral-7B-32k,,14,0,0,0.0,,,
SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,,14,0,0,0.0,,,
Tesslate/UIGEN-X-4B-0729,Qwen/Qwen3-4B,15,1,1,0.066667,1.0,Qwen/Qwen3-4B,
Tesslate/WEBGEN-4B-Preview,Qwen/Qwen3-4B-Instruct-2507,17,1,1,0.058824,1.0,Qwen/Qwen3-4B-Instruct-2507,
TheOneWhoWill/Bootstrap-LLM,,3,0,0,0.0,,,
TinyLlama/TinyLlama-1.1B-Chat-v0.5,,3,0,0,0.0,,,
TinyLlama/TinyLlama-1.1B-Chat-v1.0,,8,0,0,0.0,,,
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,,11,0,0,0.0,,,
TinyLlama/TinyLlama_v1.1,,7,0,0,0.0,,,
TinyLlama/TinyLlama_v1.1_math_code,,11,0,0,0.0,,,
abocide/Qwen2.5-7B-Instruct-R1-forfinance,Qwen/Qwen2.5-7B-Instruct,4,1,1,0.25,1.0,Qwen/Qwen2.5-7B-Instruct,
adamo1139/Apertus-8B-Instruct-2509-ungated,swiss-ai/Apertus-8B-2509,5,0,0,0.0,,,
allenai/OLMoE-1B-7B-0924,,4,0,0,0.0,,,
askfjhaskjgh/UbermenschetienASI,NousResearch/Hermes-3-Llama-3.1-8B,5,0,0,0.0,,,
augmxnt/shisa-base-7b-v1,,0,0,0,,,,
bardsai/jaskier-7b-dpo-v5.6,,14,0,0,0.0,,,
berkeley-nest/Starling-LM-7B-alpha,,14,0,0,0.0,,,
beruniy/Llama-3.2-3B-Instruct-Uz,meta-llama/Llama-3.2-3B-Instruct,4,0,0,0.0,,,
beyoru/Luna,,11,0,0,0.0,,,
bigcode/starcoder2-3b,,0,0,0,,,,
bigscience/bloom-560m,,5,0,0,0.0,,,
bigscience/bloomz-1b1,,5,0,0,0.0,,,
bigscience/bloomz-1b7,,1,0,0,0.0,,,
bigscience/bloomz-560m,,5,0,0,0.0,,,
bxod/Llama-3.2-1B-Instruct-uz,meta-llama/Llama-3.2-1B-Instruct,6,0,0,0.0,,,
chatitcloud/UZI1,google/gemma-3-270m,6,0,0,0.0,,,
continuedev/instinct,Qwen/Qwen2.5-Coder-7B,3,1,1,0.333333,1.0,Qwen/Qwen2.5-Coder-7B,
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,,7,0,0,0.0,,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,,7,0,0,0.0,,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,,6,0,0,0.0,,,
deepseek-ai/deepseek-coder-1.3b-base,,0,0,0,,,,
dicta-il/dictalm2.0,,14,0,0,0.0,,,
elyza/Llama-3-ELYZA-JP-8B,,5,0,0,0.0,,,
eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,,14,0,0,0.0,,,
fluently/FluentlyQwen3-1.7B,Qwen/Qwen3-1.7B,8,1,1,0.125,1.0,Qwen/Qwen3-1.7B,
google/gemma-2b-it,,0,0,0,,,,
google/gemma-3-1b-it,google/gemma-3-1b-pt,0,0,0,,,,
google/gemma-3-4b-it,google/gemma-3-4b-pt,5,0,0,0.0,,,
gradientai/Llama-3-8B-Instruct-262k,,5,0,0,0.0,,,
huihui-ai/Huihui-Jan-v1-4B-abliterated,janhq/Jan-v1-4B,9,1,1,0.111111,1.0,janhq/Jan-v1-4B,
janhq/Jan-v1-4B,Qwen/Qwen3-4B-Thinking-2507,16,2,2,0.125,1.0,Qwen/Qwen3-4B-Thinking-2507 | huihui-ai/Huihui-Jan-v1-4B-abliterated,
janhq/Jan-v1-edge,Qwen/Qwen3-1.7B,15,1,1,0.066667,1.0,Qwen/Qwen3-1.7B,
jiawei-ucas/Qwen-2.5-7B-ConsistentChat,Qwen/Qwen2.5-7B,10,1,1,0.1,1.0,Qwen/Qwen2.5-7B,
kevin009/llamaRAGdrama,,14,0,0,0.0,,,
lmsys/vicuna-7b-v1.1,,11,0,0,0.0,,,
lmsys/vicuna-7b-v1.5,,6,0,0,0.0,,,
lmsys/vicuna-7b-v1.5-16k,,8,0,0,0.0,,,
_SUMMARY_,,706,32,32,0.045326,1.0,micro_TP=32_pred=706_gold_universe_sum=32,rows_with_strict_neighbor_in_universe=23
