model,precision,recall
TinyLlama/TinyLlama-1.1B-Chat-v0.5,0,
TinyLlama/TinyLlama-1.1B-Chat-v1.0,0,
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,0,
TinyLlama/TinyLlama_v1.1,0,
TinyLlama/TinyLlama_v1.1_math_code,0,
Writer/palmyra-mini,0,0
XiaomiMiMo/MiMo-7B-Base,0.037037,1
abocide/Qwen2.5-7B-Instruct-R1-forfinance,0.045455,1
acon96/Home-Llama-3.2-3B,0.037037,1
adamo1139/Apertus-8B-Instruct-2509-ungated,0.016393,1
aisingapore/Llama-SEA-LION-v3-8B,0.026316,1
allenai/Llama-3.1-Tulu-3-8B-SFT,0.021739,1
allenai/OLMoE-1B-7B-0924,0,
allenai/llama-3.1-tulu-2-8b,0,0
allura-org/Koto-Small-7B-PT,0.117647,1
arcee-ai/Llama-3.1-SuperNova-Lite,0,
arcee-ai/Meraj-Mini,0.030303,1
argilla/distilabeled-Marcoro14-7B-slerp,0.046512,1
askfjhaskjgh/UbermenschetienASI,0.023256,1
augmxnt/shisa-base-7b-v1,,
bardsai/jaskier-7b-dpo-v5.6,0,
berkeley-nest/Starling-LM-7B-alpha,0,
beruniy/Llama-3.2-3B-Instruct-Uz,0,0
beyoru/Luna,0,
bigcode/starcoder2-3b,0,
bigscience/bloom-560m,0,
bigscience/bloomz-1b1,0,
bigscience/bloomz-1b7,0,
bigscience/bloomz-560m,0,
bxod/Llama-3.2-1B-Instruct-uz,0.037037,1
chatitcloud/UZI1,0.016667,1
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,0.025,1
continuedev/instinct,0.25,1
cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,0.047619,1
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,0,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,
deepseek-ai/deepseek-coder-1.3b-base,0,
dicta-il/dictalm2.0,0,
dnotitia/Smoothie-Qwen3-1.7B,0.25,1
dphn/Dolphin3.0-Llama3.1-8B,0.022727,1
elyza/Llama-3-ELYZA-JP-8B,0,
eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,0,
fblgit/UNA-TheBeagle-7b-v1,0.022222,1
flemmingmiguel/MBX-7B-v3,0.023256,1
fluently/FluentlyQwen3-1.7B,0.03125,1
google/gemma-2-2b-it,0.75,1
google/gemma-2-2b-jpn-it,0.25,1
google/gemma-2b-it,0,
google/gemma-3-1b-it,,0
google/gemma-3-1b-pt,0,0
google/gemma-3-270m,0.016129,1
google/gemma-3-4b-it,0.016949,1
google/gemma-3-4b-pt,0.016667,1
gradientai/Llama-3-8B-Instruct-262k,0,
huihui-ai/Huihui-Jan-v1-4B-abliterated,0.02381,1
inference-net/Schematron-3B,0.035714,1
janhq/Jan-v1-4B,0.043478,1
janhq/Jan-v1-edge,0.025,1
jiawei-ucas/Qwen-2.5-7B-ConsistentChat,0.026316,1
kevin009/llamaRAGdrama,0,
lmsys/vicuna-7b-v1.1,0,
lmsys/vicuna-7b-v1.5,0,
lmsys/vicuna-7b-v1.5-16k,0,
meta-llama/Llama-3.1-8B-Instruct,0.74359,0.966667
meta-llama/Llama-3.2-1B-Instruct,1,0.806452
meta-llama/Llama-3.2-3B-Instruct,1,0.882353
meta-llama/Llama-Guard-3-8B,0,0
meta-llama/Llama-3.1-8B,0.222222,0.8
microsoft/UserLM-8b,0.02439,1
mistralai/Mistral-7B-Instruct-v0.1,0.038462,1
mistralai/Mistral-7B-v0.1,0.066667,1
mlabonne/Beagle14-7B,0.066667,1
mlabonne/Marcoro14-7B-slerp,0.022222,1
mlabonne/NeuralBeagle14-7B,0.044444,1
mlabonne/OmniBeagle-7B,0.083333,1
nvidia/Llama-3.1-8B-Instruct-FP8,0,0
nvidia/OpenCodeReasoning-Nemotron-1.1-7B,0.019608,1
nvidia/OpenCodeReasoning-Nemotron-7B,0.030303,1
nvidia/OpenMath-Nemotron-1.5B,0.142857,1
nvidia/OpenMath2-Llama3.1-8B,0,0
nvidia/OpenReasoning-Nemotron-1.5B,0.020408,1
shadowml/BeagSake-7B,0.066667,1
shadowml/BeagleSempra-7B,0.088889,1
shadowml/WestBeagle-7B,0.088889,1
swiss-ai/Apertus-8B-2509,0.018519,1
unsloth/Llama-3.1-8B,0.028571,1
unsloth/Llama-3.2-1B-Instruct,0.04,1
unsloth/Llama-3.2-3B-Instruct,0.032258,1
unsloth/Meta-Llama-3.1-8B-Instruct,0.032258,1
unsloth/Qwen2.5-0.5B-Instruct,0.025,1
unsloth/Qwen2.5-1.5B,0.035714,1
unsloth/Qwen2.5-1.5B-Instruct,0.026316,1
unsloth/Qwen2.5-Math-1.5B,0.047619,1
google/gemma-2-2b,0,0
Qwen/Qwen2.5-Coder-0.5B,0.047619,0.5
unsloth/Qwen2.5-0.5B-Instruct-bnb-4bit,0.05,1
unsloth/Qwen2.5-1.5B-unsloth-bnb-4bit,0.025,1
unsloth/Qwen2.5-1.5B-Instruct-bnb-4bit,0.022222,1
unsloth/Qwen2.5-1.5B-Instruct-unsloth-bnb-4bit,0.022222,1
unsloth/Qwen2.5-Math-1.5B-bnb-4bit,0.035714,1
unsloth/Llama-3.2-1B-Instruct-unsloth-bnb-4bit,0.04,1
unsloth/Llama-3.2-1B-Instruct-bnb-4bit,0.043478,1
unsloth/Llama-3.2-3B-Instruct-bnb-4bit,0.035714,1
unsloth/Llama-3.2-3B-Instruct-unsloth-bnb-4bit,0.033333,1
unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit,0.064516,1
unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit,0.025641,1
llama31_8b_instruct_iq4_nl,0.022727,1
llama31_8b_instruct_iq4_xs,0.032258,1
llama31_8b_instruct_q2_k,0.02381,1
llama31_8b_instruct_q2_k_l,0.025641,1
llama31_8b_instruct_q3_k_m,0.02439,1
llama31_8b_instruct_q3_k_s,0.027778,1
llama31_8b_instruct_q4_0,0.023256,1
llama31_8b_instruct_q4_1,0.030303,1
llama31_8b_instruct_q4_k_m,0.032258,1
llama31_8b_instruct_q4_k_s,0.027027,1
llama31_8b_instruct_bf16,0.022222,1
llama31_8b_instruct_q5_k_m,0.029412,1
llama31_8b_instruct_q5_k_s,0.03125,1
llama31_8b_instruct_q6_k,0.032258,1
llama31_8b_instruct_iq1_m,0.033333,1
llama31_8b_instruct_iq1_s,0.03125,1
llama31_8b_instruct_iq2_m,0.025641,1
llama31_8b_instruct_iq2_xxs,0.026316,1
llama31_8b_instruct_iq3_xxs,0.032258,1
llama31_8b_instruct_q2_k_xl,0.025641,1
llama31_8b_instruct_q3_k_xl,0.023256,1
llama31_8b_instruct_q4_k_xl,0.023256,1
llama31_8b_instruct_q5_k_xl,0.022727,1
llama31_8b_instruct_q6_k_xl,0.026316,1
llama31_8b_instruct_q8_k_xl,0.022727,1
llama32_3b_instruct_bf16,0.032258,1
llama32_3b_instruct_f16,0.032258,1
llama32_3b_instruct_iq4_nl,0.032258,1
llama32_3b_instruct_iq4_xs,0.033333,1
llama32_3b_instruct_q2_k,0.035714,1
llama32_3b_instruct_q2_k_l,0.032258,1
llama32_3b_instruct_q3_k_m,0.033333,1
llama32_3b_instruct_q3_k_s,0.032258,1
llama32_3b_instruct_q4_0,0.033333,1
llama32_3b_instruct_q4_1,0.032258,1
llama32_3b_instruct_q4_k_m,0.033333,1
llama32_3b_instruct_q4_k_s,0.033333,1
llama32_3b_instruct_q5_k_m,0.033333,1
llama32_3b_instruct_q5_k_s,0.032258,1
llama32_3b_instruct_q6_k,0.032258,1
llama32_3b_instruct_q8_0,0.033333,1
llama32_3b_instruct_iq1_m,,0
llama32_3b_instruct_iq1_s,0.030303,1
llama32_3b_instruct_iq2_m,0.035714,1
llama32_3b_instruct_iq2_xxs,0.032258,1
llama32_3b_instruct_iq3_xxs,0.038462,1
llama32_3b_instruct_q2_k_xl,0.033333,1
llama32_3b_instruct_q3_k_xl,0.032258,1
llama32_3b_instruct_q4_k_xl,0.033333,1
llama32_3b_instruct_q5_k_xl,0.032258,1
llama32_3b_instruct_q6_k_xl,0.032258,1
llama32_3b_instruct_q8_k_xl,0.033333,1
llama32_1b_instruct_bf16,0.037037,1
llama32_1b_instruct_f16,0.04,1
llama32_1b_instruct_iq4_nl,0.038462,1
llama32_1b_instruct_iq4_xs,0.04,1
llama32_1b_instruct_q2_k,0.037037,1
llama32_1b_instruct_q2_k_l,0.04,1
llama32_1b_instruct_q3_k_m,0.041667,1
llama32_1b_instruct_q3_k_s,0.037037,1
llama32_1b_instruct_q4_0,0.04,1
llama32_1b_instruct_q4_1,0.043478,1
llama32_1b_instruct_q4_k_m,0.04,1
llama32_1b_instruct_q4_k_s,0.04,1
llama32_1b_instruct_q5_k_m,0.04,1
llama32_1b_instruct_q5_k_s,0.043478,1
llama32_1b_instruct_q6_k,0.037037,1
llama32_1b_instruct_q8_0,0.041667,1
llama32_1b_instruct_iq1_m,0,0
llama32_1b_instruct_iq1_s,,0
llama32_1b_instruct_iq2_m,0.041667,1
llama32_1b_instruct_iq2_xxs,,0
llama32_1b_instruct_iq3_xxs,0.04,1
llama32_1b_instruct_q2_k_xl,0.037037,1
llama32_1b_instruct_q3_k_xl,0.04,1
llama32_1b_instruct_q4_k_xl,0.041667,1
llama32_1b_instruct_q5_k_xl,0.037037,1
llama32_1b_instruct_q6_k_xl,0.041667,1
llama32_1b_instruct_q8_k_xl,0.04,1
