model,base_model,n_outliers,n_strict_related_in_outliers,n_strict_related_in_universe,precision_outliers_vs_strict,recall_strict_in_universe_captured,strict_related_outliers,strict_related_in_universe_not_in_outliers
microsoft/UserLM-8b,meta-llama/Llama-3.1-8B,15,1,1,0.066667,1.0,meta-llama/Llama-3.1-8B,
Qwen/Qwen2.5-Coder-1.5B,Qwen/Qwen2.5-1.5B,11,2,2,0.181818,1.0,Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-Coder-1.5B-Instruct,
nvidia/OpenMath-Nemotron-1.5B,Qwen/Qwen2.5-Math-1.5B,8,1,1,0.125,1.0,Qwen/Qwen2.5-Math-1.5B,
unsloth/Qwen2.5-Math-1.5B,Qwen/Qwen2.5-Math-1.5B,6,1,1,0.166667,1.0,Qwen/Qwen2.5-Math-1.5B,
nvidia/Llama-3.1-8B-Instruct-FP8,meta-llama/Llama-3.1-8B-Instruct,11,0,1,0.0,0.0,,meta-llama/Llama-3.1-8B-Instruct
nvidia/OpenCodeReasoning-Nemotron-1.1-7B,Qwen/Qwen2.5-7B-Instruct,9,1,1,0.111111,1.0,Qwen/Qwen2.5-7B-Instruct,
nvidia/OpenCodeReasoning-Nemotron-7B,Qwen/Qwen2.5-7B-Instruct,9,1,1,0.111111,1.0,Qwen/Qwen2.5-7B-Instruct,
google/gemma-2-2b-it,google/gemma-2-2b,3,2,2,0.666667,1.0,google/gemma-2-2b | google/gemma-2-2b-jpn-it,
Qwen/Qwen2.5-Coder-1.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B,4,1,1,0.25,1.0,Qwen/Qwen2.5-Coder-1.5B,
nvidia/OpenMath2-Llama3.1-8B,meta-llama/Llama-3.1-8B,10,0,1,0.0,0.0,,meta-llama/Llama-3.1-8B
unsloth/Llama-3.1-8B,meta-llama/Llama-3.1-8B,16,1,1,0.0625,1.0,meta-llama/Llama-3.1-8B,
unsloth/Llama-3.2-3B-Instruct,meta-llama/Llama-3.2-3B-Instruct,8,1,1,0.125,1.0,meta-llama/Llama-3.2-3B-Instruct,
unsloth/Meta-Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,20,1,1,0.05,1.0,meta-llama/Llama-3.1-8B-Instruct,
Qwen/Qwen2.5-Math-1.5B,Qwen/Qwen2.5-1.5B,10,1,4,0.1,0.25,unsloth/Qwen2.5-Math-1.5B,Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | nvidia/OpenMath-Nemotron-1.5B
INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,google/gemma-2-2b,3,1,1,0.333333,1.0,google/gemma-2-2b,
nvidia/OpenReasoning-Nemotron-1.5B,Qwen/Qwen2.5-1.5B,6,1,1,0.166667,1.0,Qwen/Qwen2.5-1.5B,
_SUMMARY_,,502,58,68,0.115538,0.852941,micro_TP=58_pred=502_gold_universe_sum=68,rows_with_strict_neighbor_in_universe=50
