model1,model2,graph_distance
01-ai/Yi-6B,PygmalionAI/pygmalion-2.7b,
01-ai/Yi-6B,Qwen/Qwen1.5-0.5B-Chat,
01-ai/Yi-6B,Qwen/Qwen1.5-4B-Chat,
01-ai/Yi-6B,Qwen/Qwen2-0.5B,
01-ai/Yi-6B,Qwen/Qwen2-0.5B-Instruct,
01-ai/Yi-6B,Qwen/Qwen2-7B,
01-ai/Yi-6B,Qwen/Qwen2-7B-Instruct,
01-ai/Yi-6B,Qwen/Qwen2.5-0.5B,
01-ai/Yi-6B,Qwen/Qwen2.5-0.5B-Instruct,
01-ai/Yi-6B,Qwen/Qwen2.5-1.5B,
01-ai/Yi-6B,Qwen/Qwen2.5-1.5B-Instruct,
01-ai/Yi-6B,Qwen/Qwen2.5-3B,
01-ai/Yi-6B,Qwen/Qwen2.5-3B-Instruct,
01-ai/Yi-6B,Qwen/Qwen2.5-7B,
01-ai/Yi-6B,Qwen/Qwen2.5-7B-Instruct,
01-ai/Yi-6B,Qwen/Qwen2.5-7B-Instruct-1M,
01-ai/Yi-6B,Qwen/Qwen2.5-Coder-0.5B-Instruct,
01-ai/Yi-6B,Qwen/Qwen2.5-Coder-1.5B,
01-ai/Yi-6B,Qwen/Qwen2.5-Coder-1.5B-Instruct,
01-ai/Yi-6B,Qwen/Qwen2.5-Coder-7B,
01-ai/Yi-6B,Qwen/Qwen2.5-Coder-7B-Instruct,
01-ai/Yi-6B,Qwen/Qwen2.5-Math-1.5B,
01-ai/Yi-6B,Qwen/Qwen2.5-Math-1.5B-Instruct,
01-ai/Yi-6B,Qwen/Qwen2.5-Math-7B,
01-ai/Yi-6B,Qwen/Qwen2.5-Math-7B-Instruct,
01-ai/Yi-6B,Qwen/Qwen3-0.6B,
01-ai/Yi-6B,Qwen/Qwen3-0.6B-Base,
01-ai/Yi-6B,Qwen/Qwen3-1.7B,
01-ai/Yi-6B,Qwen/Qwen3-1.7B-Base,
01-ai/Yi-6B,Qwen/Qwen3-4B,
01-ai/Yi-6B,Qwen/Qwen3-4B-Base,
01-ai/Yi-6B,Qwen/Qwen3-4B-Instruct-2507,
01-ai/Yi-6B,Qwen/Qwen3-4B-Thinking-2507,
01-ai/Yi-6B,Qwen/Qwen3-4B-Thinking-2507-FP8,
01-ai/Yi-6B,S4nfs/Neeto-1.0-8b,
01-ai/Yi-6B,SakanaAI/TinySwallow-1.5B,
01-ai/Yi-6B,SciPhi/SciPhi-Mistral-7B-32k,
01-ai/Yi-6B,SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,
01-ai/Yi-6B,Tesslate/UIGEN-X-4B-0729,
01-ai/Yi-6B,Tesslate/WEBGEN-4B-Preview,
01-ai/Yi-6B,TheOneWhoWill/Bootstrap-LLM,
01-ai/Yi-6B,TinyLlama/TinyLlama-1.1B-Chat-v0.5,
01-ai/Yi-6B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,
01-ai/Yi-6B,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,
01-ai/Yi-6B,TinyLlama/TinyLlama_v1.1,
01-ai/Yi-6B,TinyLlama/TinyLlama_v1.1_math_code,
01-ai/Yi-6B,Writer/palmyra-mini,
01-ai/Yi-6B,XiaomiMiMo/MiMo-7B-Base,
01-ai/Yi-6B,abocide/Qwen2.5-7B-Instruct-R1-forfinance,
01-ai/Yi-6B,acon96/Home-Llama-3.2-3B,
01-ai/Yi-6B,adamo1139/Apertus-8B-Instruct-2509-ungated,
01-ai/Yi-6B,aisingapore/Llama-SEA-LION-v3-8B,
01-ai/Yi-6B,allenai/Llama-3.1-Tulu-3-8B-SFT,
01-ai/Yi-6B,allenai/OLMoE-1B-7B-0924,
01-ai/Yi-6B,allenai/llama-3.1-tulu-2-8b,
01-ai/Yi-6B,allura-org/Koto-Small-7B-PT,
01-ai/Yi-6B,arcee-ai/Llama-3.1-SuperNova-Lite,
01-ai/Yi-6B,arcee-ai/Meraj-Mini,
01-ai/Yi-6B,argilla/distilabeled-Marcoro14-7B-slerp,
01-ai/Yi-6B,askfjhaskjgh/UbermenschetienASI,
01-ai/Yi-6B,augmxnt/shisa-base-7b-v1,
01-ai/Yi-6B,bardsai/jaskier-7b-dpo-v5.6,
01-ai/Yi-6B,berkeley-nest/Starling-LM-7B-alpha,
01-ai/Yi-6B,beruniy/Llama-3.2-3B-Instruct-Uz,
01-ai/Yi-6B,beyoru/Luna,
01-ai/Yi-6B,bigcode/starcoder2-3b,
01-ai/Yi-6B,bigscience/bloom-560m,
01-ai/Yi-6B,bigscience/bloomz-1b1,
01-ai/Yi-6B,bigscience/bloomz-1b7,
01-ai/Yi-6B,bigscience/bloomz-560m,
01-ai/Yi-6B,bxod/Llama-3.2-1B-Instruct-uz,
01-ai/Yi-6B,chatitcloud/UZI1,
01-ai/Yi-6B,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,
01-ai/Yi-6B,continuedev/instinct,
01-ai/Yi-6B,cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,
01-ai/Yi-6B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,
01-ai/Yi-6B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,
01-ai/Yi-6B,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,
01-ai/Yi-6B,deepseek-ai/deepseek-coder-1.3b-base,
01-ai/Yi-6B,dicta-il/dictalm2.0,
01-ai/Yi-6B,dnotitia/Smoothie-Qwen3-1.7B,
01-ai/Yi-6B,dphn/Dolphin3.0-Llama3.1-8B,
01-ai/Yi-6B,elyza/Llama-3-ELYZA-JP-8B,
01-ai/Yi-6B,eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,
01-ai/Yi-6B,fblgit/UNA-TheBeagle-7b-v1,
01-ai/Yi-6B,flemmingmiguel/MBX-7B-v3,
01-ai/Yi-6B,fluently/FluentlyQwen3-1.7B,
01-ai/Yi-6B,google/gemma-2-2b-it,
01-ai/Yi-6B,google/gemma-2-2b-jpn-it,
01-ai/Yi-6B,google/gemma-2b-it,
01-ai/Yi-6B,google/gemma-3-1b-it,
01-ai/Yi-6B,google/gemma-3-1b-pt,
01-ai/Yi-6B,google/gemma-3-270m,
01-ai/Yi-6B,google/gemma-3-4b-it,
01-ai/Yi-6B,google/gemma-3-4b-pt,
01-ai/Yi-6B,gradientai/Llama-3-8B-Instruct-262k,
01-ai/Yi-6B,huihui-ai/Huihui-Jan-v1-4B-abliterated,
01-ai/Yi-6B,inference-net/Schematron-3B,
01-ai/Yi-6B,janhq/Jan-v1-4B,
01-ai/Yi-6B,janhq/Jan-v1-edge,
01-ai/Yi-6B,jiawei-ucas/Qwen-2.5-7B-ConsistentChat,
01-ai/Yi-6B,kevin009/llamaRAGdrama,
01-ai/Yi-6B,lmsys/vicuna-7b-v1.1,
01-ai/Yi-6B,lmsys/vicuna-7b-v1.5,
01-ai/Yi-6B,lmsys/vicuna-7b-v1.5-16k,
01-ai/Yi-6B,meta-llama/Llama-3.1-8B-Instruct,
01-ai/Yi-6B,meta-llama/Llama-3.2-1B-Instruct,
01-ai/Yi-6B,meta-llama/Llama-3.2-3B-Instruct,
01-ai/Yi-6B,meta-llama/Llama-Guard-3-8B,
01-ai/Yi-6B,meta-llama/Llama-3.1-8B,
01-ai/Yi-6B,microsoft/UserLM-8b,
01-ai/Yi-6B,mistralai/Mistral-7B-Instruct-v0.1,
01-ai/Yi-6B,mistralai/Mistral-7B-v0.1,
01-ai/Yi-6B,mlabonne/Beagle14-7B,
01-ai/Yi-6B,mlabonne/Marcoro14-7B-slerp,
01-ai/Yi-6B,mlabonne/NeuralBeagle14-7B,
01-ai/Yi-6B,mlabonne/OmniBeagle-7B,
01-ai/Yi-6B,nvidia/Llama-3.1-8B-Instruct-FP8,
01-ai/Yi-6B,nvidia/OpenCodeReasoning-Nemotron-1.1-7B,
01-ai/Yi-6B,nvidia/OpenCodeReasoning-Nemotron-7B,
01-ai/Yi-6B,nvidia/OpenMath-Nemotron-1.5B,
01-ai/Yi-6B,nvidia/OpenMath2-Llama3.1-8B,
01-ai/Yi-6B,nvidia/OpenReasoning-Nemotron-1.5B,
01-ai/Yi-6B,shadowml/BeagSake-7B,
01-ai/Yi-6B,shadowml/BeagleSempra-7B,
01-ai/Yi-6B,shadowml/WestBeagle-7B,
01-ai/Yi-6B,swiss-ai/Apertus-8B-2509,
01-ai/Yi-6B,unsloth/Llama-3.1-8B,
01-ai/Yi-6B,unsloth/Llama-3.2-1B-Instruct,
01-ai/Yi-6B,unsloth/Llama-3.2-3B-Instruct,
01-ai/Yi-6B,unsloth/Meta-Llama-3.1-8B-Instruct,
01-ai/Yi-6B,unsloth/Qwen2.5-0.5B-Instruct,
01-ai/Yi-6B,unsloth/Qwen2.5-1.5B,
01-ai/Yi-6B,unsloth/Qwen2.5-1.5B-Instruct,
01-ai/Yi-6B,unsloth/Qwen2.5-Math-1.5B,
01-ai/Yi-6B-200K,01-ai/Yi-6B-Chat,10.0
01-ai/Yi-6B-200K,AdaptLLM/medicine-LLM,
01-ai/Yi-6B-200K,AiMavenAi/AiMaven-Prometheus,
01-ai/Yi-6B-200K,Aurore-Reveil/Koto-Small-7B-IT,
01-ai/Yi-6B-200K,BioMistral/BioMistral-7B,
01-ai/Yi-6B-200K,BioMistral/BioMistral-7B-DARE,
01-ai/Yi-6B-200K,Biomimicry-AI/ANIMA-Nectar-v2,
01-ai/Yi-6B-200K,ByteDance-Seed/Seed-Coder-8B-Base,
01-ai/Yi-6B-200K,ByteDance-Seed/Seed-Coder-8B-Instruct,
01-ai/Yi-6B-200K,ChrisMcCormick/deepseek-tiny-v0.1,
01-ai/Yi-6B-200K,CorticalStack/pastiche-crown-clown-7b-dare,
01-ai/Yi-6B-200K,CorticalStack/pastiche-crown-clown-7b-dare-dpo,
01-ai/Yi-6B-200K,CultriX/NeuralTrix-7B-dpo,
01-ai/Yi-6B-200K,CultriX/NeuralTrix-bf16,
01-ai/Yi-6B-200K,DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,
01-ai/Yi-6B-200K,DeepHat/DeepHat-V1-7B,
01-ai/Yi-6B-200K,EleutherAI/gpt-neo-1.3B,
01-ai/Yi-6B-200K,EleutherAI/polyglot-ko-3.8b,
01-ai/Yi-6B-200K,EleutherAI/pythia-1.4b,
01-ai/Yi-6B-200K,EleutherAI/pythia-1b,
01-ai/Yi-6B-200K,EleutherAI/pythia-2.8b,
01-ai/Yi-6B-200K,EleutherAI/pythia-6.9b,
01-ai/Yi-6B-200K,FelixChao/Sectumsempra-7B-DPO,
01-ai/Yi-6B-200K,FelixChao/vicuna-7B-chemical,
01-ai/Yi-6B-200K,FelixChao/vicuna-7B-physics,
01-ai/Yi-6B-200K,Gensyn/Qwen2.5-1.5B-Instruct,
01-ai/Yi-6B-200K,Gensyn/Qwen2.5-7B-Instruct,
01-ai/Yi-6B-200K,HuggingFaceH4/zephyr-7b-beta,
01-ai/Yi-6B-200K,HuggingFaceTB/SmolLM-135M,
01-ai/Yi-6B-200K,HuggingFaceTB/SmolLM2-135M,
01-ai/Yi-6B-200K,HuggingFaceTB/SmolLM3-3B,
01-ai/Yi-6B-200K,HuggingFaceTB/SmolLM3-3B-Base,
01-ai/Yi-6B-200K,INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,
01-ai/Yi-6B-200K,Intel/neural-chat-7b-v3-1,
01-ai/Yi-6B-200K,Intel/neural-chat-7b-v3-3,
01-ai/Yi-6B-200K,Jurema-br/Jurema-7B,
01-ai/Yi-6B-200K,KoboldAI/GPT-Neo-2.7B-Horni-LN,
01-ai/Yi-6B-200K,LGAI-EXAONE/EXAONE-4.0-1.2B,
01-ai/Yi-6B-200K,LiquidAI/LFM2-1.2B,
01-ai/Yi-6B-200K,LiquidAI/LFM2-350M,
01-ai/Yi-6B-200K,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,
01-ai/Yi-6B-200K,Nexusflow/Starling-LM-7B-beta,
01-ai/Yi-6B-200K,NinedayWang/PolyCoder-2.7B,
01-ai/Yi-6B-200K,NousResearch/Hermes-3-Llama-3.1-8B,
01-ai/Yi-6B-200K,PharMolix/BioMedGPT-LM-7B,
01-ai/Yi-6B-200K,PowerInfer/SmallThinker-3B-Preview,
01-ai/Yi-6B-200K,PygmalionAI/pygmalion-2.7b,
01-ai/Yi-6B-200K,Qwen/Qwen1.5-0.5B-Chat,
01-ai/Yi-6B-200K,Qwen/Qwen1.5-4B-Chat,
01-ai/Yi-6B-200K,Qwen/Qwen2-0.5B,
01-ai/Yi-6B-200K,Qwen/Qwen2-0.5B-Instruct,
01-ai/Yi-6B-200K,Qwen/Qwen2-7B,
01-ai/Yi-6B-200K,Qwen/Qwen2-7B-Instruct,
01-ai/Yi-6B-200K,Qwen/Qwen2.5-0.5B,
01-ai/Yi-6B-200K,Qwen/Qwen2.5-0.5B-Instruct,
01-ai/Yi-6B-200K,Qwen/Qwen2.5-1.5B,
01-ai/Yi-6B-200K,Qwen/Qwen2.5-1.5B-Instruct,
01-ai/Yi-6B-200K,Qwen/Qwen2.5-3B,
01-ai/Yi-6B-200K,Qwen/Qwen2.5-3B-Instruct,
01-ai/Yi-6B-200K,Qwen/Qwen2.5-7B,
01-ai/Yi-6B-200K,Qwen/Qwen2.5-7B-Instruct,
01-ai/Yi-6B-200K,Qwen/Qwen2.5-7B-Instruct-1M,
01-ai/Yi-6B-200K,Qwen/Qwen2.5-Coder-0.5B-Instruct,
01-ai/Yi-6B-200K,Qwen/Qwen2.5-Coder-1.5B,
01-ai/Yi-6B-200K,Qwen/Qwen2.5-Coder-1.5B-Instruct,
01-ai/Yi-6B-200K,Qwen/Qwen2.5-Coder-7B,
01-ai/Yi-6B-200K,Qwen/Qwen2.5-Coder-7B-Instruct,
01-ai/Yi-6B-200K,Qwen/Qwen2.5-Math-1.5B,
01-ai/Yi-6B-200K,Qwen/Qwen2.5-Math-1.5B-Instruct,
01-ai/Yi-6B-200K,Qwen/Qwen2.5-Math-7B,
01-ai/Yi-6B-200K,Qwen/Qwen2.5-Math-7B-Instruct,
01-ai/Yi-6B-200K,Qwen/Qwen3-0.6B,
01-ai/Yi-6B-200K,Qwen/Qwen3-0.6B-Base,
01-ai/Yi-6B-200K,Qwen/Qwen3-1.7B,
01-ai/Yi-6B-200K,Qwen/Qwen3-1.7B-Base,
01-ai/Yi-6B-200K,Qwen/Qwen3-4B,
01-ai/Yi-6B-200K,Qwen/Qwen3-4B-Base,
01-ai/Yi-6B-200K,Qwen/Qwen3-4B-Instruct-2507,
01-ai/Yi-6B-200K,Qwen/Qwen3-4B-Thinking-2507,
01-ai/Yi-6B-200K,Qwen/Qwen3-4B-Thinking-2507-FP8,
01-ai/Yi-6B-200K,S4nfs/Neeto-1.0-8b,
01-ai/Yi-6B-200K,SakanaAI/TinySwallow-1.5B,
01-ai/Yi-6B-200K,SciPhi/SciPhi-Mistral-7B-32k,
01-ai/Yi-6B-200K,SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,
01-ai/Yi-6B-200K,Tesslate/UIGEN-X-4B-0729,
01-ai/Yi-6B-200K,Tesslate/WEBGEN-4B-Preview,
01-ai/Yi-6B-200K,TheOneWhoWill/Bootstrap-LLM,
01-ai/Yi-6B-200K,TinyLlama/TinyLlama-1.1B-Chat-v0.5,
01-ai/Yi-6B-200K,TinyLlama/TinyLlama-1.1B-Chat-v1.0,
01-ai/Yi-6B-200K,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,
01-ai/Yi-6B-200K,TinyLlama/TinyLlama_v1.1,
01-ai/Yi-6B-200K,TinyLlama/TinyLlama_v1.1_math_code,
01-ai/Yi-6B-200K,Writer/palmyra-mini,
01-ai/Yi-6B-200K,XiaomiMiMo/MiMo-7B-Base,
01-ai/Yi-6B-200K,abocide/Qwen2.5-7B-Instruct-R1-forfinance,
01-ai/Yi-6B-200K,acon96/Home-Llama-3.2-3B,
01-ai/Yi-6B-200K,adamo1139/Apertus-8B-Instruct-2509-ungated,
01-ai/Yi-6B-200K,aisingapore/Llama-SEA-LION-v3-8B,
01-ai/Yi-6B-200K,allenai/Llama-3.1-Tulu-3-8B-SFT,
01-ai/Yi-6B-200K,allenai/OLMoE-1B-7B-0924,
01-ai/Yi-6B-200K,allenai/llama-3.1-tulu-2-8b,
01-ai/Yi-6B-200K,allura-org/Koto-Small-7B-PT,
01-ai/Yi-6B-200K,arcee-ai/Llama-3.1-SuperNova-Lite,
01-ai/Yi-6B-200K,arcee-ai/Meraj-Mini,
01-ai/Yi-6B-200K,argilla/distilabeled-Marcoro14-7B-slerp,
01-ai/Yi-6B-200K,askfjhaskjgh/UbermenschetienASI,
01-ai/Yi-6B-200K,augmxnt/shisa-base-7b-v1,
01-ai/Yi-6B-200K,bardsai/jaskier-7b-dpo-v5.6,
01-ai/Yi-6B-200K,berkeley-nest/Starling-LM-7B-alpha,
01-ai/Yi-6B-200K,beruniy/Llama-3.2-3B-Instruct-Uz,
01-ai/Yi-6B-200K,beyoru/Luna,
01-ai/Yi-6B-200K,bigcode/starcoder2-3b,
01-ai/Yi-6B-200K,bigscience/bloom-560m,
01-ai/Yi-6B-200K,bigscience/bloomz-1b1,
01-ai/Yi-6B-200K,bigscience/bloomz-1b7,
01-ai/Yi-6B-200K,bigscience/bloomz-560m,
01-ai/Yi-6B-200K,bxod/Llama-3.2-1B-Instruct-uz,
01-ai/Yi-6B-200K,chatitcloud/UZI1,
01-ai/Yi-6B-200K,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,
01-ai/Yi-6B-200K,continuedev/instinct,
01-ai/Yi-6B-200K,cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,
01-ai/Yi-6B-200K,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,
01-ai/Yi-6B-200K,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,
01-ai/Yi-6B-200K,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,
01-ai/Yi-6B-200K,deepseek-ai/deepseek-coder-1.3b-base,
01-ai/Yi-6B-200K,dicta-il/dictalm2.0,
01-ai/Yi-6B-200K,dnotitia/Smoothie-Qwen3-1.7B,
01-ai/Yi-6B-200K,dphn/Dolphin3.0-Llama3.1-8B,
01-ai/Yi-6B-200K,elyza/Llama-3-ELYZA-JP-8B,
01-ai/Yi-6B-200K,eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,
01-ai/Yi-6B-200K,fblgit/UNA-TheBeagle-7b-v1,
01-ai/Yi-6B-200K,flemmingmiguel/MBX-7B-v3,
01-ai/Yi-6B-200K,fluently/FluentlyQwen3-1.7B,
01-ai/Yi-6B-200K,google/gemma-2-2b-it,
01-ai/Yi-6B-200K,google/gemma-2-2b-jpn-it,
01-ai/Yi-6B-200K,google/gemma-2b-it,
01-ai/Yi-6B-200K,google/gemma-3-1b-it,
01-ai/Yi-6B-200K,google/gemma-3-1b-pt,
01-ai/Yi-6B-200K,google/gemma-3-270m,
01-ai/Yi-6B-200K,google/gemma-3-4b-it,
01-ai/Yi-6B-200K,google/gemma-3-4b-pt,
01-ai/Yi-6B-200K,gradientai/Llama-3-8B-Instruct-262k,
01-ai/Yi-6B-200K,huihui-ai/Huihui-Jan-v1-4B-abliterated,
01-ai/Yi-6B-200K,inference-net/Schematron-3B,
01-ai/Yi-6B-200K,janhq/Jan-v1-4B,
01-ai/Yi-6B-200K,janhq/Jan-v1-edge,
01-ai/Yi-6B-200K,jiawei-ucas/Qwen-2.5-7B-ConsistentChat,
01-ai/Yi-6B-200K,kevin009/llamaRAGdrama,
01-ai/Yi-6B-200K,lmsys/vicuna-7b-v1.1,
01-ai/Yi-6B-200K,lmsys/vicuna-7b-v1.5,
01-ai/Yi-6B-200K,lmsys/vicuna-7b-v1.5-16k,
01-ai/Yi-6B-200K,meta-llama/Llama-3.1-8B-Instruct,
01-ai/Yi-6B-200K,meta-llama/Llama-3.2-1B-Instruct,
01-ai/Yi-6B-200K,meta-llama/Llama-3.2-3B-Instruct,
01-ai/Yi-6B-200K,meta-llama/Llama-Guard-3-8B,
01-ai/Yi-6B-200K,meta-llama/Llama-3.1-8B,
01-ai/Yi-6B-200K,microsoft/UserLM-8b,
01-ai/Yi-6B-200K,mistralai/Mistral-7B-Instruct-v0.1,
01-ai/Yi-6B-200K,mistralai/Mistral-7B-v0.1,
01-ai/Yi-6B-200K,mlabonne/Beagle14-7B,
01-ai/Yi-6B-200K,mlabonne/Marcoro14-7B-slerp,
01-ai/Yi-6B-200K,mlabonne/NeuralBeagle14-7B,
01-ai/Yi-6B-200K,mlabonne/OmniBeagle-7B,
01-ai/Yi-6B-200K,nvidia/Llama-3.1-8B-Instruct-FP8,
01-ai/Yi-6B-200K,nvidia/OpenCodeReasoning-Nemotron-1.1-7B,
01-ai/Yi-6B-200K,nvidia/OpenCodeReasoning-Nemotron-7B,
01-ai/Yi-6B-200K,nvidia/OpenMath-Nemotron-1.5B,
01-ai/Yi-6B-200K,nvidia/OpenMath2-Llama3.1-8B,
01-ai/Yi-6B-200K,nvidia/OpenReasoning-Nemotron-1.5B,
01-ai/Yi-6B-200K,shadowml/BeagSake-7B,
01-ai/Yi-6B-200K,shadowml/BeagleSempra-7B,
01-ai/Yi-6B-200K,shadowml/WestBeagle-7B,
01-ai/Yi-6B-200K,swiss-ai/Apertus-8B-2509,
01-ai/Yi-6B-200K,unsloth/Llama-3.1-8B,
01-ai/Yi-6B-200K,unsloth/Llama-3.2-1B-Instruct,
01-ai/Yi-6B-200K,unsloth/Llama-3.2-3B-Instruct,
01-ai/Yi-6B-200K,unsloth/Meta-Llama-3.1-8B-Instruct,
01-ai/Yi-6B-200K,unsloth/Qwen2.5-0.5B-Instruct,
01-ai/Yi-6B-200K,unsloth/Qwen2.5-1.5B,
01-ai/Yi-6B-200K,unsloth/Qwen2.5-1.5B-Instruct,
01-ai/Yi-6B-200K,unsloth/Qwen2.5-Math-1.5B,
01-ai/Yi-6B-Chat,AdaptLLM/medicine-LLM,
01-ai/Yi-6B-Chat,AiMavenAi/AiMaven-Prometheus,
01-ai/Yi-6B-Chat,Aurore-Reveil/Koto-Small-7B-IT,
01-ai/Yi-6B-Chat,BioMistral/BioMistral-7B,
01-ai/Yi-6B-Chat,BioMistral/BioMistral-7B-DARE,
01-ai/Yi-6B-Chat,Biomimicry-AI/ANIMA-Nectar-v2,
01-ai/Yi-6B-Chat,ByteDance-Seed/Seed-Coder-8B-Base,
01-ai/Yi-6B-Chat,ByteDance-Seed/Seed-Coder-8B-Instruct,
01-ai/Yi-6B-Chat,ChrisMcCormick/deepseek-tiny-v0.1,
01-ai/Yi-6B-Chat,CorticalStack/pastiche-crown-clown-7b-dare,
01-ai/Yi-6B-Chat,CorticalStack/pastiche-crown-clown-7b-dare-dpo,
01-ai/Yi-6B-Chat,CultriX/NeuralTrix-7B-dpo,
01-ai/Yi-6B-Chat,CultriX/NeuralTrix-bf16,
01-ai/Yi-6B-Chat,DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,
01-ai/Yi-6B-Chat,DeepHat/DeepHat-V1-7B,
01-ai/Yi-6B-Chat,EleutherAI/gpt-neo-1.3B,
01-ai/Yi-6B-Chat,EleutherAI/polyglot-ko-3.8b,
01-ai/Yi-6B-Chat,EleutherAI/pythia-1.4b,
01-ai/Yi-6B-Chat,EleutherAI/pythia-1b,
01-ai/Yi-6B-Chat,EleutherAI/pythia-2.8b,
01-ai/Yi-6B-Chat,EleutherAI/pythia-6.9b,
01-ai/Yi-6B-Chat,FelixChao/Sectumsempra-7B-DPO,
01-ai/Yi-6B-Chat,FelixChao/vicuna-7B-chemical,
01-ai/Yi-6B-Chat,FelixChao/vicuna-7B-physics,
01-ai/Yi-6B-Chat,Gensyn/Qwen2.5-1.5B-Instruct,
01-ai/Yi-6B-Chat,Gensyn/Qwen2.5-7B-Instruct,
01-ai/Yi-6B-Chat,HuggingFaceH4/zephyr-7b-beta,
01-ai/Yi-6B-Chat,HuggingFaceTB/SmolLM-135M,
01-ai/Yi-6B-Chat,HuggingFaceTB/SmolLM2-135M,
01-ai/Yi-6B-Chat,HuggingFaceTB/SmolLM3-3B,
01-ai/Yi-6B-Chat,HuggingFaceTB/SmolLM3-3B-Base,
01-ai/Yi-6B-Chat,INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,
01-ai/Yi-6B-Chat,Intel/neural-chat-7b-v3-1,
01-ai/Yi-6B-Chat,Intel/neural-chat-7b-v3-3,
