model,outlier_count_csv,n_outliers_parsed,n_graph_distance_defined,n_graph_distance_missing,outliers_missing_graph_distance,mean_graph_distance_to_outliers
CultriX/NeuralTrix-bf16,32,32,0,32,CultriX/NeuralTrix-7B-dpo | bardsai/jaskier-7b-dpo-v5.6 | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | CorticalStack/pastiche-crown-clown-7b-dare-dpo | CorticalStack/pastiche-crown-clown-7b-dare | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | mlabonne/OmniBeagle-7B | shadowml/BeagleSempra-7B | shadowml/BeagSake-7B | shadowml/WestBeagle-7B | mlabonne/NeuralBeagle14-7B | FelixChao/Sectumsempra-7B-DPO | mlabonne/Beagle14-7B | argilla/distilabeled-Marcoro14-7B-slerp | fblgit/UNA-TheBeagle-7b-v1 | mlabonne/Marcoro14-7B-slerp | kevin009/llamaRAGdrama | berkeley-nest/Starling-LM-7B-alpha | Nexusflow/Starling-LM-7B-beta | mistralai/Mistral-7B-v0.1 | Intel/neural-chat-7b-v3-3 | Intel/neural-chat-7b-v3-1 | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | SciPhi/SciPhi-Mistral-7B-32k | BioMistral/BioMistral-7B-DARE | HuggingFaceH4/zephyr-7b-beta | mistralai/Mistral-7B-Instruct-v0.1 | dicta-il/dictalm2.0 | BioMistral/BioMistral-7B | Biomimicry-AI/ANIMA-Nectar-v2 | deepseek-ai/deepseek-coder-1.3b-base,
DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,9,9,8,1,beyoru/Luna,11.0
DeepHat/DeepHat-V1-7B,4,4,4,0,,4.75
EleutherAI/gpt-neo-1.3B,3,3,0,3,KoboldAI/GPT-Neo-2.7B-Horni-LN | PygmalionAI/pygmalion-2.7b | TheOneWhoWill/Bootstrap-LLM,
EleutherAI/polyglot-ko-3.8b,0,0,0,0,,
EleutherAI/pythia-1.4b,4,4,3,1,allenai/OLMoE-1B-7B-0924,10.0
EleutherAI/pythia-1b,4,4,3,1,allenai/OLMoE-1B-7B-0924,10.0
EleutherAI/pythia-2.8b,4,4,3,1,allenai/OLMoE-1B-7B-0924,10.0
EleutherAI/pythia-6.9b,4,4,3,1,allenai/OLMoE-1B-7B-0924,10.0
FelixChao/Sectumsempra-7B-DPO,31,31,0,31,shadowml/BeagleSempra-7B | shadowml/BeagSake-7B | shadowml/WestBeagle-7B | AiMavenAi/AiMaven-Prometheus | CorticalStack/pastiche-crown-clown-7b-dare | mlabonne/OmniBeagle-7B | flemmingmiguel/MBX-7B-v3 | CorticalStack/pastiche-crown-clown-7b-dare-dpo | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/Marcoro14-7B-slerp | mlabonne/Beagle14-7B | mlabonne/NeuralBeagle14-7B | bardsai/jaskier-7b-dpo-v5.6 | CultriX/NeuralTrix-7B-dpo | fblgit/UNA-TheBeagle-7b-v1 | kevin009/llamaRAGdrama | CultriX/NeuralTrix-bf16 | mistralai/Mistral-7B-v0.1 | Intel/neural-chat-7b-v3-3 | berkeley-nest/Starling-LM-7B-alpha | Nexusflow/Starling-LM-7B-beta | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | Intel/neural-chat-7b-v3-1 | SciPhi/SciPhi-Mistral-7B-32k | HuggingFaceH4/zephyr-7b-beta | BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-Instruct-v0.1 | BioMistral/BioMistral-7B | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2,
FelixChao/vicuna-7B-chemical,11,11,4,7,AdaptLLM/medicine-LLM | PharMolix/BioMedGPT-LM-7B | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | TinyLlama/TinyLlama-1.1B-Chat-v1.0 | TinyLlama/TinyLlama_v1.1 | TinyLlama/TinyLlama-1.1B-Chat-v0.5 | TinyLlama/TinyLlama_v1.1_math_code,10.0
FelixChao/vicuna-7B-physics,11,11,4,7,AdaptLLM/medicine-LLM | PharMolix/BioMedGPT-LM-7B | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | TinyLlama/TinyLlama-1.1B-Chat-v1.0 | TinyLlama/TinyLlama-1.1B-Chat-v0.5 | TinyLlama/TinyLlama_v1.1 | TinyLlama/TinyLlama_v1.1_math_code,10.0
Gensyn/Qwen2.5-1.5B-Instruct,13,13,13,0,,7.0
Gensyn/Qwen2.5-7B-Instruct,13,13,13,0,,3.846154
HuggingFaceH4/zephyr-7b-beta,31,31,8,23,mlabonne/Marcoro14-7B-slerp | argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/Beagle14-7B | shadowml/WestBeagle-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | fblgit/UNA-TheBeagle-7b-v1 | mlabonne/NeuralBeagle14-7B | FelixChao/Sectumsempra-7B-DPO | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | Nexusflow/Starling-LM-7B-beta | mlabonne/OmniBeagle-7B | CorticalStack/pastiche-crown-clown-7b-dare | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | bardsai/jaskier-7b-dpo-v5.6 | CorticalStack/pastiche-crown-clown-7b-dare-dpo | berkeley-nest/Starling-LM-7B-alpha | kevin009/llamaRAGdrama | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2,6.625
HuggingFaceTB/SmolLM-135M,1,1,1,0,,10.0
HuggingFaceTB/SmolLM2-135M,1,1,1,0,,10.0
HuggingFaceTB/SmolLM3-3B,8,8,1,7,dphn/Dolphin3.0-Llama3.1-8B | microsoft/UserLM-8b | nvidia/OpenMath2-Llama3.1-8B | elyza/Llama-3-ELYZA-JP-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | meta-llama/Llama-3.1-8B | unsloth/Llama-3.1-8B,1.0
HuggingFaceTB/SmolLM3-3B-Base,17,17,1,16,dphn/Dolphin3.0-Llama3.1-8B | elyza/Llama-3-ELYZA-JP-8B | meta-llama/Llama-3.1-8B | unsloth/Llama-3.1-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | microsoft/UserLM-8b | NousResearch/Hermes-3-Llama-3.1-8B | S4nfs/Neeto-1.0-8b | gradientai/Llama-3-8B-Instruct-262k | aisingapore/Llama-SEA-LION-v3-8B | nvidia/OpenMath2-Llama3.1-8B | bxod/Llama-3.2-1B-Instruct-uz | inference-net/Schematron-3B | askfjhaskjgh/UbermenschetienASI | acon96/Home-Llama-3.2-3B | allenai/llama-3.1-tulu-2-8b,1.0
INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,3,3,3,0,,4.666667
Intel/neural-chat-7b-v3-1,31,31,8,23,shadowml/WestBeagle-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | mlabonne/Beagle14-7B | mlabonne/NeuralBeagle14-7B | fblgit/UNA-TheBeagle-7b-v1 | mlabonne/Marcoro14-7B-slerp | argilla/distilabeled-Marcoro14-7B-slerp | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | FelixChao/Sectumsempra-7B-DPO | mlabonne/OmniBeagle-7B | kevin009/llamaRAGdrama | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | CorticalStack/pastiche-crown-clown-7b-dare | bardsai/jaskier-7b-dpo-v5.6 | CorticalStack/pastiche-crown-clown-7b-dare-dpo | Nexusflow/Starling-LM-7B-beta | CultriX/NeuralTrix-7B-dpo | berkeley-nest/Starling-LM-7B-alpha | CultriX/NeuralTrix-bf16 | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2,6.375
Intel/neural-chat-7b-v3-3,31,31,8,23,shadowml/WestBeagle-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/Beagle14-7B | mlabonne/NeuralBeagle14-7B | mlabonne/Marcoro14-7B-slerp | AiMavenAi/AiMaven-Prometheus | fblgit/UNA-TheBeagle-7b-v1 | flemmingmiguel/MBX-7B-v3 | FelixChao/Sectumsempra-7B-DPO | mlabonne/OmniBeagle-7B | CorticalStack/pastiche-crown-clown-7b-dare | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | bardsai/jaskier-7b-dpo-v5.6 | CorticalStack/pastiche-crown-clown-7b-dare-dpo | CultriX/NeuralTrix-7B-dpo | kevin009/llamaRAGdrama | CultriX/NeuralTrix-bf16 | berkeley-nest/Starling-LM-7B-alpha | Nexusflow/Starling-LM-7B-beta | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2,7.25
Jurema-br/Jurema-7B,14,14,14,0,,3.785714
KoboldAI/GPT-Neo-2.7B-Horni-LN,3,3,0,3,PygmalionAI/pygmalion-2.7b | EleutherAI/gpt-neo-1.3B | TheOneWhoWill/Bootstrap-LLM,
LGAI-EXAONE/EXAONE-4.0-1.2B,0,0,0,0,,
LiquidAI/LFM2-1.2B,6,6,1,5,01-ai/Yi-6B-200K | 01-ai/Yi-6B | PygmalionAI/pygmalion-2.7b | EleutherAI/pythia-6.9b | EleutherAI/pythia-1b,10.0
LiquidAI/LFM2-350M,1,1,1,0,,10.0
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,24,24,6,18,unsloth/Meta-Llama-3.1-8B-Instruct | meta-llama/Llama-3.1-8B-Instruct | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | arcee-ai/Llama-3.1-SuperNova-Lite | aisingapore/Llama-SEA-LION-v3-8B | dphn/Dolphin3.0-Llama3.1-8B | unsloth/Llama-3.1-8B | meta-llama/Llama-3.1-8B | nvidia/OpenMath2-Llama3.1-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | S4nfs/Neeto-1.0-8b | microsoft/UserLM-8b | allenai/llama-3.1-tulu-2-8b | elyza/Llama-3-ELYZA-JP-8B | gradientai/Llama-3-8B-Instruct-262k | HuggingFaceTB/SmolLM3-3B | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | HuggingFaceTB/SmolLM3-3B-Base,5.0
Nexusflow/Starling-LM-7B-beta,31,31,0,31,berkeley-nest/Starling-LM-7B-alpha | fblgit/UNA-TheBeagle-7b-v1 | mlabonne/Marcoro14-7B-slerp | mlabonne/Beagle14-7B | argilla/distilabeled-Marcoro14-7B-slerp | shadowml/WestBeagle-7B | mlabonne/NeuralBeagle14-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | mistralai/Mistral-7B-v0.1 | mlabonne/OmniBeagle-7B | FelixChao/Sectumsempra-7B-DPO | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | CorticalStack/pastiche-crown-clown-7b-dare | kevin009/llamaRAGdrama | bardsai/jaskier-7b-dpo-v5.6 | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | CorticalStack/pastiche-crown-clown-7b-dare-dpo | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | SciPhi/SciPhi-Mistral-7B-32k | Intel/neural-chat-7b-v3-3 | Intel/neural-chat-7b-v3-1 | BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-Instruct-v0.1 | BioMistral/BioMistral-7B | HuggingFaceH4/zephyr-7b-beta | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2,
NinedayWang/PolyCoder-2.7B,0,0,0,0,,
NousResearch/Hermes-3-Llama-3.1-8B,26,26,14,12,gradientai/Llama-3-8B-Instruct-262k | S4nfs/Neeto-1.0-8b | elyza/Llama-3-ELYZA-JP-8B | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | inference-net/Schematron-3B | acon96/Home-Llama-3.2-3B | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | meta-llama/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct | HuggingFaceTB/SmolLM3-3B,2.071429
PharMolix/BioMedGPT-LM-7B,11,11,0,11,lmsys/vicuna-7b-v1.5-16k | FelixChao/vicuna-7B-physics | lmsys/vicuna-7b-v1.5 | FelixChao/vicuna-7B-chemical | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | TinyLlama/TinyLlama-1.1B-Chat-v1.0 | TinyLlama/TinyLlama-1.1B-Chat-v0.5 | TinyLlama/TinyLlama_v1.1 | lmsys/vicuna-7b-v1.1 | TinyLlama/TinyLlama_v1.1_math_code | AdaptLLM/medicine-LLM,
PowerInfer/SmallThinker-3B-Preview,4,4,4,0,,7.0
PygmalionAI/pygmalion-2.7b,3,3,0,3,KoboldAI/GPT-Neo-2.7B-Horni-LN | EleutherAI/gpt-neo-1.3B | TheOneWhoWill/Bootstrap-LLM,
Qwen/Qwen1.5-0.5B-Chat,3,3,3,0,,11.333333
Qwen/Qwen1.5-4B-Chat,0,0,0,0,,
Qwen/Qwen2-0.5B,1,1,1,0,,1.0
Qwen/Qwen2-0.5B-Instruct,1,1,1,0,,1.0
Qwen/Qwen2-7B,15,15,14,1,allura-org/Koto-Small-7B-PT,10.642857
Qwen/Qwen2-7B-Instruct,16,16,15,1,allura-org/Koto-Small-7B-PT,11.666667
Qwen/Qwen2.5-0.5B,9,9,9,0,,8.666667
Qwen/Qwen2.5-0.5B-Instruct,2,2,2,0,,1.0
Qwen/Qwen2.5-1.5B,24,24,22,2,beyoru/Luna | XiaomiMiMo/MiMo-7B-Base,7.590909
Qwen/Qwen2.5-1.5B-Instruct,16,16,15,1,beyoru/Luna,7.466667
Qwen/Qwen2.5-3B,23,23,20,3,beyoru/Luna | allura-org/Koto-Small-7B-PT | XiaomiMiMo/MiMo-7B-Base,9.85
Qwen/Qwen2.5-3B-Instruct,9,9,9,0,,9.333333
Qwen/Qwen2.5-7B,20,20,18,2,beyoru/Luna | XiaomiMiMo/MiMo-7B-Base,5.0
Qwen/Qwen2.5-7B-Instruct,12,12,12,0,,2.916667
Qwen/Qwen2.5-7B-Instruct-1M,12,12,12,0,,4.083333
Qwen/Qwen2.5-Coder-0.5B-Instruct,4,4,4,0,,11.0
Qwen/Qwen2.5-Coder-1.5B,18,18,17,1,beyoru/Luna,8.058824
Qwen/Qwen2.5-Coder-1.5B-Instruct,15,15,14,1,beyoru/Luna,7.571429
Qwen/Qwen2.5-Coder-7B,7,7,7,0,,5.428571
Qwen/Qwen2.5-Coder-7B-Instruct,3,3,3,0,,1.666667
Qwen/Qwen2.5-Math-1.5B,8,8,8,0,,9.5
Qwen/Qwen2.5-Math-1.5B-Instruct,4,4,4,0,,4.5
Qwen/Qwen2.5-Math-7B,11,11,11,0,,11.181818
Qwen/Qwen2.5-Math-7B-Instruct,0,0,0,0,,
Qwen/Qwen3-0.6B,8,8,7,1,beyoru/Luna,11.0
Qwen/Qwen3-0.6B-Base,1,1,1,0,,1.0
Qwen/Qwen3-1.7B,9,9,8,1,beyoru/Luna,8.0
Qwen/Qwen3-1.7B-Base,22,22,20,2,XiaomiMiMo/MiMo-7B-Base | beyoru/Luna,8.9
Qwen/Qwen3-4B,15,15,14,1,beyoru/Luna,11.357143
Qwen/Qwen3-4B-Base,21,21,13,8,XiaomiMiMo/MiMo-7B-Base | beyoru/Luna | meta-llama/Llama-3.1-8B | unsloth/Llama-3.1-8B | dphn/Dolphin3.0-Llama3.1-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | aisingapore/Llama-SEA-LION-v3-8B | S4nfs/Neeto-1.0-8b,10.692308
Qwen/Qwen3-4B-Instruct-2507,10,10,9,1,beyoru/Luna,9.777778
Qwen/Qwen3-4B-Thinking-2507,12,12,11,1,beyoru/Luna,8.090909
Qwen/Qwen3-4B-Thinking-2507-FP8,9,9,8,1,beyoru/Luna,8.125
S4nfs/Neeto-1.0-8b,26,26,0,26,unsloth/Llama-3.1-8B | meta-llama/Llama-3.1-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | aisingapore/Llama-SEA-LION-v3-8B | gradientai/Llama-3-8B-Instruct-262k | dphn/Dolphin3.0-Llama3.1-8B | microsoft/UserLM-8b | NousResearch/Hermes-3-Llama-3.1-8B | allenai/llama-3.1-tulu-2-8b | askfjhaskjgh/UbermenschetienASI | arcee-ai/Llama-3.1-SuperNova-Lite | elyza/Llama-3-ELYZA-JP-8B | meta-llama/Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | acon96/Home-Llama-3.2-3B | nvidia/OpenMath2-Llama3.1-8B | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | inference-net/Schematron-3B | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | HuggingFaceTB/SmolLM3-3B | meta-llama/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct | HuggingFaceTB/SmolLM3-3B-Base,
