cluster_id,model_id,family,organization,model_short_name
65,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,TinyLlama-1.1B-intermediate-step-1431k-3T,TinyLlama,TinyLlama-1.1B-intermediate-step-1431k-3T
66,TinyLlama/TinyLlama_v1.1,TinyLlama_v1.1,TinyLlama,TinyLlama_v1.1
67,TinyLlama/TinyLlama_v1.1_math_code,TinyLlama_v1.1_math_code,TinyLlama,TinyLlama_v1.1_math_code
68,allenai/OLMoE-1B-7B-0924,OLMoE-1B-7B-0924,allenai,OLMoE-1B-7B-0924
69,augmxnt/shisa-base-7b-v1,shisa-base-7b-v1,augmxnt,shisa-base-7b-v1
70,bardsai/jaskier-7b-dpo-v5.6,jaskier-7b-dpo-v5.6,bardsai,jaskier-7b-dpo-v5.6
71,berkeley-nest/Starling-LM-7B-alpha,Starling-LM-7B-alpha,berkeley-nest,Starling-LM-7B-alpha
72,beyoru/Luna,Luna,beyoru,Luna
73,bigcode/starcoder2-3b,starcoder2-3b,bigcode,starcoder2-3b
74,bigscience/bloom-560m,bloom-560m,bigscience,bloom-560m
75,bigscience/bloomz-1b1,bloomz-1b1,bigscience,bloomz-1b1
76,bigscience/bloomz-1b7,bloomz-1b7,bigscience,bloomz-1b7
77,bigscience/bloomz-560m,bloomz-560m,bigscience,bloomz-560m
78,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,deepseek-ai,DeepSeek-R1-Distill-Llama-8B
79,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai,DeepSeek-R1-Distill-Qwen-1.5B
80,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-Distill-Qwen-7B,deepseek-ai,DeepSeek-R1-Distill-Qwen-7B
81,deepseek-ai/deepseek-coder-1.3b-base,deepseek-coder-1.3b-base,deepseek-ai,deepseek-coder-1.3b-base
82,dicta-il/dictalm2.0,dictalm2.0,dicta-il,dictalm2.0
83,elyza/Llama-3-ELYZA-JP-8B,Llama-3-ELYZA-JP-8B,elyza,Llama-3-ELYZA-JP-8B
84,eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,eren23,ogno-monarch-jaskier-merge-7b-OH-PREF-DPO
85,flemmingmiguel/MBX-7B-v3,MBX-7B-v3,flemmingmiguel,MBX-7B-v3
86,google/gemma-2b-it,gemma-2b-it,google,gemma-2b-it
87,gradientai/Llama-3-8B-Instruct-262k,Llama-3-8B-Instruct-262k,gradientai,Llama-3-8B-Instruct-262k
88,kevin009/llamaRAGdrama,llamaRAGdrama,kevin009,llamaRAGdrama
89,lmsys/vicuna-7b-v1.1,vicuna-7b-v1.1,lmsys,vicuna-7b-v1.1
90,lmsys/vicuna-7b-v1.5,vicuna-7b-v1.5,lmsys,vicuna-7b-v1.5
91,lmsys/vicuna-7b-v1.5-16k,vicuna-7b-v1.5-16k,lmsys,vicuna-7b-v1.5-16k
